dataset,sequence,metric,num_blocks,p25,median,p75,p95
8i,Longdress,retention_level1,16,0.278611789717099,0.27996382149450794,0.2809615277026648,0.2863743169908435
8i,Longdress,retention_level2,16,0.2614030042644796,0.2618753413102154,0.2637115983540188,0.26677900251070524
8i,Longdress,retention_level3,16,0.2540314578482517,0.25908653077315,0.2604375429084759,0.2660775273224043
8i,Longdress,retention_level4,16,0.24426998281377096,0.25067647584203867,0.2611672967692263,0.27148089724398206
8i,Longdress,retention_level5,16,0.23426754227209262,0.24701738609112706,0.25657650244213204,0.27068598279758704
8i,Longdress,var_Y,16,0.00836314574450505,0.010071328183457,0.012129485035145,0.016681587926625524
8i,Longdress,var_U,16,0.0014370520147749,0.0022855934371192503,0.00303883843944475,0.003676414117253925
8i,Longdress,var_V,16,0.0019734564918867,0.0031938318010363,0.0041909974810321,0.005732139909069451
8i,Longdress,Y_variance_share,16,0.5833590234748227,0.6375112975638854,0.692519543620983,0.8993275263042144
8i,Longdress,UV_variance_share,16,0.3074804563790169,0.3624887024361146,0.41664097652517734,0.4724688053871471
8i,Longdress,tv6_D111,16,0.000242168706738825,0.00040636135775355003,0.000506346530327075,0.001193177243811375
8i,Longdress,tv6_mean_degree,16,3.52374913749697,3.548808837014038,3.565596852097048,3.603416444436156
8i,Longdress,r5_E_D111,16,0.000120159135168975,0.0002054294400439,0.00026764928447827504,0.000615662859325575
8i,Longdress,r4_E_D111,16,0.000265013278486175,0.00042885007144735003,0.00049368906209895,0.0011425694882300748
8i,Longdress,r3_E_D111,16,0.000510582940104575,0.0006301484957965499,0.000783780396594625,0.001452491758417775
8i,Longdress,r2_E_D111,16,0.000733482770318025,0.00093223694522685,0.0011045025275731,0.001426547744083575
8i,Longdress,r1_E_D111,16,0.0008557186017777,0.0010371871741628,0.001317936772521375,0.001651348594016
8i,Longdress,r5_energy_share,16,0.04532999523785932,0.0623116994716954,0.07712209032186178,0.10921015920122405
8i,Longdress,r4_energy_share,16,0.09817614322621403,0.13277609741743318,0.15395851877167332,0.19137109530816468
8i,Longdress,r45_energy_share,16,0.144068184951984,0.19545355656289864,0.2310806090935352,0.30058125450938883
8i,Longdress,r5_over_r4,16,0.4540530755478648,0.4816218746888983,0.5131867147345409,0.5633963555020453
8i,Loot,retention_level1,16,0.27598933052463503,0.2775354903370997,0.2800325848446566,0.2826842837273991
8i,Loot,retention_level2,16,0.26167812622425296,0.2629540280617617,0.2644543927046755,0.2653758202566562
8i,Loot,retention_level3,16,0.25122016867745667,0.2533054363070575,0.2558662365925695,0.2614702952999366
8i,Loot,retention_level4,16,0.24522622798120042,0.24718942174596506,0.25782006749990033,0.26578179199918095
8i,Loot,retention_level5,16,0.23592106446102667,0.25314977054651644,0.2591488486842105,0.2700332486551105
8i,Loot,var_Y,16,0.0021245499692225498,0.0042685287513485,0.006712984416934675,0.010521493886885374
8i,Loot,var_U,16,3.240930495609917e-05,5.086406634349783e-05,0.00044251965417292503,0.000878791270496575
8i,Loot,var_V,16,2.962680792131106e-05,4.636768955457171e-05,0.000399954064866875,0.0013093724043701251
8i,Loot,Y_variance_share,16,0.8539076468287403,0.9313623415946832,0.9898878511319044,0.9927991683053958
8i,Loot,UV_variance_share,16,0.010112148868095574,0.06863765840531674,0.14609235317125968,0.24266541693785376
8i,Loot,tv6_D111,16,2.00307052031829e-05,4.282434664119381e-05,8.421357180356344e-05,0.00011047684125761225
8i,Loot,tv6_mean_degree,16,3.5476058017087224,3.561657443460433,3.58733359825154,3.6077448593707233
8i,Loot,r5_E_D111,16,1.0924629654497659e-05,2.2980861881271458e-05,4.545251955986322e-05,5.856298741782215e-05
8i,Loot,r4_E_D111,16,2.602302751243536e-05,5.3196216618957984e-05,0.00010353576880034999,0.000123154548451325
