dataset,sequence,metric,sequence_value,rwtt_percentile,robust_z
8i,Longdress,retention_level1,0.2802931584701492,56.36260462476947,0.15768228752144092
8i,Longdress,retention_level2,0.26263088297668846,60.483756561214356,0.2502485546153636
8i,Longdress,retention_level3,0.25767123721460466,61.9236771173216,0.2953174067848541
8i,Longdress,retention_level4,0.25205849821801646,46.517236487445025,-0.08526648173876092
8i,Longdress,retention_level5,0.24427108727450025,35.90580224145269,-0.3489865192351507
8i,Longdress,var_Y,0.01300505607554589,50.92211661228543,0.02559559027483957
8i,Longdress,var_U,0.0035728668408995246,98.36856291672578,12.355725293360825
8i,Longdress,var_V,0.004267543413862485,98.74450276634984,22.95383734053767
8i,Longdress,Y_variance_share,0.6238793543628918,1.8016739963115336,-9.333312107242232
8i,Longdress,UV_variance_share,0.3761206456371083,98.19832600368846,9.333312107242266
8i,Longdress,tv6_D111,0.00046623108933697337,58.887785501489574,0.33754287965125207
8i,Longdress,tv6_mean_degree,3.5428886459370186,44.51695275925663,-0.12716140582701832
8i,Longdress,r5_E_D111,0.00024101475130866362,63.016030642644346,0.5235607416167818
8i,Longdress,r4_E_D111,0.00047957498461390964,77.16697403887076,1.1463501973138228
8i,Longdress,r3_E_D111,0.0007038416227160525,79.71343452972053,1.1747908429427254
8i,Longdress,r2_E_D111,0.0009249482066587622,77.35139736132784,1.0164636957571587
8i,Longdress,r1_E_D111,0.0011015160943312788,70.93914030358916,0.71955836099575
8i,Longdress,r5_energy_share,0.0698412166233383,43.28273513973613,-0.16115304287635693
8i,Longdress,r4_energy_share,0.13897116340675283,67.71882536530005,0.5159387284732516
8i,Longdress,r45_energy_share,0.20881238003009114,55.80933465739821,0.1579081990216765
8i,Longdress,r5_over_r4,0.5025590554993122,16.15215385707189,-0.8721065208791001
8i,Loot,retention_level1,0.27828905294398876,50.666761242729464,0.017526688580189548
8i,Loot,retention_level2,0.2624028344236107,58.859412682650024,0.2093254002956437
8i,Loot,retention_level3,0.2541960717626052,39.2467016598099,-0.26720675527020804
8i,Loot,retention_level4,0.25073588439925076,42.21166122854306,-0.19931230912947623
8i,Loot,retention_level5,0.24893276414087515,44.33252943679955,-0.13212827562305277
8i,Loot,var_Y,0.012463920554776853,48.79415519931905,-0.030403643282419977
8i,Loot,var_U,0.0004133045635694166,63.881401617250674,0.5845110582448446
8i,Loot,var_V,0.00048709053500323174,79.11760533408994,1.7886790306323017
8i,Loot,Y_variance_share,0.9326269206798492,30.848347283302598,-0.8239186596810416
8i,Loot,UV_variance_share,0.06737307932015076,69.1516527166974,0.8239186596810467
8i,Loot,tv6_D111,5.244555309301587e-05,9.68222442899702,-0.7482959740645161
8i,Loot,tv6_mean_degree,3.5617750237493557,48.177046389558804,-0.041691818485093436
8i,Loot,r5_E_D111,2.8053193356112663e-05,11.299475102851469,-0.7343167929110272
8i,Loot,r4_E_D111,6.363814679696838e-05,15.60505036175344,-0.7285342036509769
8i,Loot,r3_E_D111,0.00010675987288529116,14.931195914314086,-0.7844542054323903
8i,Loot,r2_E_D111,0.00016809655608058616,14.626188111788906,-0.8026016342959077
8i,Loot,r1_E_D111,0.0002578410293776849,16.264718399773017,-0.748933359283718
8i,Loot,r5_energy_share,0.04492904649099576,23.2089658107533,-0.6080446827172769
8i,Loot,r4_energy_share,0.10192070541654746,42.48829621222868,-0.19041270795903378
8i,Loot,r45_energy_share,0.14684975190754324,32.522343594836144,-0.41614231671740876
8i,Loot,r5_over_r4,0.440823543237577,7.047051309346391,-1.1261024018552448
8i,Redandblack,retention_level1,0.28016566119961833,56.000851184565185,0.14876586267186648
8i,Redandblack,retention_level2,0.26136358283202765,50.99304865938431,0.02283242463155361
8i,Redandblack,retention_level3,0.25332540283335137,34.24599233933891,-0.40814171696364754
8i,Redandblack,retention_level4,0.24532194948416933,26.21648460774578,-0.6661429728270295
8i,Redandblack,retention_level5,0.24738979118329466,41.566179599943254,-0.2039063964823977
8i,Redandblack,var_Y,0.010333215203845211,39.473684210526315,-0.25089899427870005
8i,Redandblack,var_U,0.000583045168278784,73.15931337778409,1.2168939160755485
8i,Redandblack,var_V,0.005468898680777101,99.24102709604199,29.67971787005746
8i,Redandblack,Y_variance_share,0.6306447908429458,1.8867924528301887,-9.146849873579919
8i,Redandblack,UV_variance_share,0.3693552091570542,98.11320754716981,9.14684987357995
8i,Redandblack,tv6_D111,0.00014589656208332562,28.039438218186977,-0.503065709609854
8i,Redandblack,tv6_mean_degree,3.5379831620013964,43.594836146971204,-0.14936098754968138
8i,Redandblack,r5_E_D111,7.914448637178074e-05,32.18186976876153,-0.43254125035650953
