metric,point,spearman_rho,n_sequences,interpretation
retention_level1,4k,-0.2142857142857143,8,exploratory/descriptive only
retention_level1,2k,-0.2142857142857143,8,exploratory/descriptive only
retention_level2,4k,0.2380952380952381,8,exploratory/descriptive only
retention_level2,2k,0.2380952380952381,8,exploratory/descriptive only
retention_level3,4k,0.07142857142857144,8,exploratory/descriptive only
retention_level3,2k,0.07142857142857144,8,exploratory/descriptive only
retention_level4,4k,0.2142857142857143,8,exploratory/descriptive only
retention_level4,2k,0.2142857142857143,8,exploratory/descriptive only
retention_level5,4k,0.523809523809524,8,exploratory/descriptive only
retention_level5,2k,0.523809523809524,8,exploratory/descriptive only
var_Y,4k,-0.30952380952380953,8,exploratory/descriptive only
var_Y,2k,-0.30952380952380953,8,exploratory/descriptive only
var_U,4k,-0.3571428571428572,8,exploratory/descriptive only
var_U,2k,-0.3571428571428572,8,exploratory/descriptive only
var_V,4k,-0.523809523809524,8,exploratory/descriptive only
var_V,2k,-0.523809523809524,8,exploratory/descriptive only
Y_variance_share,4k,0.1666666666666667,8,exploratory/descriptive only
Y_variance_share,2k,0.1666666666666667,8,exploratory/descriptive only
UV_variance_share,4k,-0.1666666666666667,8,exploratory/descriptive only
UV_variance_share,2k,-0.1666666666666667,8,exploratory/descriptive only
tv6_D111,4k,-0.8333333333333335,8,exploratory/descriptive only
tv6_D111,2k,-0.8333333333333335,8,exploratory/descriptive only
tv6_mean_degree,4k,0.023809523809523815,8,exploratory/descriptive only
tv6_mean_degree,2k,0.023809523809523815,8,exploratory/descriptive only
r5_E_D111,4k,-0.8333333333333335,8,exploratory/descriptive only
r5_E_D111,2k,-0.8333333333333335,8,exploratory/descriptive only
r4_E_D111,4k,-0.8333333333333335,8,exploratory/descriptive only
r4_E_D111,2k,-0.8333333333333335,8,exploratory/descriptive only
r3_E_D111,4k,-0.8333333333333335,8,exploratory/descriptive only
r3_E_D111,2k,-0.8333333333333335,8,exploratory/descriptive only
r2_E_D111,4k,-0.9047619047619048,8,exploratory/descriptive only
r2_E_D111,2k,-0.9047619047619048,8,exploratory/descriptive only
r1_E_D111,4k,-0.8333333333333335,8,exploratory/descriptive only
r1_E_D111,2k,-0.8333333333333335,8,exploratory/descriptive only
r5_energy_share,4k,0.2142857142857143,8,exploratory/descriptive only
r5_energy_share,2k,0.2142857142857143,8,exploratory/descriptive only
r4_energy_share,4k,0.09523809523809526,8,exploratory/descriptive only
r4_energy_share,2k,0.09523809523809526,8,exploratory/descriptive only
r45_energy_share,4k,0.09523809523809526,8,exploratory/descriptive only
r45_energy_share,2k,0.09523809523809526,8,exploratory/descriptive only
r5_over_r4,4k,0.14285714285714288,8,exploratory/descriptive only
r5_over_r4,2k,0.14285714285714288,8,exploratory/descriptive only
