metric,p05,p25,median,p75,p95,iqr
retention_level1,0.2603099176697864,0.26955107089799,0.2780384362458034,0.28994161544014707,0.31674354279600503,0.020390544542157052
retention_level2,0.25052877480905367,0.2574387292847535,0.26123634676024776,0.26496514821354666,0.2714334546854124,0.007526418928793188
retention_level3,0.24099232021029296,0.25145355973187483,0.2558468234051009,0.2598344696715209,0.2657856558235148,0.008380909939646075
retention_level4,0.22726812971249918,0.24483317727513407,0.2530473518184104,0.2605633802816901,0.2715939447907391,0.01573020300655606
retention_level5,0.21034291894643084,0.2371677324305686,0.25177304964539,0.2661870503597122,0.28706220095693774,0.029019317929143584
var_Y,0.00211981586256811,0.007199275971605425,0.012757719064074049,0.02116719399495735,0.03892716251565175,0.013967918023351924
var_U,3.478804484508546e-05,0.00011346920797495,0.00025641343463189996,0.0006339237701844,0.0020842928047882497,0.00052045456220945
var_V,1.8252368366722393e-05,6.897084442580859e-05,0.000167602407785,0.00040524750039292503,0.00160682404654726,0.00033627665596711644
Y_variance_share,0.7608657131532873,0.9170427455828547,0.962521281845222,0.9822245274176943,0.9944416714340109,0.06518178183483958
UV_variance_share,0.005558328565988965,0.017775472582305725,0.03747871815477785,0.08295725441714519,0.23913428684671256,0.06518178183483947
tv6_D111,3.216919304941511e-05,0.0001284896238982,0.00033760209343775,0.000865801660472625,0.002719391747291184,0.000737312036574425
tv6_mean_degree,3.025176357869759,3.3920318021489413,3.570987744438445,3.7047188162793683,3.8484221435274137,0.312687014130427
r5_E_D111,1.5283905759871893e-05,5.8851748547685014e-05,0.00015237471429634998,0.00037541499278182503,0.001126133442171185,0.00031656324423414003
r4_E_D111,2.4980144860745816e-05,9.671139606389476e-05,0.00022526102485395,0.0004465420746025,0.0010197424556472696,0.0003498306785386052
r3_E_D111,4.4604403086711865e-05,0.000167264119074925,0.00034582302122915,0.000619699732296725,0.0012539274806346794,0.0004524356132218
r2_E_D111,7.239308201531808e-05,0.00026285815485965,0.00050203199074465,0.0008712552529436251,0.0017271104982088444,0.0006083970980839751
r1_E_D111,0.000105259592830525,0.00035917401170425,0.00068811679587595,0.0012125375512208,0.002394937853515235,0.0008533635395165499
r5_energy_share,0.02276845223213763,0.04703009336639345,0.0788247635585855,0.13062227336657412,0.27852071747167434,0.08359218000018066
r4_energy_share,0.04652563133840463,0.08035678980622388,0.11190847874461055,0.15350158541530246,0.2171442608298277,0.07314479560907858
r45_energy_share,0.07038593039946751,0.128939191612115,0.19176787480761245,0.2827477822331965,0.4829034350779808,0.15380859062108151
r5_over_r4,0.42364611379722206,0.5605791998115625,0.7145307717584731,0.8989213482459599,1.411559981486438,0.33834214843439747
