dataset,sequence,endpoint,physical_bpp_DIAGNOSTIC_8k256_L8192,physical_bpp_R03_32k8k_L8192,yuv611_DIAGNOSTIC_8k256_L8192,yuv611_R03_32k8k_L8192,comparison,delta_bpp_diagnostic_minus_official,delta_yuv611_diagnostic_minus_official,physical_bpp_DIAGNOSTIC_32k8k_L4096_OUT_OF_RANGE_UNKNOWN,physical_bpp_R04_8k256_L4096,yuv611_DIAGNOSTIC_32k8k_L4096_OUT_OF_RANGE_UNKNOWN,yuv611_R04_8k256_L4096,physical_bpp_DIAGNOSTIC_2k128_L2048_RANGE_UNKNOWN,physical_bpp_R05_8k256_L2048,yuv611_DIAGNOSTIC_2k128_L2048_RANGE_UNKNOWN,yuv611_R05_8k256_L2048
8i,Longdress,B_native,0.3050004312525205,0.4903784066035251,27.79344938517261,32.21978544905488,8192: 8k256 - 32k8k,-0.1853779753510046,-4.426336063882271,,,,,,,,
8i,Longdress,Official_Full,0.8072114745805777,1.1460034546823534,35.019994701117824,38.191578855656026,8192: 8k256 - 32k8k,-0.3387919801017757,-3.171584154538202,,,,,,,,
8i,Loot,B_native,0.13991568202561827,0.14052167866035006,37.08375826355109,40.19976708016218,8192: 8k256 - 32k8k,-0.0006059966347317924,-3.1160088166110924,,,,,,,,
8i,Loot,Official_Full,0.2585916787224399,0.25968445953916935,43.014129560547026,42.640093959968304,8192: 8k256 - 32k8k,-0.0010927808167294772,0.374035600578722,,,,,,,,
8i,Redandblack,B_native,0.22089215788494254,0.2474887520110441,33.49256638337589,37.07039384434694,8192: 8k256 - 32k8k,-0.026596594126101547,-3.5778274609710508,,,,,,,,
8i,Redandblack,Official_Full,0.43933476839503177,0.5059793504212139,38.81592859896327,40.23300297112361,8192: 8k256 - 32k8k,-0.06664458202618212,-1.417074372160343,,,,,,,,
8i,Soldier,B_native,0.2025836224888462,0.23419163320604064,35.797753656877916,38.413903910098284,8192: 8k256 - 32k8k,-0.031608010717194435,-2.6161502532203684,,,,,,,,
8i,Soldier,Official_Full,0.40702567554042773,0.42976023123871193,42.00401687287104,41.62635999039187,8192: 8k256 - 32k8k,-0.022734555698284198,0.3776568824791724,,,,,,,,
Owlii,Basketball,B_native,0.12888948615766807,0.1344256653650952,35.67570258680404,39.073543959396545,8192: 8k256 - 32k8k,-0.005536179207427133,-3.3978413725925023,,,,,,,,
Owlii,Basketball,Official_Full,0.20195499468109823,0.27533197608189725,41.81011862456342,42.57181840106897,8192: 8k256 - 32k8k,-0.07337698140079901,-0.7616997765055444,,,,,,,,
Owlii,Dancer,B_native,0.1494733903292984,0.1672388104347628,34.684927348968166,38.37059202602472,8192: 8k256 - 32k8k,-0.01776542010546439,-3.6856646770565504,,,,,,,,
Owlii,Dancer,Official_Full,0.2545503234867628,0.34738860289613954,41.252563689292494,42.349543852610026,8192: 8k256 - 32k8k,-0.09283827940937672,-1.0969801633175322,,,,,,,,
Owlii,Exercise,B_native,0.1122617746673177,0.11201376456090585,35.93450916606497,39.167210520259054,8192: 8k256 - 32k8k,0.0002480101064118445,-3.2327013541940843,,,,,,,,
Owlii,Exercise,Official_Full,0.16941570368992537,0.2743983817340557,40.86832130370696,41.6262788057216,8192: 8k256 - 32k8k,-0.1049826780441303,-0.7579575020146336,,,,,,,,
Owlii,Model,B_native,0.16772202415793114,0.23270670690454653,32.97469598587148,36.40979485619533,8192: 8k256 - 32k8k,-0.0649846827466154,-3.4350988703238556,,,,,,,,
Owlii,Model,Official_Full,0.3591854109812924,0.5225289051394516,39.4432292501387,41.27490509778584,8192: 8k256 - 32k8k,-0.16334349415815919,-1.8316758476471406,,,,,,,,
RWTT_Train,train_high,B_native,0.22587681335041374,0.3233675894801967,27.904344693086664,31.04561179208079,8192: 8k256 - 32k8k,-0.09749077612978299,-3.1412670989941276,,,,,,,,
RWTT_Train,train_high,Official_Full,0.5248702034745879,0.8584077590398445,32.599278204126946,39.36662376941832,8192: 8k256 - 32k8k,-0.33353755556525655,-6.767345565291372,,,,,,,,
RWTT_Train,train_low,B_native,0.00929577596135464,0.0026633964833094755,44.54432192227652,59.319635898972535,8192: 8k256 - 32k8k,0.006632379478045163,-14.775313976696019,,,,,,,,
RWTT_Train,train_low,Official_Full,0.00951213029753384,0.00381977310771555,52.385223910285255,59.98988473934516,8192: 8k256 - 32k8k,0.00569235718981829,-7.6046608290599025,,,,,,,,
RWTT_Train,train_typical,B_native,0.22903938862106502,0.3145258036567214,31.37152998580043,33.65659695706169,8192: 8k256 - 32k8k,-0.08548641503565638,-2.2850669712612586,,,,,,,,
RWTT_Train,train_typical,Official_Full,0.5294414946793149,0.8334370070868415,35.218674460915736,38.96565554237023,8192: 8k256 - 32k8k,-0.30399551240752665,-3.746981081454493,,,,,,,,
RWTT_Val,val28,B_native,0.2017922707972145,0.3063031640322269,29.22580810465244,31.652404752911128,8192: 8k256 - 32k8k,-0.10451089323501239,-2.4265966482586876,,,,,,,,
RWTT_Val,val28,Official_Full,0.5087482548721358,0.9065357544874384,33.07704642484698,38.95887257802049,8192: 8k256 - 32k8k,-0.3977874996153026,-5.881826153173506,,,,,,,,
8i,Longdress,B_native,,,,,4096: 32k8k - 8k256,0.2068799929134721,4.235530273900292,0.475897646293676,0.2690176533802039,32.008703485458696,27.773173211558404,,,,
8i,Longdress,Official_Full,,,,,4096: 32k8k - 8k256,0.4427867770983932,3.264534635992824,1.1085381005774122,0.665751323479019,37.7627805564457,34.498245920452874,,,,
8i,Loot,B_native,,,,,4096: 32k8k - 8k256,0.022243056805975533,3.8985386061195157,0.13602140856963685,0.11377835176366131,39.97465864437514,36.076120038255624,,,,
8i,Loot,Official_Full,,,,,4096: 32k8k - 8k256,0.06776234500828901,0.8105861433195543,0.25123030976610766,0.18346796475781865,42.3494405761199,41.53885443280035,,,,
8i,Redandblack,B_native,,,,,4096: 32k8k - 8k256,0.05268638534706099,3.849555619666347,0.24085808066876865,0.18817169532170766,36.86474119121884,33.01518557155249,,,,
8i,Redandblack,Official_Full,,,,,4096: 32k8k - 8k256,0.14301344479477784,1.903063733419259,0.4918627778342359,0.34884933303945803,39.95958916039668,38.05652542697742,,,,
8i,Soldier,B_native,,,,,4096: 32k8k - 8k256,0.051815688496186285,3.1702095696895114,0.22680198440717994,0.17498629591099366,38.12960554422023,34.95939597453072,,,,
8i,Soldier,Official_Full,,,,,4096: 32k8k - 8k256,0.11756593342521421,0.791151158794662,0.41889612530082426,0.30133019187561005,41.25280784390232,40.461656685107656,,,,
Owlii,Basketball,B_native,,,,,4096: 32k8k - 8k256,0.026766572429375413,3.815574294782948,0.1309492261531718,0.1041826537237964,38.88615308895982,35.070578794176875,,,,
Owlii,Basketball,Official_Full,,,,,4096: 32k8k - 8k256,0.11641047603856738,1.4713035684462668,0.26652030790601056,0.15010983186744317,42.3044267135407,40.83312314509443,,,,
Owlii,Dancer,B_native,,,,,4096: 32k8k - 8k256,0.03951922830388099,4.090453594761726,0.16386577364758034,0.12434654534369935,38.17868960091722,34.08823600615549,,,,
Owlii,Dancer,Official_Full,,,,,4096: 32k8k - 8k256,0.14851617718698987,1.8261479280045023,0.33855717211888814,0.19004099493189827,42.08272417352937,40.25657624552487,,,,
Owlii,Exercise,B_native,,,,,4096: 32k8k - 8k256,0.021440473699303242,3.7282601857857145,0.10780999325722523,0.08636951955792199,39.03998706446683,35.311726878681114,,,,
Owlii,Exercise,Official_Full,,,,,4096: 32k8k - 8k256,0.14365985413905613,1.36810507457718,0.26000139505684855,0.1163415409177924,41.41602673607041,40.04792166149323,,,,
Owlii,Model,B_native,,,,,4096: 32k8k - 8k256,0.08304611899567468,3.4838528580191976,0.2269659675715122,0.1439198485758375,36.18684117838181,32.702988320362614,,,,
Owlii,Model,Official_Full,,,,,4096: 32k8k - 8k256,0.22742814573815473,2.246732636322818,0.5114852794733601,0.28405713373520536,40.889631088942366,38.64289845261955,,,,
8i,Longdress,B_native,,,,,2048: 2k128 - 8k256,-0.013100752244261438,0.23620710007235246,,,,,0.2215285920421089,0.23462934428637033,27.868841531603614,27.63263443153126
8i,Longdress,Official_Full,,,,,2048: 2k128 - 8k256,-0.05320490555569796,-0.6842102629547071,,,,,0.4664427261686361,0.519647631724334,32.92831730642171,33.61252756937642
8i,Loot,B_native,,,,,2048: 2k128 - 8k256,-0.00527515103348504,0.6772858969183204,,,,,0.08451169461743357,0.08978684565091861,35.20331540851927,34.52602951160095
8i,Loot,Official_Full,,,,,2048: 2k128 - 8k256,-0.008275331093960517,-0.47699424486536657,,,,,0.112526621009953,0.12080195210391352,39.45539626301138,39.93239050787675
8i,Redandblack,B_native,,,,,2048: 2k128 - 8k256,-0.012860123717980038,0.35713446456432507,,,,,0.14354136448763413,0.15640148820561417,32.588409096552866,32.23127463198854
8i,Redandblack,Official_Full,,,,,2048: 2k128 - 8k256,-0.04361672502378941,-0.8136571277480869,,,,,0.21918169808008806,0.26279842310387747,36.211337112904715,37.0249942406528
8i,Soldier,B_native,,,,,2048: 2k128 - 8k256,-0.005487144784044662,0.8432997125590731,,,,,0.14196793472721747,0.14745507951126213,34.3123999421853,33.46910022962623
8i,Soldier,Official_Full,,,,,2048: 2k128 - 8k256,-0.0059939894829725004,-0.36773791417422075,,,,,0.19544372325177603,0.20143771273474853,38.28092615547529,38.64866406964951
Owlii,Basketball,B_native,,,,,2048: 2k128 - 8k256,-0.0031348237980349664,0.603761323550863,,,,,0.0798676742646791,0.08300249806271406,34.78922961306434,34.18546828951348
Owlii,Basketball,Official_Full,,,,,2048: 2k128 - 8k256,-0.004862995891823457,-0.3968135435172897,,,,,0.10338890026211447,0.10825189615393793,39.22771985133,39.62453339484729
Owlii,Dancer,B_native,,,,,2048: 2k128 - 8k256,-0.0047062979496836355,0.49283798174803906,,,,,0.0955845694962381,0.10029086744592174,33.6675550383836,33.17471705663556
Owlii,Dancer,Official_Full,,,,,2048: 2k128 - 8k256,-0.008546545913469067,-0.518825747023655,,,,,0.12748027884530466,0.13602682475877373,38.45448683544634,38.973312582469994
Owlii,Exercise,B_native,,,,,2048: 2k128 - 8k256,-0.004736993032466066,0.4840568893560686,,,,,0.059894440698458465,0.06463143373092453,34.862313736566456,34.37825684721039
Owlii,Exercise,Official_Full,,,,,2048: 2k128 - 8k256,-0.0056670309315104556,-0.27160974138471516,,,,,0.07322498391809466,0.07889201484960512,38.79127669012287,39.062886431507586
Owlii,Model,B_native,,,,,2048: 2k128 - 8k256,-0.0037217504998061646,0.5270365605915472,,,,,0.11836626099383508,0.12208801149364125,32.621457866988344,32.0944213063968
Owlii,Model,Official_Full,,,,,2048: 2k128 - 8k256,-0.011104438582754977,-0.4700536191737754,,,,,0.2001596339062417,0.21126407248899667,36.97220766701285,37.44226128618663
