configuration,point,profile,lambda,dataset,sequence,block,source,points,released_sha256,base_sha256,endpoint,physical_bits,physical_bpp,x_low_bits,r1_bits,r2_bits,r3_bits,r4_bits,r5_bits,y_mse,u_mse,v_mse,y_psnr,u_psnr,v_psnr,yuv_psnr_611,run
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,0,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53622,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,B_unpool,13744,0.2563127074708142,1112,280,1224,3712,7416,12320,0.000290515,0.000120287,0.000132366,35.3683,39.1978,38.7822,36.273725,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,0,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53622,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,B_native,13744,0.2563127074708142,1112,280,1224,3712,7416,12320,0.000233567,0.000100144,9.86535e-05,36.3159,39.9937,40.0589,37.2435,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,0,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53622,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,Canonical_Base,13744,0.2563127074708142,1112,280,1224,3712,7416,12320,0.000189554,9.96803e-05,9.6304e-05,37.2227,40.0139,40.1636,37.9392125,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,0,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53622,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,Official_Full,26064,0.4860691507217187,1112,280,1224,3712,7416,12320,0.000102956,6.18639e-05,5.81719e-05,39.8735,42.0856,42.3529,40.4599375,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,1,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,B_unpool,22712,0.4235495962553381,1296,392,1640,5320,14064,28528,0.000513258,0.000197037,0.00035499,32.8966,37.0545,34.4978,33.6164875,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,1,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,B_native,22712,0.4235495962553381,1296,392,1640,5320,14064,28528,0.00042268,0.000167911,0.000283245,33.7399,37.7492,35.4784,34.458375,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,1,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,Canonical_Base,22712,0.4235495962553381,1296,392,1640,5320,14064,28528,0.000352952,0.000167108,0.000270228,34.5228,37.77,35.6827,35.0736875,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,1,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,Official_Full,51240,0.9555601141301308,1296,392,1640,5320,14064,28528,0.000160091,9.35832e-05,0.000117048,37.9563,40.288,39.3164,38.417775,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,2,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,B_unpool,16128,0.3007664621524346,1088,320,1432,4096,9192,15544,0.000364861,0.000146926,0.000160261,34.3787,38.329,37.9517,35.3191125,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,2,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,B_native,16128,0.3007664621524346,1088,320,1432,4096,9192,15544,0.000295453,0.000117874,0.000117172,35.2951,39.2858,39.3118,36.296025,full_88blocks_v2
