configuration,dataset,endpoint,lambda,num_blocks,points,physical_bits,physical_bpp,y_mse,y_psnr,u_mse,u_psnr,v_mse,v_psnr,yuv611,x_low_bits,r1_bits,r2_bits,r3_bits,r4_bits,r5_bits
DIAGNOSTIC_2k128_L2048_RANGE_UNKNOWN,8i,B_native,2048.0,14.0,877508.25,130374.0,0.14788739646859853,0.0010982025260422067,30.288934403841235,0.00015714599894873433,40.4852455678845,0.0004270538374825681,37.72707996679019,32.493241494715264,17688.0,162.0,7780.0,27304.0,77440.0,87060.0
DIAGNOSTIC_2k128_L2048_RANGE_UNKNOWN,8i,B_unpool,2048.0,14.0,877508.25,130374.0,0.14788739646859853,0.001513870748214158,28.791825029044823,0.0005696701868351159,32.56147401493858,0.0004594552119827333,37.45263562014892,30.345632476169556,17688.0,162.0,7780.0,27304.0,77440.0,87060.0
DIAGNOSTIC_2k128_L2048_RANGE_UNKNOWN,8i,Official_Full,2048.0,14.0,877508.25,217434.0,0.24839869212761329,0.00033011321991787855,35.18459653313241,0.00010078722266854229,42.5791558435038,0.000284551125273779,40.065218633327966,36.71899420945327,17688.0,162.0,7780.0,27304.0,77440.0,87060.0
DIAGNOSTIC_2k128_L2048_RANGE_UNKNOWN,Owlii,B_native,2048.0,8.0,700286.25,61798.0,0.08842823636330269,0.0007742775483888243,31.222238994526037,6.732448231871475e-05,41.75559240827719,5.418636082289784e-05,42.79208613457204,33.98513906375069,12106.0,192.0,4232.0,13868.0,31400.0,25880.0
DIAGNOSTIC_2k128_L2048_RANGE_UNKNOWN,Owlii,B_unpool,2048.0,8.0,700286.25,61798.0,0.08842823636330269,0.0012662299613621646,29.035862016516717,0.0007237967995814969,31.458630138291802,6.696301070328926e-05,41.792034007837515,30.933229530653705,12106.0,192.0,4232.0,13868.0,31400.0,25880.0
DIAGNOSTIC_2k128_L2048_RANGE_UNKNOWN,Owlii,Official_Full,2048.0,8.0,700286.25,87678.0,0.12606344923293888,0.00023697817177185,36.333166168951934,4.519135165115047e-05,43.502588997817384,3.055566296547345e-05,45.38979607629514,38.361422760978016,12106.0,192.0,4232.0,13868.0,31400.0,25880.0
DIAGNOSTIC_32k8k_L4096_OUT_OF_RANGE_UNKNOWN,8i,B_native,4096.0,14.0,877508.25,236836.0,0.26989477998481537,0.00041316242091943864,34.6442178208941,7.659243709159408e-05,43.768203057362946,0.0001426321752451452,42.32190774781829,36.74442721631823,17688.0,4146.0,17034.0,55632.0,142336.0,258738.0
DIAGNOSTIC_32k8k_L4096_OUT_OF_RANGE_UNKNOWN,8i,B_unpool,4096.0,14.0,877508.25,236836.0,0.26989477998481537,0.0005017496646239747,33.79867154755499,8.353014951056412e-05,43.600199886601416,0.0001725977164902545,41.82774565569547,36.02749685345335,17688.0,4146.0,17034.0,55632.0,142336.0,258738.0
DIAGNOSTIC_32k8k_L4096_OUT_OF_RANGE_UNKNOWN,8i,Official_Full,4096.0,14.0,877508.25,495574.0,0.567631828369645,0.00013451973796909874,38.87731815988385,4.397031408034413e-05,45.01388483447887,6.011606495180082e-05,44.37144247994727,40.331154534216154,17688.0,4146.0,17034.0,55632.0,142336.0,258738.0
DIAGNOSTIC_32k8k_L4096_OUT_OF_RANGE_UNKNOWN,Owlii,B_native,4096.0,8.0,700286.25,109536.0,0.1573977401573724,0.0002964439219295958,35.477680833665545,3.733724846860125e-05,44.32471991481502,1.8845378170027787e-05,47.39253694864307,38.07291773318142,12106.0,2588.0,8622.0,25134.0,61086.0,128978.0
