point,metric,spearman_rho_vs_delta_matched,p_descriptive_only,n
2K,r2_E_D111,-0.9047619047619048,0.0020082755054294677,8
2K,tv6_D111,-0.8333333333333335,0.01017554012345675,8
2K,var_V,-0.523809523809524,0.18272075053971484,8
2K,native_r5_gap_db,-0.5000000000000001,0.20703124999999997,8
2K,r5_delta_bpp,-0.6190476190476191,0.1017330374542646,8
2K,gain_synthesis_db,0.8333333333333335,0.01017554012345675,8
4K,r2_E_D111,-0.9047619047619048,0.0020082755054294677,8
4K,tv6_D111,-0.8333333333333335,0.01017554012345675,8
4K,var_V,-0.523809523809524,0.18272075053971484,8
4K,native_r5_gap_db,-0.6428571428571429,0.08555889101267318,8
4K,r5_delta_bpp,-0.4761904761904762,0.23293553465009798,8
4K,gain_synthesis_db,0.5952380952380953,0.11952980613879259,8
