configuration,point,profile,lambda,dataset,sequence,block,source,points,released_sha256,base_sha256,stage,stage_index,stage_bits,cumulative_bits,mse_Y,mse_U,mse_V,psnr_Y,psnr_U,psnr_V,yuv611,x_mean,x_std,x_rms,x_l2,x_zero_fraction,f_mean,f_std,f_rms,f_l2,f_zero_fraction,d_mean,d_std,d_rms,d_l2,d_zero_fraction,f4_mean,f4_std,f4_rms,f4_l2,f4_zero_fraction,f5p_mean,f5p_std,f5p_rms,f5p_l2,f5p_zero_fraction,cB_mean,cB_std,cB_rms,cB_l2,cB_zero_fraction,FB_mean,FB_std,FB_rms,FB_l2,FB_zero_fraction,run
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,0,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53622,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,x_low,0.0,1112.0,1112.0,1.368002585877548e-06,1.0668607046682157e-06,1.4814505675531109e-06,58.639137268066406,59.71892929077149,58.29313278198242,58.73086166381836,0.4629888534545898,0.0902545005083084,0.4717038571834564,6.275611877441406,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,0,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53622,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,r1,1.0,280.0,1392.0,0.000170210856595,0.0003731853503268,0.0005157383275218,37.690128326416016,34.28075408935547,32.87570571899414,36.66215515136719,0.4631245732307434,0.0892988741397857,0.4716552495956421,12.655838012695312,0.0,-0.0049864337779581,0.0521509833633899,0.0523888282477855,9.18225383758545,0.0,0.0008454388589598,0.0879723653197288,0.0879764258861541,15.419734954833984,0.0,,,,,,,,,,,,,,,,,,,,,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,0,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53622,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,r2,2.0,1224.0,2616.0,0.0002230953687103,0.00055455340771,0.0004968575667589,36.51509475708008,32.56056594848633,33.037681579589844,35.58610153198242,0.463079571723938,0.0917173251509666,0.4720749855041504,25.85661125183105,0.0,-0.0052819233387708,0.055136177688837,0.0553885959088802,19.81642723083496,0.0,-0.001613215310499,0.1178560927510261,0.1178671345114708,42.16942596435547,0.0,,,,,,,,,,,,,,,,,,,,,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,0,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53622,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,r3,3.0,3712.0,6328.0,0.000171940686414,0.0001721381559036,0.0002072049974231,37.64621353149414,37.64122772216797,36.83599853515625,37.544315338134766,0.4626921713352203,0.0946261659264564,0.4722691476345062,51.279815673828125,0.0,-0.0045820805244147,0.0558511056005954,0.056038748472929,39.74565887451172,0.0,-0.0025370216462761,0.1215990409255027,0.1216255128383636,86.26327514648438,0.0,,,,,,,,,,,,,,,,,,,,,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,0,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53622,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,r4,4.0,7416.0,13744.0,0.000127336839796,8.767817780608311e-05,8.998056000564247e-05,38.95045852661133,40.57109069824219,40.45851135253906,39.34154510498047,0.4630777537822723,0.0959802940487861,0.4729198813438415,100.30138397216795,0.0,-0.0030310018919408,0.0486948899924755,0.048789132386446,67.59068298339844,0.0,-0.0010369752999395,0.0829455256462097,0.082952007651329,114.91868591308594,0.0,,,,,,,,,,,,,,,,,,,,,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,0,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53622,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,r5,5.0,12320.0,26064.0,0.0001022783690132,6.144982762634754e-05,5.762193904956803e-05,39.90216445922852,42.11479187011719,42.39412307739258,40.49023818969727,0.4630456268787384,0.0963616147637367,0.4729659855365753,189.6976776123047,0.0,-0.0018647904507815,0.0440204255282878,0.0440599061548709,115.43035888671876,2.91391586415557e-07,-0.0003203408850822,0.0617254674434661,0.0617262944579124,161.7136688232422,0.0,,,,,,,,,,,,,,,,,,,,,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,0,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53622,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,base_features,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0030310018919408,0.0486948899924755,0.048789132386446,67.59068298339844,0.0,0.0007913579465821,0.0537675581872463,0.0537733845412731,140.8782196044922,0.0,-0.0025590285658836,0.063716322183609,0.0637676864862442,167.06179809570312,0.0,-0.0018861646531149,0.0424948222935199,0.0425366573035717,111.43968200683594,1.456957932077785e-07,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,1,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,x_low,0.0,1296.0,1296.0,1.11421968540526e-06,1.120618208005908e-06,1.1350416571076494e-06,59.5302963256836,59.50542449951172,59.44988250732422,59.51713562011719,0.4541996419429779,0.1132416054606437,0.4681035578250885,6.636513710021973,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,1,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,r1,1.0,392.0,1688.0,0.0002464693097863,0.000557595398277,0.0011817215709015,36.08237457275391,32.536808013916016,29.27484703063965,34.788238525390625,0.4522453248500824,0.115760825574398,0.4668259024620056,13.162503242492676,0.0,-0.0078182201832532,0.0587365999817848,0.0592546425759792,10.91315460205078,0.0,-0.0012357295490801,0.1040137484669685,0.1040210947394371,19.157962799072266,0.0,,,,,,,,,,,,,,,,,,,,,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,1,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,r2,2.0,1640.0,3328.0,0.0002723562065511,0.0007210681797005,0.0009919902076944,35.64862823486328,31.420238494873047,30.03492546081543,34.418365478515625,0.4495152235031128,0.1206031516194343,0.4654127657413482,25.971532821655277,0.0,-0.0087815541774034,0.0621785596013069,0.0627956092357635,22.88932228088379,0.0,-0.0011813152814283,0.1413628309965133,0.1413677781820297,51.52928161621094,0.0,,,,,,,,,,,,,,,,,,,,,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,1,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,r3,3.0,5320.0,8648.0,0.0002330299612367,0.0003467673377599,0.0004478419141378,36.32588195800781,34.59961700439453,33.48875427246094,35.755455017089844,0.4487819075584411,0.1260386109352111,0.4661447703838348,50.44711685180664,0.0,-0.007547503337264,0.06272454559803,0.0631769970059394,44.66001510620117,0.0,-0.0028107950929552,0.141901284456253,0.1419291198253631,100.33013916015624,0.0,,,,,,,,,,,,,,,,,,,,,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,1,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,r4,4.0,14064.0,22712.0,0.0001901275245472,0.0001463968510506,0.0002234023850178,37.20955276489258,38.34468460083008,36.509124755859375,37.263893127441406,0.449191689491272,0.1284766197204589,0.4672037959098816,98.9832763671875,0.0,-0.0058048013597726,0.0557043813169002,0.0560060180723667,77.50585174560547,0.0,-0.0011959022376686,0.1089585423469543,0.1089651137590408,150.7951202392578,0.0,,,,,,,,,,,,,,,,,,,,,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,1,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,r5,5.0,28528.0,51240.0,0.0001593123597558,9.313685586676002e-05,0.000116462848382,37.97750854492188,40.30878448486328,39.33812713623047,38.438995361328125,0.4495613574981689,0.1300663203001022,0.467998594045639,187.7071075439453,0.0,-0.0038658874109387,0.0489438809454441,0.0490963198244571,128.626220703125,1.456930789345279e-07,-0.0003219190402887,0.0787887126207351,0.0787893682718277,206.4182891845703,1.456930789345279e-07,,,,,,,,,,,,,,,,,,,,,full_88blocks_v2
R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,1,/data/run01/scz0ade/Tanzeyu/data/8iVFB/longdress/longdress_vox10_1300.ply,53623,bdd40b608ca865de3a30595ab084dcaf48450c2c9843661790c61caf9885fc90,36363fb7cb4a88dd3deb5879900d30b65483534c3547ba4055ad6315f513ff0d,base_features,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0058048013597726,0.0557043813169002,0.0560060180723667,77.50585174560547,0.0,0.0041091502644121,0.067581869661808,0.0677066817879676,177.38302612304688,0.0,-0.002616548910737,0.0791531950235366,0.0791964307427406,207.48472595214844,0.0,-0.0029746266081929,0.0449787266552448,0.045076984912157,118.09605407714844,0.0,full_88blocks_v2
