run,configuration,point,profile,lambda,dataset,sequence,stage,stage_index,num_blocks,points,stage_bits,cumulative_bits,stage_bpp,cumulative_bpp,mse_Y,psnr_Y,mse_U,psnr_U,mse_V,psnr_V,yuv611,x_rms,f_rms,d_rms
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,x_low,0.0,16.0,857966.0,19568.0,19568.0,0.022807430597482883,0.022807430597482883,1.265343051332456e-06,58.977917155135216,1.258858670611203e-06,59.00023024474328,1.211035779237289e-06,59.16843025729137,59.004520429105746,0.49217828899249594,,
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,r1,1.0,16.0,857966.0,6232.0,25800.0,0.0072636911019784,0.030071121699461283,0.0002725533084893473,35.64548541759763,0.0003968741206006244,34.01347219678832,0.0006354609697136985,31.969111188448508,34.98193698635282,0.4925147945596785,0.05815514479152685,0.11142877092926026
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,r2,2.0,16.0,857966.0,28200.0,54000.0,0.0328684353459228,0.06293955704538408,0.0003139567909820599,35.03130118580666,0.0004929844059525894,33.071668180774395,0.0006352591446136211,31.970490745237168,34.40374575510644,0.4931049120356816,0.061037840754701846,0.14120278703261066
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,r3,3.0,16.0,857966.0,95736.0,149736.0,0.11158484135734982,0.1745243984027339,0.0002740891196843021,35.62108203989342,0.00030614452117682164,35.1407350837904,0.0003709135453502906,34.30727306430163,35.39681254843157,0.49421053907271045,0.060843206087150055,0.13996140684447755
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,r4,4.0,16.0,857966.0,270992.0,420728.0,0.3158540082007912,0.4903784066035251,0.00022835534195439876,36.413888244152815,0.00015714897019985396,38.03688460576953,0.00017785647099743937,37.499303291436185,36.752439670265325,0.495151977358096,0.05618320048524207,0.11685935591927306
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,8i,Longdress,r5,5.0,16.0,857966.0,562504.0,983232.0,0.6556250480788283,1.1460034546823534,0.00017845534841414145,37.484704314463954,8.662033993268602e-05,40.6238011625845,9.639566619340295e-05,40.15942490895918,38.21143149479093,0.4958407229219736,0.049736327329238224,0.0862898341110468
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,8i,Loot,x_low,0.0,16.0,805285.0,14384.0,14384.0,0.017861999167996422,0.017861999167996422,1.2788979660535822e-06,58.93164103330217,1.3144343567351668e-06,58.81261097818965,1.3738945513348765e-06,58.62046598812707,58.877865395766214,0.4610876951399012,,
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,8i,Loot,r1,1.0,16.0,805285.0,1976.0,16360.0,0.0024537896521107435,0.020315788820107167,0.00013946455362637194,38.55536158846285,1.647748417136e-05,47.83109096880587,1.9202497540334883e-05,47.16642281846192,40.79121041475561,0.4602753434121983,0.04624884575072149,0.06718564940080801
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,8i,Loot,r2,2.0,16.0,805285.0,7464.0,23824.0,0.009268768200078234,0.0295845570201854,0.00016972345205206208,37.70258143580443,1.2646220835031804e-05,48.9803923857544,1.4024735273174441e-05,48.53105327610811,40.46586678458614,0.4602661427539635,0.04363489548022702,0.06921994727093071
full_88blocks_v2,R03_32k8k_L8192,8K,32k8k,8192,8i,Loot,r3,3.0,16.0,805285.0,26960.0,50784.0,0.03347883047616682,0.06306338749635222,0.00016059364323223042,37.942716493674425,1.0236127870191872e-05,49.89864297523826,1.0972180469623894e-05,49.59707057764807,40.89400156436661,0.4604375068977641,0.041908171034949045,0.06374297493738354
