configuration,point,profile,lambda,dataset,sequence,physical_bpp_B_native,physical_bpp_B_unpool,physical_bpp_Canonical_Base,physical_bpp_Official_Full,yuv611_B_native,yuv611_B_unpool,yuv611_Canonical_Base,yuv611_Official_Full,gain_native_db,gain_synthesis_db,native_r5_gap_db,canonical_to_full_gap_db,r5_delta_bpp
DIAGNOSTIC_2k128_L2048_RANGE_UNKNOWN,2K_alt,2k128,2048,8i,Longdress,0.2215285920421089,0.2215285920421089,,0.4664427261686361,27.868841531603614,26.736021219270587,,32.92831730642171,1.1328203123330276,,5.059475774818097,,0.24491413412652718
DIAGNOSTIC_2k128_L2048_RANGE_UNKNOWN,2K_alt,2k128,2048,8i,Loot,0.08451169461743357,0.08451169461743357,,0.112526621009953,35.20331540851927,32.292821236547965,,39.45539626301138,2.910494171971308,,4.252080854492107,,0.02801492639251943
DIAGNOSTIC_2k128_L2048_RANGE_UNKNOWN,2K_alt,2k128,2048,8i,Redandblack,0.14354136448763413,0.14354136448763413,,0.21918169808008806,32.588409096552866,29.947480924652673,,36.211337112904715,2.6409281719001925,,3.6229280163518496,,0.07564033359245392
DIAGNOSTIC_2k128_L2048_RANGE_UNKNOWN,2K_alt,2k128,2048,8i,Soldier,0.14196793472721747,0.14196793472721747,,0.19544372325177603,34.3123999421853,32.40620652420699,,38.28092615547529,1.906193417978308,,3.968526213289991,,0.05347578852455856
DIAGNOSTIC_2k128_L2048_RANGE_UNKNOWN,2K_alt,2k128,2048,Owlii,Basketball,0.0798676742646791,0.0798676742646791,,0.10338890026211447,34.78922961306434,31.383095379762644,,39.22771985133,3.4061342333016995,,4.438490238265658,,0.023521225997435377
DIAGNOSTIC_2k128_L2048_RANGE_UNKNOWN,2K_alt,2k128,2048,Owlii,Dancer,0.0955845694962381,0.0955845694962381,,0.12748027884530466,33.6675550383836,30.93648910633596,,38.45448683544634,2.7310659320476383,,4.786931797062742,,0.03189570934906656
DIAGNOSTIC_2k128_L2048_RANGE_UNKNOWN,2K_alt,2k128,2048,Owlii,Exercise,0.059894440698458465,0.059894440698458465,,0.07322498391809466,34.862313736566456,31.342739852820703,,38.79127669012287,3.5195738837457533,,3.9289629535564146,,0.013330543219636198
DIAGNOSTIC_2k128_L2048_RANGE_UNKNOWN,2K_alt,2k128,2048,Owlii,Model,0.11836626099383508,0.11836626099383508,,0.2001596339062417,32.621457866988344,30.070593783695514,,36.97220766701285,2.5508640832928293,,4.350749800024509,,0.08179337291240661
DIAGNOSTIC_32k8k_L4096_OUT_OF_RANGE_UNKNOWN,4K_alt,32k8k,4096,8i,Longdress,0.475897646293676,0.475897646293676,,1.1085381005774122,32.008703485458696,31.259862482395878,,37.7627805564457,0.7488410030628181,,5.754077070987002,,0.6326404542837363
DIAGNOSTIC_32k8k_L4096_OUT_OF_RANGE_UNKNOWN,4K_alt,32k8k,4096,8i,Loot,0.13602140856963685,0.13602140856963685,,0.25123030976610766,39.97465864437514,39.37809419525824,,42.3494405761199,0.5965644491168973,,2.3747819317447636,,0.11520890119647081
DIAGNOSTIC_32k8k_L4096_OUT_OF_RANGE_UNKNOWN,4K_alt,32k8k,4096,8i,Redandblack,0.24085808066876865,0.24085808066876865,,0.4918627778342359,36.86474119121884,36.16750806957668,,39.95958916039668,0.6972331216421637,,3.0948479691778417,,0.25100469716546725
DIAGNOSTIC_32k8k_L4096_OUT_OF_RANGE_UNKNOWN,4K_alt,32k8k,4096,8i,Soldier,0.22680198440717994,0.22680198440717994,,0.41889612530082426,38.12960554422023,37.304522666582606,,41.25280784390232,0.8250828776376267,,3.1232022996820845,,0.19209414089364432
DIAGNOSTIC_32k8k_L4096_OUT_OF_RANGE_UNKNOWN,4K_alt,32k8k,4096,Owlii,Basketball,0.1309492261531718,0.1309492261531718,,0.26652030790601056,38.88615308895982,38.14036069418583,,42.3044267135407,0.7457923947739928,,3.418273624580877,,0.13557108175283875
DIAGNOSTIC_32k8k_L4096_OUT_OF_RANGE_UNKNOWN,4K_alt,32k8k,4096,Owlii,Dancer,0.16386577364758034,0.16386577364758034,,0.33855717211888814,38.17868960091722,37.39451372948989,,42.08272417352937,0.7841758714273297,,3.9040345726121544,,0.1746913984713078
DIAGNOSTIC_32k8k_L4096_OUT_OF_RANGE_UNKNOWN,4K_alt,32k8k,4096,Owlii,Exercise,0.10780999325722523,0.10780999325722523,,0.26000139505684855,39.03998706446683,38.599036837829246,,41.41602673607041,0.44095022663758243,,2.3760396716035785,,0.15219140179962332
DIAGNOSTIC_32k8k_L4096_OUT_OF_RANGE_UNKNOWN,4K_alt,32k8k,4096,Owlii,Model,0.2269659675715122,0.2269659675715122,,0.5114852794733601,36.18684117838181,35.356742859255306,,40.889631088942366,0.8300983191265061,,4.702789910560554,,0.28451931190184787
DIAGNOSTIC_8k256_L8192,same_lambda_control,8k256,8192,8i,Longdress,0.3050004312525205,0.3050004312525205,,0.8072114745805777,27.79344938517261,27.31142638931203,,35.019994701117824,0.48202299586058217,,7.226545315945213,,0.5022110433280572
DIAGNOSTIC_8k256_L8192,same_lambda_control,8k256,8192,8i,Loot,0.13991568202561827,0.13991568202561827,,0.2585916787224399,37.08375826355109,35.375638831982755,,43.014129560547026,1.7081194315683348,,5.930371296995936,,0.1186759966968216
DIAGNOSTIC_8k256_L8192,same_lambda_control,8k256,8192,8i,Redandblack,0.22089215788494254,0.22089215788494254,,0.43933476839503177,33.49256638337589,31.95619001370699,,38.81592859896327,1.536376369668897,,5.32336221558738,,0.21844261051008923
DIAGNOSTIC_8k256_L8192,same_lambda_control,8k256,8192,8i,Soldier,0.2025836224888462,0.2025836224888462,,0.40702567554042773,35.797753656877916,34.53641064370687,,42.00401687287104,1.261343013171043,,6.2062632159931255,,0.20444205305158153
