sequence,frame,endpoint,source,checkpoint_profile,lambda,checkpoint_step,points,physical_bits,physical_bpp,base_bits,enhancement_bits,x_low_bits,r1_bits,r2_bits,r3_bits,r4_bits,num_base_residual_streams,num_native_r5_streams,y_mse,u_mse,v_mse,y_psnr,u_psnr,v_psnr,yuv_psnr_611,hard_max_abs_difference,seconds
loot,1200,R01,OFFICIAL_RELEASED,32k8k,32768,,805285,362440,0.45007668092662845,,,,,,,,,1,4.28348e-05,7.27543e-06,7.14508e-06,43.682,51.3814,51.4599,45.6166625,,34.55444024503231
loot,1200,R02,OFFICIAL_RELEASED,32k8k,16384,,805285,275240,0.3417920363597981,,,,,,,,,1,6.10491e-05,8.62311e-06,8.60248e-06,42.1432,50.6434,50.6538,44.269549999999995,,31.71227040886879
loot,1200,R03,OFFICIAL_RELEASED,32k8k,8192,,805285,204352,0.2537635743867078,,,,,,,,,1,9.28117e-05,1.07011e-05,1.09088e-05,40.324,49.7057,49.6222,42.6589875,,31.544230826199055
loot,1200,R04,OFFICIAL_RELEASED,8k256,4096,,805285,144016,0.17883854784331013,,,,,,,,,1,0.000123619,1.2033e-05,1.22511e-05,39.0791,49.1962,49.1182,41.598625,,31.724909499287605
loot,1200,R05,OFFICIAL_RELEASED,8k256,2048,,805285,93856,0.11655004128972972,,,,,,,,,1,0.000192763,1.42744e-05,1.36128e-05,37.1498,48.4544,48.6605,40.001712500000004,,31.546757638454437
loot,1200,R06,OFFICIAL_RELEASED,2k128,1024,,805285,55352,0.06873591337228435,,,,,,,,,1,0.000303749,1.72419e-05,1.85921e-05,35.1748,47.6342,47.3067,38.248712499999996,,31.502713598310947
loot,1200,R07,OFFICIAL_RELEASED,2k128,512,,805285,35096,0.04358208584538393,,,,,,,,,1,0.000429521,2.00303e-05,2.07901e-05,33.6702,46.9831,46.8214,36.978212500000005,,31.447297111153603
loot,1200,R08,OFFICIAL_RELEASED,2k128,256,,805285,23120,0.028710332366801816,,,,,,,,,1,0.000597524,2.27302e-05,2.32432e-05,32.2364,46.434,46.337,35.773675000000004,,31.41208577901125
loot,1200,R09,OFFICIAL_RELEASED,2k128,128,,805285,17688,0.021964894416262565,,,,,,,,,1,0.000734283,2.64162e-05,2.54002e-05,31.3414,45.7813,45.9516,34.9726625,,31.07866309583187
loot,1200,B_native,CURRENT_CANONICAL_DIAGNOSTIC,32k8k,32768,0,805285,195864,0.24322320669079892,195864,0,11944,3616,13848,49664,116792,4,0,0.000115014,7.99561e-06,7.61024e-06,39.3925,50.9715,51.186,42.3140625,,27.178393609821796
loot,1200,Canonical_Base,CURRENT_CANONICAL,32k8k,32768,5525,805285,195864,0.24322320669079892,195864,0,11944,3616,13848,49664,116792,4,0,9.22901e-05,7.83777e-06,7.64003e-06,40.3484,51.0581,51.169,43.0396875,,54.301761500537395
loot,1200,Canonical_Full_step1763,CURRENT_CANONICAL,32k8k,32768,1763,805285,395400,0.4910062896986781,195864,199536,11944,3616,13848,49664,116792,4,0,4.09784e-05,7.40336e-06,7.24561e-06,43.8744,51.3057,51.3993,45.743925,0.0,29.692746430635452
loot,1200,Canonical_Full_step3525,CURRENT_CANONICAL,32k8k,32768,3525,805285,398792,0.4952184630286172,195864,202928,11944,3616,13848,49664,116792,4,0,4.4929e-05,7.26063e-06,7.13009e-06,43.4747,51.3903,51.469,45.463437500000005,0.0,29.80496344715357
