sequence,frame,endpoint,source,checkpoint_profile,lambda,checkpoint_step,points,physical_bits,physical_bpp,base_bits,enhancement_bits,x_low_bits,r1_bits,r2_bits,r3_bits,r4_bits,num_base_residual_streams,num_native_r5_streams,y_mse,u_mse,v_mse,y_psnr,u_psnr,v_psnr,yuv_psnr_611,hard_max_abs_difference,seconds
redandblack,1550,R01,OFFICIAL_RELEASED,32k8k,32768,,757691,662088,0.8738232340096425,,,,,,,,,1,5.20671e-05,3.9727e-05,7.67816e-05,42.8344,44.0091,41.1474,42.7703625,,33.562806986272335
redandblack,1550,R02,OFFICIAL_RELEASED,32k8k,16384,,757691,506064,0.6679028786141052,,,,,,,,,1,7.10525e-05,4.43489e-05,8.65131e-05,41.4842,43.5312,40.6292,41.6332,,30.143971733748913
redandblack,1550,R03,OFFICIAL_RELEASED,32k8k,8192,,757691,376528,0.49694136527951366,,,,,,,,,1,0.000102403,5.18741e-05,0.000106191,39.8969,42.8505,39.7391,40.246375,,29.95051433146
redandblack,1550,R04,OFFICIAL_RELEASED,8k256,4096,,757691,258952,0.34176465076132617,,,,,,,,,1,0.000150966,8.37432e-05,0.000306814,38.2112,40.7705,35.1312,38.146112499999994,,31.101204745471478
redandblack,1550,R05,OFFICIAL_RELEASED,8k256,2048,,757691,194040,0.25609384300460214,,,,,,,,,1,0.000199966,8.96704e-05,0.000363916,36.9904,40.4735,34.39,37.1007375,,30.035853497684002
redandblack,1550,R06,OFFICIAL_RELEASED,2k128,1024,,757691,116224,0.1533923459563331,,,,,,,,,1,0.000296568,0.00010392,0.000776482,35.2788,39.833,31.0987,35.3255625,,30.462565928697586
redandblack,1550,R07,OFFICIAL_RELEASED,2k128,512,,757691,75696,0.09990352267613051,,,,,,,,,1,0.000403244,0.000108686,0.000994471,33.9443,39.6383,30.0241,34.166025,,29.746950142085552
redandblack,1550,R08,OFFICIAL_RELEASED,2k128,256,,757691,51056,0.06738366959618103,,,,,,,,,1,0.000537849,0.000119446,0.00125105,32.6934,39.2283,29.0272,33.051987499999996,,29.566000014543533
redandblack,1550,R09,OFFICIAL_RELEASED,2k128,128,,757691,36160,0.04772394023421157,,,,,,,,,1,0.000694679,0.00012237,0.00159441,31.5822,39.1232,27.974,32.0738,,29.37046554684639
redandblack,1550,B_native,CURRENT_CANONICAL_DIAGNOSTIC,32k8k,32768,0,757691,310720,0.4100880174107915,310720,0,12648,5400,23488,75200,193984,4,0,0.000152879,5.97484e-05,0.000218655,38.1565,42.2367,36.6024,38.4722625,,25.42719065397978
redandblack,1550,Canonical_Base,CURRENT_CANONICAL,32k8k,32768,5525,757691,310720,0.4100880174107915,310720,0,12648,5400,23488,75200,193984,4,0,0.000121612,5.9803e-05,0.000211089,39.1502,42.2328,36.7553,39.2361625,,50.915286019444466
redandblack,1550,Canonical_Full_step1763,CURRENT_CANONICAL,32k8k,32768,1763,757691,716072,0.9450712757575318,310720,405352,12648,5400,23488,75200,193984,4,0,4.79773e-05,3.99334e-05,8.14621e-05,43.1896,43.9866,40.8904,43.001825000000004,0.0,29.691583216190338
redandblack,1550,Canonical_Full_step3525,CURRENT_CANONICAL,32k8k,32768,3525,757691,725448,0.9574457133580839,310720,414728,12648,5400,23488,75200,193984,4,0,5.48519e-05,3.78468e-05,7.72425e-05,42.6081,44.2197,41.1214,42.623712499999996,0.0,30.198409974575043
