sequence,frame,endpoint,source,checkpoint_profile,lambda,checkpoint_step,points,physical_bits,physical_bpp,base_bits,enhancement_bits,x_low_bits,r1_bits,r2_bits,r3_bits,r4_bits,num_base_residual_streams,num_native_r5_streams,y_mse,u_mse,v_mse,y_psnr,u_psnr,v_psnr,yuv_psnr_611,hard_max_abs_difference,seconds
soldier,0690,R01,OFFICIAL_RELEASED,32k8k,32768,,1089091,793856,0.7289161328116751,,,,,,,,,1,5.12607e-05,9.23254e-06,7.19384e-06,42.9022,50.3468,51.4304,44.8988,,47.127331517636776
soldier,0690,R02,OFFICIAL_RELEASED,32k8k,16384,,1089091,608304,0.5585428582184593,,,,,,,,,1,7.52189e-05,1.20197e-05,9.37179e-06,41.2367,49.2011,50.2818,43.3628875,,43.384847186505795
soldier,0690,R03,OFFICIAL_RELEASED,32k8k,8192,,1089091,458664,0.4211438713569389,,,,,,,,,1,0.000115648,1.62712e-05,1.28099e-05,39.3686,47.8858,48.9245,41.6277375,,43.15450431406498
soldier,0690,R04,OFFICIAL_RELEASED,8k256,4096,,1089091,319664,0.29351449970663607,,,,,,,,,1,0.000171162,1.38557e-05,1.08351e-05,37.6659,48.5837,49.6516,40.52883750000001,,43.35607669502497
soldier,0690,R05,OFFICIAL_RELEASED,8k256,2048,,1089091,211896,0.19456225421016243,,,,,,,,,1,0.000282069,1.71575e-05,1.30696e-05,35.4964,47.6555,48.8374,38.683912500000005,,43.07139040529728
soldier,0690,R06,OFFICIAL_RELEASED,2k128,1024,,1089091,140888,0.12936292743214295,,,,,,,,,1,0.000436096,2.06756e-05,1.85563e-05,33.6042,46.8454,47.3151,36.9732125,,43.071004040539265
soldier,0690,R07,OFFICIAL_RELEASED,2k128,512,,1089091,95312,0.08751518468153717,,,,,,,,,1,0.000649907,2.4011e-05,2.07159e-05,31.8715,46.1959,46.837,35.5327375,,42.59060889482498
soldier,0690,R08,OFFICIAL_RELEASED,2k128,256,,1089091,58968,0.054144235881115534,,,,,,,,,1,0.00102079,2.70956e-05,2.36303e-05,29.9106,45.671,46.2653,33.9249875,,42.495572209358215
soldier,0690,R09,OFFICIAL_RELEASED,2k128,128,,1089091,40480,0.037168611254706906,,,,,,,,,1,0.0014284,2.98517e-05,2.61159e-05,28.4515,45.2503,45.831,32.7237875,,42.3884612172842
soldier,0690,B_native,CURRENT_CANONICAL_DIAGNOSTIC,32k8k,32768,0,1089091,428416,0.39337025097076367,428416,0,17408,9472,36096,112248,253192,4,0,0.000200007,9.93384e-06,7.54123e-06,36.9895,50.0288,51.2256,40.398925,,36.75680769234896
soldier,0690,Canonical_Base,CURRENT_CANONICAL,32k8k,32768,5525,1089091,428416,0.39337025097076367,428416,0,17408,9472,36096,112248,253192,4,0,0.000131903,9.76793e-06,7.5526e-06,38.7975,50.102,51.219,41.76325,,73.68475311249495
soldier,0690,Canonical_Full_step1763,CURRENT_CANONICAL,32k8k,32768,1763,1089091,820352,0.7532446783602105,428416,391936,17408,9472,36096,112248,253192,4,0,5.38224e-05,9.28433e-06,7.31853e-06,42.6904,50.3225,51.3558,44.72758749999999,0.0,40.84026736021042
soldier,0690,Canonical_Full_step3525,CURRENT_CANONICAL,32k8k,32768,3525,1089091,829544,0.7616847444336607,428416,401128,17408,9472,36096,112248,253192,4,0,6.02908e-05,9.21705e-06,7.20003e-06,42.1975,50.3541,51.4267,44.370725,0.0,41.023008055984974
