model_id,partition_id,sample,points,conditioning_lambda,x_low_bits,r1_bits,r2_bits,r3_bits,r4_bits,num_base_residual_streams,num_native_r5_streams,base_bits,enhancement_bits,full_bits,base_bpp,enhancement_bpp,full_bpp,base_y_mse,base_u_mse,base_v_mse,base_y_psnr,base_u_psnr,base_v_psnr,base_yuv_psnr_611,full_y_mse,full_u_mse,full_v_mse,full_y_psnr,full_u_psnr,full_v_psnr,full_yuv_psnr_611,hard_full_max_abs_difference,seconds
RWT115,0,RWT115/model_mesh_P0.h5,68949,32768,1144,224,672,2440,6480,4,0,10960,23592,34552,0.15895807045787466,0.34216594874472434,0.501124019202599,8.9614e-05,2.47847e-05,1.3582e-05,40.4762,46.0582,48.6704,42.198224999999994,5.37491e-05,1.71025e-05,1.15767e-05,42.6963,47.6694,49.3642,44.151424999999996,0.0,7.454986117780209
RWT115,1,RWT115/model_mesh_P1.h5,68949,32768,1024,176,592,1928,6160,4,0,9880,18776,28656,0.14329431898939796,0.27231721997418384,0.4156115389635818,8.96269e-05,2.25522e-05,1.22193e-05,40.4756,46.4681,49.1295,42.306400000000004,4.98798e-05,1.49131e-05,1.06401e-05,43.0208,48.2643,49.7305,44.51495,0.0,5.792394511401653
RWT115,10,RWT115/model_mesh_P10.h5,68949,32768,1016,184,728,1600,3576,4,0,7104,10272,17376,0.10303267632598007,0.14897968063351172,0.2520123569594918,4.51289e-05,1.56189e-05,1.64277e-05,43.4554,48.0635,47.8442,44.580012499999995,2.33059e-05,1.10147e-05,1.29013e-05,46.3253,49.5803,48.8937,47.053225000000005,0.0,5.87317556142807
RWT115,11,RWT115/model_mesh_P11.h5,68950,32768,1752,472,1456,4200,11080,4,0,18960,33856,52816,0.2749818709209572,0.4910224800580131,0.7660043509789702,0.000132859,3.31983e-05,2.93921e-05,38.7661,44.7888,45.3177,40.3378875,6.69765e-05,2.14237e-05,2.18495e-05,41.7408,46.6911,46.6056,42.9676875,0.0,5.832643076777458
RWT115,12,RWT115/model_mesh_P12.h5,68949,32768,1184,64,360,1528,4576,4,0,7712,12592,20304,0.11185078826378918,0.1826277393435728,0.294478527607362,5.85404e-05,1.60577e-05,1.04006e-05,42.3254,47.9432,49.8294,43.965625,3.492e-05,1.0924e-05,9.58458e-06,44.5693,49.6162,50.1843,45.9020375,0.0,5.670930579304695
RWT115,13,RWT115/model_mesh_P13.h5,68950,32768,1064,168,512,1928,6624,4,0,10296,22560,32856,0.14932559825960842,0.32719361856417695,0.47651921682378534,8.72538e-05,2.42428e-05,1.40546e-05,40.5922,46.1542,48.5218,42.27865,4.96888e-05,1.57061e-05,1.13896e-05,43.0374,48.0393,49.4349,44.46232499999999,0.0,5.660208247601986
RWT115,14,RWT115/model_mesh_P14.h5,68949,32768,1000,264,744,1808,4672,4,0,8488,16424,24912,0.12310548376336132,0.23820505010950122,0.36131053387286255,6.33767e-05,1.65093e-05,1.48411e-05,41.9807,47.8227,48.2853,43.499025,3.42222e-05,1.22187e-05,1.28228e-05,44.6569,49.1297,48.9202,45.7489125,0.0,5.843912839889526
RWT115,15,RWT115/model_mesh_P15.h5,68950,32768,1256,392,1648,4056,10216,4,0,17568,25400,42968,0.25479332849891223,0.36838288614938364,0.6231762146482959,0.000118833,2.9579e-05,1.77709e-05,39.2506,45.2902,47.5029,41.037087500000005,6.59249e-05,2.13215e-05,1.49728e-05,41.8095,46.7118,48.247,43.226975,0.0,5.780292771756649
RWT115,16,RWT115/model_mesh_P16.h5,68949,32768,1376,224,1000,3224,7808,4,0,13632,19688,33320,0.19771135186877256,0.2855443878808975,0.48325573974967007,0.000103935,3.80056e-05,1.45074e-05,39.8324,44.2015,48.3841,41.4475,6.48462e-05,2.32495e-05,1.23429e-05,41.8812,46.3359,49.0858,43.338612499999996,0.0,5.623653300106525
RWT115,17,RWT115/model_mesh_P17.h5,68949,32768,1760,544,1744,4720,11944,4,0,20712,27120,47832,0.3003959448287865,0.39333420354174825,0.6937301483705347,0.000128995,2.97646e-05,2.50528e-05,38.8943,45.263,46.0114,40.580025,6.78221e-05,2.02942e-05,1.85564e-05,41.6863,46.9263,47.3151,43.0449,0.0,5.732738859951496
