rate_id,checkpoint_profile,base_lambda,model_id,num_h5,total_points,total_bits,bpp,y_mse,u_mse,v_mse,y_psnr,u_psnr,v_psnr,yuv_psnr_611
R01,32k8k,32768,RWT14,32,1603798,2605072,1.62431428396843,9.659220903280838e-05,1.2712409497798354e-05,9.226689602088296e-06,40.15057901643648,48.95772125888014,50.34954089377716,42.52634203140952
R01,32k8k,32768,RWT21,32,2731318,1303680,0.47730802491690827,5.015262382564022e-05,9.867817328370408e-06,1.0233235684153217e-05,42.99706341144287,50.05778898705511,49.89987023415352,44.74250496123324
R01,32k8k,32768,RWT26,8,681857,2347168,3.44231708408068,9.514939280538295e-05,0.00010654913008328725,0.00011569639158445246,40.21593978812725,39.72450091717685,39.36680185900442,40.04836768811809
R01,32k8k,32768,RWT43,32,2346552,4039328,1.7213886587640077,8.024210433325153e-05,2.049076988743484e-05,1.3919798929416435e-05,40.955976905517495,46.88441723805576,48.56367038035486,42.64799363143944
R01,32k8k,32768,RWT45,16,1541246,568344,0.36875618817502204,5.2923995526346866e-05,7.591742758469446e-06,6.847703704158841e-06,42.76347375944441,51.19658516132657,51.644550395740005,44.92774726421662
R01,32k8k,32768,RWT65,32,1890004,1967400,1.0409501778832213,8.835646279230096e-05,2.3761334349715667e-05,1.6083584684953046e-05,40.53761678727878,46.241291746148,47.93617149903987,42.17539549610757
R01,32k8k,32768,RWT115,32,2206378,953040,0.43194774422152504,5.985664006745444e-05,2.1715180445277286e-05,1.724250449442933e-05,42.228876650621146,46.63236557457054,47.63399652135854,43.454952749956995
R01,32k8k,32768,RWT144,64,4126571,6015608,1.4577740210940269,7.743198445993055e-05,4.5743525373463815e-05,4.448548276716915e-05,41.110796103095865,43.396703681236126,43.51781692001865,41.69741215247875
R01,32k8k,32768,RWT158,32,2881477,2873568,0.9972552270936051,8.980049568856528e-05,2.449178929267872e-05,1.355248324434656e-05,40.46721266069728,46.109794855347104,48.679811209883255,42.19911025367676
R01,32k8k,32768,RWT166,16,951094,1078208,1.1336503016526231,0.00010908719933182209,0.00011188400347725883,8.401470620517002e-05,39.622262080341415,39.51232001927125,40.75644686976959,39.75029242138617
R01,32k8k,32768,RWT182,32,2854013,1558552,0.5460914158414836,6.547562571799777e-05,1.4573701288392869e-05,1.4680766135119218e-05,41.839203425464845,48.364301362886614,48.332512795989274,43.46650433895812
R01,32k8k,32768,RWT226,32,1792507,2532064,1.4125824892176153,8.682196140651057e-05,9.158053454145506e-06,7.775456112963578e-06,40.613704071819264,50.38196825891017,51.09274125576606,43.14461674319897
R01,32k8k,32768,RWT285,32,2860405,3891016,1.3603024746495689,0.00010440303038482311,1.756053390960371e-05,9.2124536536889e-06,39.812868953921246,47.55462283961251,50.35624683990184,42.098510425380226
