model_id,partition_id,sample,points,conditioning_lambda,x_low_bits,r1_bits,r2_bits,r3_bits,r4_bits,num_base_residual_streams,num_native_r5_streams,base_bits,enhancement_bits,full_bits,base_bpp,enhancement_bpp,full_bpp,base_y_mse,base_u_mse,base_v_mse,base_y_psnr,base_u_psnr,base_v_psnr,base_yuv_psnr_611,full_y_mse,full_u_mse,full_v_mse,full_y_psnr,full_u_psnr,full_v_psnr,full_yuv_psnr_611,hard_full_max_abs_difference,seconds
RWT115,0,RWT115/model_mesh_P0.h5,68949,32768,1144,224,672,2440,6480,4,0,10960,18000,28960,0.15895807045787466,0.26106252447461165,0.42002059493248634,8.9614e-05,2.47847e-05,1.3582e-05,40.4762,46.0582,48.6704,42.198224999999994,4.83831e-05,1.79762e-05,1.11706e-05,43.1531,47.453,49.5192,44.48635000000001,0.0,7.3709810972213745
RWT115,1,RWT115/model_mesh_P1.h5,68949,32768,1024,176,592,1928,6160,4,0,9880,19064,28944,0.14329431898939796,0.2764942203657776,0.41978853935517557,8.96269e-05,2.25522e-05,1.22193e-05,40.4756,46.4681,49.1295,42.306400000000004,4.38764e-05,1.56926e-05,1.03234e-05,43.5777,48.0431,49.8618,44.9213875,0.0,5.79216780513525
RWT115,10,RWT115/model_mesh_P10.h5,68949,32768,1016,184,728,1600,3576,4,0,7104,9128,16232,0.10303267632598007,0.13238770685579196,0.23542038318177202,4.51289e-05,1.56189e-05,1.64277e-05,43.4554,48.0635,47.8442,44.580012499999995,2.15538e-05,1.1464e-05,1.3051e-05,46.6648,49.4067,48.8436,47.279887499999994,0.0,5.83806785941124
RWT115,11,RWT115/model_mesh_P11.h5,68950,32768,1752,472,1456,4200,11080,4,0,18960,29256,48216,0.2749818709209572,0.4243074691805656,0.6992893401015229,0.000132859,3.31983e-05,2.93921e-05,38.7661,44.7888,45.3177,40.3378875,6.10771e-05,2.12895e-05,2.08481e-05,42.1412,46.7183,46.8093,43.29685,0.0,5.793293960392475
RWT115,12,RWT115/model_mesh_P12.h5,68949,32768,1184,64,360,1528,4576,4,0,7712,10616,18328,0.11185078826378918,0.1539688755456932,0.26581966380948235,5.85404e-05,1.60577e-05,1.04006e-05,42.3254,47.9432,49.8294,43.965625,3.23073e-05,1.14773e-05,9.12905e-06,44.907,49.4016,50.3957,46.1549125,0.0,5.658483751118183
RWT115,13,RWT115/model_mesh_P13.h5,68950,32768,1064,168,512,1928,6624,4,0,10296,17408,27704,0.14932559825960842,0.2524728063814358,0.4017984046410442,8.72538e-05,2.42428e-05,1.40546e-05,40.5922,46.1542,48.5218,42.27865,4.64071e-05,1.59814e-05,1.06506e-05,43.3342,47.9639,49.7262,44.711912500000004,0.0,5.600896582007408
RWT115,14,RWT115/model_mesh_P14.h5,68949,32768,1000,264,744,1808,4672,4,0,8488,13056,21544,0.12310548376336132,0.189357351085585,0.3124628348489463,6.33767e-05,1.65093e-05,1.48411e-05,41.9807,47.8227,48.2853,43.499025,3.08845e-05,1.24158e-05,1.27723e-05,45.1026,49.0602,48.9373,46.076637500000004,0.0,5.7599011063575745
RWT115,15,RWT115/model_mesh_P15.h5,68950,32768,1256,392,1648,4056,10216,4,0,17568,23040,40608,0.25479332849891223,0.33415518491660623,0.5889485134155185,0.000118833,2.9579e-05,1.77709e-05,39.2506,45.2902,47.5029,41.037087500000005,6.08152e-05,2.13642e-05,1.43518e-05,42.1599,46.7031,48.4309,43.511675000000004,0.0,5.713427633047104
RWT115,16,RWT115/model_mesh_P16.h5,68949,32768,1376,224,1000,3224,7808,4,0,13632,21616,35248,0.19771135186877256,0.31350708494684476,0.5112184368156173,0.000103935,3.80056e-05,1.45074e-05,39.8324,44.2015,48.3841,41.4475,6.13845e-05,2.56148e-05,1.15686e-05,42.1194,45.9151,49.3672,43.4998375,0.0,5.8682722598314285
RWT115,17,RWT115/model_mesh_P17.h5,68949,32768,1760,544,1744,4720,11944,4,0,20712,27240,47952,0.3003959448287865,0.395074620371579,0.6954705652003655,0.000128995,2.97646e-05,2.50528e-05,38.8943,45.263,46.0114,40.580025,6.17292e-05,2.14021e-05,1.76813e-05,42.0951,46.6954,47.5249,43.3488625,0.0,5.576278418302536
RWT115,18,RWT115/model_mesh_P18.h5,68949,32768,1736,488,1328,4072,11520,4,0,19144,23560,42704,0.27765449825233146,0.3417018375901028,0.6193563358424342,0.000118543,2.93305e-05,2.03807e-05,39.2612,45.3268,46.9078,40.975225,5.78207e-05,1.97987e-05,1.44902e-05,42.3792,47.0336,48.3893,43.712262499999994,0.0,5.616077743470669
RWT115,19,RWT115/model_mesh_P19.h5,68950,32768,1200,224,768,2904,6920,4,0,12016,15648,27664,0.17427121102248005,0.22694706308919507,0.4012182741116751,8.60638e-05,2.94603e-05,1.18084e-05,40.6518,45.3076,49.2781,42.312062499999996,5.18137e-05,2.14015e-05,1.01767e-05,42.8556,46.6956,49.9239,44.2191375,0.0,5.71387330442667
RWT115,2,RWT115/model_mesh_P2.h5,68949,32768,1008,72,344,1912,5216,4,0,8552,16192,24744,0.12403370607260439,0.23484024423849512,0.35887395031109953,8.42598e-05,2.43171e-05,9.97158e-06,40.7438,46.1409,50.0124,42.5770125,4.21631e-05,1.9092e-05,8.85995e-06,43.7507,47.1915,50.5257,45.027675,0.0,5.7676553055644035
RWT115,20,RWT115/model_mesh_P20.h5,68949,32768,1528,368,1000,3360,9328,4,0,15584,26248,41832,0.22602213230068602,0.3806871745783115,0.6067093068789975,0.000122904,3.27894e-05,2.52265e-05,39.1043,44.8427,45.9814,40.6812375,6.0802e-05,2.14502e-05,1.7901e-05,42.1608,46.6857,47.4712,43.390212500000004,0.0,5.785031266510487
RWT115,21,RWT115/model_mesh_P21.h5,68949,32768,1504,472,1664,5320,13272,4,0,22232,29872,52104,0.32244122467330927,0.43324776283919997,0.7556889875125092,0.000144931,2.4075e-05,2.44678e-05,38.3884,46.1843,46.114,40.3285875,6.76294e-05,1.62571e-05,1.58258e-05,41.6986,47.8896,48.0063,43.2609375,0.0,5.7515657767653465
RWT115,22,RWT115/model_mesh_P22.h5,68949,32768,1624,312,1072,3608,9368,4,0,15984,22712,38696,0.23182352173345516,0.32940289199263223,0.5612264137260874,0.000109342,2.87444e-05,2.53242e-05,39.6121,45.4145,45.9646,41.1314625,5.12094e-05,2.0224e-05,1.76773e-05,42.9065,46.9413,47.5258,43.988262500000005,0.0,5.762308232486248
