endpoint,source,points,physical_bits,physical_bpp,y_mse,u_mse,v_mse,y_psnr,u_psnr,v_psnr,yuv_psnr_611,seconds,checkpoint_profile,lambda,base_bits,enhancement_bits,hard_full_max_abs_difference
R01,OFFICIAL_RELEASED,857966,1629144,1.898844476354541,7.37323e-05,5.76271e-05,6.3852e-05,41.3234,42.3937,41.9483,41.53530000000001,37.688633769750595,32k8k,32768,,,
R02,OFFICIAL_RELEASED,857966,1272616,1.4832942097938613,0.00011275,6.67581e-05,7.49784e-05,39.4788,41.755,41.2506,39.9848,34.43096303194761,32k8k,16384,,,
R03,OFFICIAL_RELEASED,857966,966328,1.1263010422324429,0.000178586,8.55389e-05,9.52311e-05,37.4815,40.6784,40.2122,38.222449999999995,33.943253479897976,32k8k,8192,,,
R04,OFFICIAL_RELEASED,857966,560944,0.6538067942086283,0.000416604,0.000164365,0.000264592,33.8028,37.8419,35.7742,34.5541125,35.933501839637756,8k256,4096,,,
R05,OFFICIAL_RELEASED,857966,435104,0.5071343153458295,0.000522652,0.000191969,0.000299269,32.8179,37.1677,35.2394,33.6643125,34.35972571372986,8k256,2048,,,
R06,OFFICIAL_RELEASED,857966,295840,0.3448155288204894,0.000739437,0.000303706,0.000507889,31.311,35.1755,32.9423,31.997974999999997,34.638731978833675,2k128,1024,,,
R07,OFFICIAL_RELEASED,857966,208552,0.2430772314986841,0.00103193,0.000370993,0.000617399,29.8635,34.3063,32.0943,30.697699999999998,33.54721166193485,2k128,512,,,
R08,OFFICIAL_RELEASED,857966,136608,0.1592230927565894,0.00155037,0.000478475,0.000789717,28.0956,33.2014,31.0253,29.1000375,33.65610668808222,2k128,256,,,
R09,OFFICIAL_RELEASED,857966,88816,0.10351925367671913,0.00224247,0.000602977,0.000968027,26.4927,32.197,30.1411,27.6617875,33.69496462494135,2k128,128,,,
Canonical_Base,CURRENT_CANONICAL,857966,658152,0.7671073212691412,0.000415318,0.000153214,0.000178685,33.8162,38.147,37.4791,34.8154125,34.3774813786149,32k8k,32768,658152,0,
Canonical_Full,CURRENT_CANONICAL,857966,1684600,1.9634810703454448,8.80207e-05,5.2624e-05,7.19827e-05,40.5542,42.7882,41.4277,40.942637500000004,63.290755808353424,32k8k,32768,658152,1026448,0.0
