endpoint,physical_bpp,yuv_psnr_611,y_psnr,source
R01,1.898844476354541,41.53530000000001,41.3234,Official Unicorn
R02,1.4832942097938613,39.9848,39.4788,Official Unicorn
R03,1.1263010422324429,38.22245,37.4815,Official Unicorn
R04,0.6538067942086283,34.5541125,33.8028,Official Unicorn
R05,0.5071343153458295,33.6643125,32.8179,Official Unicorn
R06,0.3448155288204894,31.997975,31.311,Official Unicorn
R07,0.2430772314986841,30.6977,29.8635,Official Unicorn
R08,0.1592230927565894,29.1000375,28.0956,Official Unicorn
R09,0.1035192536767191,27.6617875,26.4927,Official Unicorn
Canonical Base,0.7671073212691412,34.8154125,33.8162,Canonical
D111 +1500,2.0170589510540045,41.6922125,41.5604,Canonical
D411 +1500,2.346172225939023,43.545412500000005,44.2815,Canonical
D611 +1500,2.3910318124494445,43.8108125,44.7461,Canonical
