label,checkpoint_step,model_id,sample,points,base_bits,enhancement_bits,full_bits,base_bpp,enhancement_bpp,full_bpp,y_mse,u_mse,v_mse,y_psnr,u_psnr,v_psnr,yuv_psnr_611,hard_full_max_abs_difference
D111_p300,2063,RWT115,RWT115/model_mesh_P0.h5,68949,10960,18112,29072,0.15895807045787466,0.26268691351578705,0.4216449839736617,4.78431e-05,1.80669e-05,1.0955e-05,43.2018,47.4312,49.6039,44.5307375,0.0
D111_p500,2263,RWT115,RWT115/model_mesh_P0.h5,68949,10960,18912,29872,0.15895807045787466,0.27428969238132533,0.43324776283919997,4.71077e-05,1.78158e-05,1.08331e-05,43.2691,47.4919,49.6525,44.594875,0.0
D111_p750,2513,RWT115,RWT115/model_mesh_P0.h5,68949,10960,18408,29368,0.15895807045787466,0.2669799416960362,0.42593801215391086,4.70628e-05,1.86695e-05,1.11609e-05,43.2732,47.2887,49.523,44.556362500000006,0.0
D111_p1000,2763,RWT115,RWT115/model_mesh_P0.h5,68949,10960,20640,31600,0.15895807045787466,0.2993516947308881,0.4583097651887627,4.64426e-05,1.81251e-05,1.07835e-05,43.3308,47.4172,49.6724,44.634299999999996,0.0
D111_p1500,3263,RWT115,RWT115/model_mesh_P0.h5,68949,10960,18888,29848,0.15895807045787466,0.2739416090153592,0.4328996794732338,4.75555e-05,1.74768e-05,1.07805e-05,43.228,47.5754,49.6736,44.577125,0.0
D411_p300,2063,RWT115,RWT115/model_mesh_P0.h5,68949,10960,35864,46824,0.15895807045787466,0.5201525765420818,0.6791106469999565,2.83377e-05,2.24359e-05,1.16934e-05,45.4764,46.4906,49.3206,46.08369999999999,0.0
D411_p500,2263,RWT115,RWT115/model_mesh_P0.h5,68949,10960,36352,47312,0.15895807045787466,0.5272302716500602,0.6861883421079349,2.79917e-05,2.31175e-05,1.19574e-05,45.5297,46.3606,49.2237,46.0953125,0.0
D411_p750,2513,RWT115,RWT115/model_mesh_P0.h5,68949,10960,34096,45056,0.15895807045787466,0.4945104352492422,0.6534685057071169,2.93762e-05,2.34006e-05,1.20987e-05,45.32,46.3077,49.1726,45.9250375,0.0
D411_p1000,2763,RWT115,RWT115/model_mesh_P0.h5,68949,10960,37824,48784,0.15895807045787466,0.5485793847626507,0.7075374552205254,2.78018e-05,2.3305e-05,1.21966e-05,45.5593,46.3255,49.1376,46.1023625,0.0
D411_p1500,3263,RWT115,RWT115/model_mesh_P0.h5,68949,10960,34912,45872,0.15895807045787466,0.5063452696920913,0.665303340149966,2.89066e-05,2.3357e-05,1.21295e-05,45.39,46.3158,49.1616,45.97717500000001,0.0
D611_p300,2063,RWT115,RWT115/model_mesh_P0.h5,68949,10960,39408,50368,0.15895807045787466,0.5715528869164165,0.7305109573742912,2.56492e-05,2.34883e-05,1.22881e-05,45.9093,46.2915,49.1051,46.35655,0.0
D611_p500,2263,RWT115,RWT115/model_mesh_P0.h5,68949,10960,39976,50936,0.15895807045787466,0.5797908599109487,0.7387489303688234,2.54043e-05,2.42144e-05,1.26768e-05,45.9509,46.1593,48.9699,46.354324999999996,0.0
D611_p750,2513,RWT115,RWT115/model_mesh_P0.h5,68949,10960,37352,48312,0.15895807045787466,0.541733745231983,0.7006918156898577,2.69158e-05,2.42967e-05,1.26687e-05,45.6999,46.1445,48.9727,46.164575,0.0
D611_p1000,2763,RWT115,RWT115/model_mesh_P0.h5,68949,10960,41584,52544,0.15895807045787466,0.6031124454306807,0.7620705158885553,2.51895e-05,2.4011e-05,1.29282e-05,45.9878,46.1959,48.8846,46.3759125,0.0
D611_p1500,3263,RWT115,RWT115/model_mesh_P0.h5,68949,10960,38696,49656,0.15895807045787466,0.5612264137260874,0.7201844841839621,2.62698e-05,2.42024e-05,1.26369e-05,45.8054,46.1614,48.9836,46.247175000000006,0.0
D111_p300,2063,RWT14,RWT14/mesh_P0.h5,50118,31080,60792,91872,0.6201364779121273,1.212977373398779,1.8331138513109062,8.65794e-05,1.40337e-05,6.51144e-06,40.6259,48.5283,51.8632,43.0183625,0.0
D111_p500,2263,RWT14,RWT14/mesh_P0.h5,50118,31080,61920,93000,0.6201364779121273,1.2354842571531186,1.855620735065246,8.43853e-05,1.41199e-05,6.58064e-06,40.7373,48.5017,51.8173,43.09284999999999,0.0
D111_p750,2513,RWT14,RWT14/mesh_P0.h5,50118,31080,60648,91728,0.6201364779121273,1.2101041541960973,1.8302406321082245,8.68513e-05,1.44504e-05,6.69731e-06,40.6122,48.4012,51.741,42.976925,0.0
D111_p1000,2763,RWT14,RWT14/mesh_P0.h5,50118,31080,61480,92560,0.6201364779121273,1.2267049762560358,1.846841454168163,8.54694e-05,1.42462e-05,6.62303e-06,40.6819,48.463,51.7894,43.042975,0.0
D111_p1500,3263,RWT14,RWT14/mesh_P0.h5,50118,31080,61192,92272,0.6201364779121273,1.2209585378506724,1.8410950157627999,8.73922e-05,1.40458e-05,6.59849e-06,40.5853,48.5245,51.8056,42.9802375,0.0
D411_p300,2063,RWT14,RWT14/mesh_P0.h5,50118,31080,88128,119208,0.6201364779121273,1.7584101520411828,2.37854662995331,4.3238e-05,1.50994e-05,6.93285e-06,43.6413,48.2104,51.5909,45.2061375,0.0
D411_p500,2263,RWT14,RWT14/mesh_P0.h5,50118,31080,89528,120608,0.6201364779121273,1.78634422762281,2.4064807055349378,4.16038e-05,1.52213e-05,6.99576e-06,43.8087,48.1755,51.5517,45.322425,0.0
D411_p750,2513,RWT14,RWT14/mesh_P0.h5,50118,31080,88536,119616,0.6201364779121273,1.7665509397821142,2.3866874176942416,4.29181e-05,1.52038e-05,7.05239e-06,43.6736,48.1805,51.5166,45.2173375,0.0
D411_p1000,2763,RWT14,RWT14/mesh_P0.h5,50118,31080,89984,121064,0.6201364779121273,1.7954427550979688,2.4155792330100962,4.10327e-05,1.52072e-05,7.02468e-06,43.8687,48.1795,51.5337,45.365675,0.0
D411_p1500,3263,RWT14,RWT14/mesh_P0.h5,50118,31080,89320,120400,0.6201364779121273,1.7821940221078256,2.402330500019953,4.21217e-05,1.5062e-05,7.07946e-06,43.7549,48.2212,51.5,45.281325,0.0
D611_p300,2063,RWT14,RWT14/mesh_P0.h5,50118,31080,92600,123680,0.6201364779121273,1.8476395706133524,2.46777604852548,3.86393e-05,1.5182e-05,7.06126e-06,44.1297,48.1867,51.5112,45.5595125,0.0
D611_p500,2263,RWT14,RWT14/mesh_P0.h5,50118,31080,93944,125024,0.6201364779121273,1.8744562831717146,2.494592761083842,3.72615e-05,1.51277e-05,7.09772e-06,44.2874,48.2023,51.4888,45.676937499999994,0.0
D611_p750,2513,RWT14,RWT14/mesh_P0.h5,50118,31080,92888,123968,0.6201364779121273,1.8533860090187158,2.473522486930843,3.84653e-05,1.51847e-05,7.20236e-06,44.1493,48.1859,51.4252,45.563362500000004,0.0
D611_p1000,2763,RWT14,RWT14/mesh_P0.h5,50118,31080,94552,125632,0.6201364779121273,1.886587653138593,2.5067241310507202,3.66553e-05,1.52144e-05,7.08738e-06,44.3586,48.1774,51.4951,45.7280125,0.0
D611_p1500,3263,RWT14,RWT14/mesh_P0.h5,50118,31080,94160,125240,0.6201364779121273,1.8787661119757373,2.4989025898878645,3.73099e-05,1.50765e-05,7.16402e-06,44.2818,48.217,51.4484,45.66952499999999,0.0
D111_p300,2063,RWT144,RWT144/cabbage_model_P0.h5,64477,49176,67896,117072,0.762690571831816,1.053026660669696,1.815717232501512,7.31063e-05,4.45554e-05,5.05288e-05,41.3605,43.511,42.9646,41.82982500000001,0.0
D111_p500,2263,RWT144,RWT144/cabbage_model_P0.h5,64477,49176,68936,118112,0.762690571831816,1.0691564433829117,1.8318470152147277,7.16601e-05,4.4392e-05,5.04157e-05,41.4472,43.527,42.9743,41.898062499999995,0.0
D111_p750,2513,RWT144,RWT144/cabbage_model_P0.h5,64477,49176,67656,116832,0.762690571831816,1.0493044031204926,1.8119949749523085,7.25159e-05,4.4927e-05,5.12064e-05,41.3957,43.4749,42.9068,41.84448749999999,0.0
D111_p1000,2763,RWT144,RWT144/cabbage_model_P0.h5,64477,49176,69064,118240,0.762690571831816,1.0711416474091537,1.8338322192409697,7.17341e-05,4.40074e-05,5.01782e-05,41.4427,43.5647,42.9949,41.90197500000001,0.0
D111_p1500,3263,RWT144,RWT144/cabbage_model_P0.h5,64477,49176,68896,118072,0.762690571831816,1.068536067124711,1.831226638956527,7.20133e-05,4.39712e-05,4.96644e-05,41.4259,43.5683,43.0396,41.8954125,0.0
D411_p300,2063,RWT144,RWT144/cabbage_model_P0.h5,64477,49176,89376,138552,0.762690571831816,1.3861687113234176,2.148859283155234,4.07547e-05,5.25266e-05,5.73095e-05,43.8982,42.7962,42.4177,43.575387500000005,0.0
D411_p500,2263,RWT144,RWT144/cabbage_model_P0.h5,64477,49176,90112,139288,0.762690571831816,1.3975836344743087,2.160274206306125,3.93593e-05,5.41855e-05,5.83835e-05,44.0495,42.6612,42.3371,43.66191250000001,0.0
D411_p750,2513,RWT144,RWT144/cabbage_model_P0.h5,64477,49176,88448,137624,0.762690571831816,1.3717759821331639,2.13446655396498,4.03677e-05,5.44855e-05,5.8576e-05,43.9397,42.6372,42.3228,43.574775,0.0
D411_p1000,2763,RWT144,RWT144/cabbage_model_P0.h5,64477,49176,90104,139280,0.762690571831816,1.3974595592226686,2.1601501310544844,3.89582e-05,5.46688e-05,5.86297e-05,44.094,42.6226,42.3188,43.688175,0.0
D411_p1500,3263,RWT144,RWT144/cabbage_model_P0.h5,64477,49176,89456,138632,0.762690571831816,1.387409463839819,2.1501000356716347,3.90055e-05,5.5895e-05,5.88044e-05,44.0887,42.5263,42.3059,43.67055,0.0
D611_p300,2063,RWT144,RWT144/cabbage_model_P0.h5,64477,49176,92336,141512,0.762690571831816,1.432076554430262,2.194767126262078,3.69572e-05,5.62692e-05,5.99727e-05,44.323,42.4973,42.2205,43.831975,0.0
D611_p500,2263,RWT144,RWT144/cabbage_model_P0.h5,64477,49176,93088,142264,0.762690571831816,1.4437396280844332,2.206430199916249,3.56008e-05,5.91986e-05,6.16785e-05,44.4854,42.2769,42.0987,43.911,0.0
D611_p750,2513,RWT144,RWT144/cabbage_model_P0.h5,64477,49176,90944,140120,0.762690571831816,1.4104874606448812,2.173178032476697,3.66146e-05,6.00605e-05,6.26453e-05,44.3634,42.2141,42.0311,43.8032,0.0
D611_p1000,2763,RWT144,RWT144/cabbage_model_P0.h5,64477,49176,92768,141944,0.762690571831816,1.4387766180188284,2.2014671898506446,3.51285e-05,6.14517e-05,6.3641e-05,44.5434,42.1147,41.9626,43.9172125,0.0
D611_p1500,3263,RWT144,RWT144/cabbage_model_P0.h5,64477,49176,92264,141440,0.762690571831816,1.4309598771655008,2.193650448997317,3.51646e-05,6.17752e-05,6.29461e-05,44.5389,42.0919,42.0103,43.91695,0.0
D111_p300,2063,RWT158,RWT158/sutr13_P0.h5,90046,38224,43400,81624,0.42449414743575503,0.48197587899518024,0.9064700264309353,7.51691e-05,2.55076e-05,1.41499e-05,41.2396,45.9333,48.4925,42.732925,0.0
D111_p500,2263,RWT158,RWT158/sutr13_P0.h5,90046,38224,44632,82856,0.42449414743575503,0.4956577749150434,0.9201519223507985,7.35525e-05,2.52625e-05,1.40075e-05,41.334,45.9752,48.5364,42.81445,0.0
D111_p750,2513,RWT158,RWT158/sutr13_P0.h5,90046,38224,43408,81632,0.42449414743575503,0.48206472247517934,0.9065588699109344,7.46714e-05,2.59352e-05,1.42779e-05,41.2685,45.8611,48.4534,42.7406875,0.0
D111_p1000,2763,RWT158,RWT158/sutr13_P0.h5,90046,38224,44064,82288,0.42449414743575503,0.4893498878351065,0.9138440352708616,7.36542e-05,2.56984e-05,1.41628e-05,41.328,45.9009,48.4885,42.794675,0.0
D111_p1500,3263,RWT158,RWT158/sutr13_P0.h5,90046,38224,43504,81728,0.42449414743575503,0.48313084423516867,0.9076249916709237,7.50463e-05,2.50531e-05,1.39617e-05,41.2467,46.0114,48.5506,42.755275,0.0
D411_p300,2063,RWT158,RWT158/sutr13_P0.h5,90046,38224,80264,118488,0.42449414743575503,0.8913666348310864,1.3158607822668413,4.27946e-05,2.90033e-05,1.52723e-05,43.6861,45.3755,48.161,44.4566375,0.0
D411_p500,2263,RWT158,RWT158/sutr13_P0.h5,90046,38224,81928,120152,0.42449414743575503,0.9098460786709015,1.3343402261066566,4.1568e-05,2.95528e-05,1.54604e-05,43.8124,45.294,48.1078,44.534524999999995,0.0
D411_p750,2513,RWT158,RWT158/sutr13_P0.h5,90046,38224,78368,116592,0.42449414743575503,0.8703107300712969,1.294804877507052,4.3658e-05,2.98319e-05,1.54079e-05,43.5994,45.2532,48.1226,44.371525,0.0
D411_p1000,2763,RWT158,RWT158/sutr13_P0.h5,90046,38224,82168,120392,0.42449414743575503,0.9125113830708749,1.33700553050663,4.12688e-05,2.99628e-05,1.55711e-05,43.8438,45.2342,48.0768,44.546725,0.0
D411_p1500,3263,RWT158,RWT158/sutr13_P0.h5,90046,38224,79136,117360,0.42449414743575503,0.8788397041512116,1.3033338515869666,4.30177e-05,2.96252e-05,1.53668e-05,43.6635,45.2834,48.1342,44.424825000000006,0.0
D611_p300,2063,RWT158,RWT158/sutr13_P0.h5,90046,38224,87840,126064,0.42449414743575503,0.975501410390245,1.399995557826,3.86118e-05,2.99612e-05,1.56084e-05,44.1328,45.2344,48.0664,44.7622,0.0
