endpoint,source,checkpoint_step,physical_bpp,y_psnr,u_psnr,v_psnr,yuv_psnr_611
R01,OFFICIAL_RELEASED,,1.898844476354541,41.3234,42.3937,41.9483,41.53530000000001
R02,OFFICIAL_RELEASED,,1.4832942097938613,39.4788,41.755,41.2506,39.9848
R03,OFFICIAL_RELEASED,,1.1263010422324429,37.4815,40.6784,40.2122,38.222449999999995
R04,OFFICIAL_RELEASED,,0.6538067942086283,33.8028,37.8419,35.7742,34.5541125
R05,OFFICIAL_RELEASED,,0.5071343153458295,32.8179,37.1677,35.2394,33.6643125
R06,OFFICIAL_RELEASED,,0.3448155288204894,31.311,35.1755,32.9423,31.997974999999997
R07,OFFICIAL_RELEASED,,0.2430772314986841,29.8635,34.3063,32.0943,30.697699999999998
R08,OFFICIAL_RELEASED,,0.1592230927565894,28.0956,33.2014,31.0253,29.1000375
R09,OFFICIAL_RELEASED,,0.10351925367671913,26.4927,32.197,30.1411,27.6617875
Canonical Base step5525,CURRENT_CANONICAL,5525,0.7671073212691412,33.8162,38.147,37.4791,34.8154125
Original D111 step3525,CURRENT_CANONICAL,3525,1.9634810703454448,40.5542,42.7882,41.4277,40.942637500000004
D411 +1500 (step3263),CURRENT_CANONICAL_YAWARE,3263,2.3605317693241923,44.4292,41.7772,40.6657,43.6272625
D611 +1762 (step3525),CURRENT_CANONICAL_YAWARE,3525,2.381949867477266,44.8822,41.4355,40.2327,43.870174999999996
