series,endpoint,checkpoint_profile,lambda,checkpoint_step,physical_bpp,y_psnr,u_psnr,v_psnr,yuv_psnr_611
Official Unicorn Full,R01,32k8k,32768,,1.898844476354541,41.3234,42.3937,41.9483,41.53530000000001
Official Unicorn Full,R02,32k8k,16384,,1.4832942097938613,39.4788,41.755,41.2506,39.9848
Official Unicorn Full,R03,32k8k,8192,,1.1263010422324429,37.4815,40.6784,40.2122,38.222449999999995
Official Unicorn Full,R04,8k256,4096,,0.6538067942086283,33.8028,37.8419,35.7742,34.5541125
Official Unicorn Full,R05,8k256,2048,,0.5071343153458295,32.8179,37.1677,35.2394,33.6643125
Official Unicorn Full,R06,2k128,1024,,0.3448155288204894,31.311,35.1755,32.9423,31.997974999999997
Official Unicorn Full,R07,2k128,512,,0.2430772314986841,29.8635,34.3063,32.0943,30.697699999999998
Official Unicorn Full,R08,2k128,256,,0.1592230927565894,28.0956,33.2014,31.0253,29.1000375
Official Unicorn Full,R09,2k128,128,,0.10351925367671913,26.4927,32.197,30.1411,27.6617875
Canonical Base,2K,8k256,2048,3525,0.22472685397789657,27.0606,34.7578,32.5122,28.704200000000004
Canonical Base,4K,8k256,4096,2000,0.2592643531328747,26.8921,34.671,32.6717,28.586912499999997
Canonical Base,8K,32k8k,8192,3525,0.47525426415498984,32.3508,37.3118,36.664,33.510075
Canonical Base,16K,32k8k,16384,3525,0.6124158766198194,33.203,37.8269,37.1585,34.275425
Canonical Base,32K,32k8k,32768,5525,0.7671073212691412,33.8162,38.147,37.4791,34.8154125

