base_U_256,base_U_512,base_V_256,base_V_512,base_YUV611_256,base_YUV611_512,base_Y_256,base_Y_512,base_bits_256,base_bpp_256,base_bpp_512,dataset,delta_U_256,delta_U_512,delta_V_256,delta_V_512,delta_YUV611_256,delta_YUV611_512,delta_Y_256,delta_Y_512,delta_bpp_256,delta_bpp_512,enhancement_bits_256,full_U_256,full_U_512,full_V_256,full_V_512,full_YUV611_256,full_YUV611_512,full_Y_256,full_Y_512,full_bits_256,full_bpp_256,full_bpp_512,sample,status_256
32.9546,33.5634,30.8912,31.346,28.23635,28.6066,27.0075,27.3239,106456,0.12407950897821125,0.1555586118797248,8iVFB,0.008600000000001273,0.3703999999999965,-0.001200000000000756,0.3097999999999992,-0.0026750000000035357,1.3083500000000008,-0.004799999999999471,1.6311,9.324378821548573e-06,0.04635148712186729,8,32.9632,33.9338,30.89,31.6558,28.233674999999998,29.91495,27.0027,28.955,106464,0.1240888333570328,0.2019100990015921,longdress,PASS
46.7913,47.3648,46.6328,47.0721,35.8643875,37.0382875,32.2485,33.6449,22792,0.028303023153293555,0.0427078611920003,8iVFB,-0.01659999999999684,0.06850000000000023,-0.05820000000000647,-0.0022999999999981924,-0.00837500000000091,0.02942499999999626,0.001300000000000523,0.028199999999998226,9.934371061177949e-06,0.0002781623897130034,8,46.7747,47.4333,46.5746,47.0698,35.8560125,37.0677125,32.2498,33.6731,22800,0.028312957524354733,0.0429860235817133,loot,PASS
38.9903,39.2695,29.3896,30.3598,33.0499875,33.8754625,32.67,33.5624,50272,0.06634894699818264,0.0896513222408607,8iVFB,0.11120000000000374,0.20470000000000255,-0.01710000000000278,-0.027499999999999858,-0.001212500000001171,0.09497500000000514,-0.01729999999999876,0.09710000000000463,1.0558393857121318e-05,0.002914116704566899,8,39.1015,39.4742,29.3725,30.3323,33.048775,33.9704375,32.6527,33.6595,50280,0.06635950539203976,0.0925654389454276,redandblack,PASS
45.9465,46.338,46.5469,46.9396,34.005874999999996,35.459075,29.9256,31.7325,58320,0.053549244278026355,0.0833796257613,8iVFB,-0.014899999999997249,0.07569999999999766,-0.11990000000000123,0.026200000000002888,-0.01474999999999227,0.07438750000000027,0.00280000000000058,0.08219999999999672,7.345575346776045e-06,0.0018510849873885071,8,45.9316,46.4137,46.427,46.9658,33.991125000000004,35.5334625,29.9284,31.8147,58328,0.05355658985337313,0.0852307107486885,soldier,PASS
43.2891,43.3292,46.0624,46.2919,35.8364375,36.8686875,32.89,34.2214,29320,0.03682413211473756,0.0481577258460947,Owlii,-0.014399999999994861,0.021500000000003183,-0.09689999999999799,-0.03839999999999577,-0.008512500000001921,0.07371250000000629,0.007199999999997431,0.1010999999999953,1.0047512173191886e-05,0.001517174338151503,8,43.2747,43.3507,45.9655,46.2535,35.827925,36.942400000000006,32.8972,34.3225,29328,0.036834179626910754,0.0496749001842462,basketball_player,PASS
43.617,43.6509,44.1767,44.5537,34.6164625,35.515175,31.523,32.6528,29896,0.04258458943817856,0.0562704582942803,Owlii,-0.03289999999999793,-0.013599999999996726,-0.11479999999999535,-0.03999999999999915,-0.015237499999997794,0.5183749999999989,0.004300000000000637,0.7000999999999991,1.1395394551291793e-05,0.004968392024363402,8,43.5841,43.6373,44.0619,44.5137,34.601225,36.03355,31.5273,33.3529,29904,0.042595984832729854,0.0612388503186437,dancer,PASS
42.9005,43.2242,45.9387,46.2802,36.1327,36.96495,33.3704,34.3692,16400,0.02542103590721322,0.0332209537538654,Owlii,-0.0326999999999984,0.037599999999997635,-0.10829999999999984,-0.06990000000000407,-0.018149999999998556,0.07201249999999959,-0.0006999999999948159,0.10139999999999816,1.2400505320590144e-05,0.001339254574623902,8,42.8678,43.2618,45.8304,46.2103,36.11455,37.0369625,33.3697,34.4706,16408,0.02543343641253381,0.0345602083284893,exercise,PASS
41.8462,41.9201,42.0005,42.5519,32.9836875,33.815225,30.0038,31.0083,41880,0.0636711237466838,0.0805406268291385,Owlii,-0.04270000000000351,0.051400000000001,0.0002999999999957481,-0.02120000000000033,-0.002600000000001046,0.2899750000000054,0.003600000000002268,0.3816000000000024,1.2162583332697707e-05,0.007005647999635101,8,41.8035,41.9715,42.0008,42.5307,32.9810875,34.1052,30.0074,31.3899,41888,0.06368328633001649,0.0875462748287736,model,PASS
40.2884,40.3512,38.7283,38.753,31.293487499999998,31.891825,28.5552,29.3384,775072,0.48560822261972264,0.5699495954162842,CTC,0.029299999999999216,-0.15809999999999746,0.2354000000000056,0.038800000000001944,0.12323750000000189,0.07336250000000177,0.12020000000000053,0.11769999999999925,1.0024528768803886e-05,0.0010976859001869954,16,40.3177,40.1931,38.9637,38.7918,31.416725,31.965187500000003,28.6754,29.4561,775088,0.48561824714849144,0.5710472813164712,Facade_00009_vox12,PASS
39.3462,38.8591,42.5162,42.6442,32.241775000000004,32.6621125,29.3453,29.9656,845888,0.17445503939679236,0.2150313122261533,CTC,0.07409999999999428,0.10020000000000095,-0.0075999999999964984,-0.023099999999999454,0.05668749999999534,0.08763749999999959,0.06449999999999889,0.10400000000000276,1.3199291775511934e-05,0.002565612338863016,64,39.4203,38.9593,42.5086,42.6211,32.2984625,32.74975,29.4098,30.0696,845952,0.17446823868856787,0.2175969245650163,House_without_roof_00057_vox12,PASS
34.0917,34.4761,36.2969,36.3075,27.001224999999998,27.4619,24.2702,24.8186,1013680,1.0045068435051112,1.1545050597939617,CTC,0.07179999999999609,0.16509999999999536,0.09219999999999828,0.04640000000000555,0.07345000000000113,0.10998749999999902,0.07060000000000244,0.11139999999999972,1.585521022029468e-05,0.00404307860616826,16,34.1635,34.6412,36.3891,36.3539,27.074675,27.5718875,24.3408,24.93,1013696,1.0045226987153315,1.15854813840013,Shiva_00035_vox12,PASS
34.4511,35.0234,35.2929,35.0343,29.11575,29.5752625,27.197,27.7574,454992,0.9106032101829243,1.0135051835247968,CTC,0.21070000000000277,0.2989999999999995,0.2494999999999976,0.14509999999999934,0.23767500000000297,0.26753749999999954,0.24020000000000152,0.2826999999999984,1.6010887403439256e-05,0.0020493935876395586,8,34.6618,35.3224,35.5424,35.1794,29.353425,29.8428,27.4372,28.0401,455000,0.9106192210703278,1.0155545771124364,Staue_Klimt_vox12,PASS
38.5604,39.6338,38.5478,39.4159,33.3371,34.4678625,31.5981,32.7822,256448,0.08192664082179658,0.1046215675281091,CTC,0.0033999999999991815,0.0007000000000019213,0.014199999999995327,0.03779999999999717,0.005724999999998204,0.08468749999999403,0.004699999999999704,0.10649999999999693,1.0222939957796329e-05,0.0019960290267601044,32,38.5638,39.6345,38.562,39.4537,33.342825,34.55255,31.6028,32.8887,256480,0.08193686376175438,0.1066175965548692,Thaidancer_viewdep_vox12,PASS
