dataset,sample,operating_point,base_bits,full_bits,enhancement_bits,base_bpp,full_bpp,delta_bpp,base_reconstruction_sha256,full_reconstruction_sha256,base_Y,full_Y,delta_Y,class_Y,base_U,full_U,delta_U,class_U,base_V,full_V,delta_V,class_V,base_YUV611,full_YUV611,delta_YUV611,class_YUV611
8iVFB,longdress,512,133464,173232,39768,0.1555586118797248,0.2019100990015921,0.04635148712186729,7f03511145100704f79e47c81fd40dc8185ca5934a88da9c85e0be565bd21507,5cdbc7ddd9fd759ae10067fb63402c0618aacfa0327837b50cca321692f1a5e3,27.3239,28.955,1.6311,positive,33.5634,33.9338,0.3703999999999965,positive,31.346,31.6558,0.3097999999999992,positive,28.6066,29.91495,1.3083500000000008,positive
8iVFB,longdress,1k,158360,270472,112112,0.1845760787723523,0.3152479235773912,0.13067184480503888,e0c8e50ca8bab0d7d47e27daf1ce3332f3e8aa131ff6f6df4ea0c93aa955aafd,0e82c228160dff894d7747c2cfa5e32b964c53a2ecc5bce8764fc53a0df6b620,27.3496,30.7536,3.404,positive,33.8929,34.9962,1.1033000000000044,positive,31.633,32.5282,0.8951999999999991,positive,28.7029375,31.505749999999995,2.8028124999999946,positive
8iVFB,longdress,2k,223264,380520,157256,0.2602247641514932,0.4435140786464732,0.18328931449497998,60c914e53e38bd2a9b9b3d8a042757214f973a6aa94671bacfc1ae864b39d35f,1fe068a8c2723c585542256c835df9c512ec452ebd0197b8c97e761a68bd284d,28.9507,32.6652,3.7144999999999975,positive,34.7223,34.8789,0.1566000000000045,positive,32.4385,32.4667,0.028200000000005332,positive,30.108125,32.9171,2.8089749999999967,positive
8iVFB,longdress,4k,483712,607824,124112,0.5637892410654968,0.7084476541028433,0.1446584130373465,d9bcb349acf3d6dd18bf266ec217faed8b36be08b205e2d14af22b2c79d41e2a,f43da133d27a54cc14444b7c9532e8ca41c2482690cfaf827cced7253dfddf13,33.0491,34.4283,1.3791999999999973,positive,37.6324,38.7075,1.0751000000000062,positive,36.4033,37.6703,1.266999999999996,positive,34.0412875,35.36845,1.3271625,positive
8iVFB,longdress,8k,407752,866776,459024,0.4752542641549898,1.010268472177219,0.5350142080222293,904d4924a493b998e1b3db5c3b62d37b282e8b575a5902416a8917d4a7741ee5,5bc8612a1fc9d440d9985118b597fa340e55ccbda19ae366d825ee625883e24c,32.3508,36.5329,4.182099999999998,positive,37.3118,39.8767,2.5649000000000015,positive,36.664,39.3125,2.6484999999999985,positive,33.510075,37.298325,3.788249999999998,positive
8iVFB,longdress,16k,525432,1243320,717888,0.6124158766198194,1.4491483345493876,0.8367324579295682,12a71a9d5e0f2787c9ec13474786b09fb3d8fce2356e12f896c7548ebe31c23b,5c6c7126903d4721159be8d482095545579b4423796acb7755c2304a90718581,33.203,38.8745,5.671499999999995,positive,37.8269,41.4894,3.6625000000000014,positive,37.1585,40.4629,3.304400000000001,positive,34.275425,39.3999125,5.124487500000001,positive
8iVFB,longdress,32k,658152,2043632,1385480,0.7671073212691412,2.381949867477266,1.6148425462081248,f00128fbdc0708df59b26e68639915d9953a9ab8fde98314f7cf1d1d48306e97,a96ba057d3b445d2208582b0d81f918af8686e5a52b2ee9a7c1149fef474dddf,33.8162,44.8822,11.065999999999995,positive,38.147,41.4355,3.288499999999999,positive,37.4791,40.2327,2.7535999999999987,positive,34.8154125,43.870175,9.054762500000002,positive
8iVFB,loot,512,34392,34616,224,0.0427078611920003,0.0429860235817133,0.0002781623897130034,8f6ecb685809e59f8c36a91e623bb6cb1facc60057ce5c64a024139ad52b6b9a,e46ccad31f6a0509ad8acfcd24668edd5cb62acecd8b6dc72f48b78249aa821f,33.6449,33.6731,0.028199999999998226,positive,47.3648,47.4333,0.06850000000000023,positive,47.0721,47.0698,-0.0022999999999981924,near_zero_negative,37.0382875,37.0677125,0.02942499999999626,positive
8iVFB,loot,1k,48224,51384,3160,0.0598843887567755,0.0638084653259405,0.003924076569165005,c26a8a56142619c057b7667492be1a2cea4dd31628383cce8cfbc28e7213b177,3155dd6ddb2097149a7c11e35f26512a9521827f687f3a9e41e982a59ea3eb22,34.7983,34.967,0.16870000000000118,positive,47.8782,47.8436,-0.03459999999999752,negative,47.4983,47.5216,0.023299999999998988,positive,38.0207875,38.1459,0.12511250000000018,positive
8iVFB,loot,2k,82384,98912,16528,0.1023041531880017,0.1228285638003936,0.020524410612391894,5275bd84176a33eeee1a791866cde33a5c76cf5f71379f03c821c7e36c026c4c,5032e1ba7efe29308d16d349c3406394dbfa01fd091dd1584f6f35c74939aca2,36.6009,37.3577,0.7567999999999984,positive,49.0154,49.0295,0.014099999999999113,positive,48.794,48.7974,0.003400000000006287,near_zero_positive,39.67685,40.2466375,0.5697874999999968,positive
8iVFB,loot,4k,132088,133592,1504,0.164026400591095,0.1658940623505963,0.0018676617595013156,48def4dfbd556ca021fa5951c2e8bd889ec53e2cdd4e4d25647c027abae08d00,07128894d3ee897b1359554cc68e2b1d5696b4be27f54568f1fb928d5e6328ca,38.4647,38.4809,0.016199999999997772,positive,49.3876,49.3678,-0.019799999999996487,negative,49.2987,49.1038,-0.19489999999999696,negative,41.1843125,41.169625,-0.014687499999993747,negative
8iVFB,loot,8k,108144,188296,80152,0.134292828004992,0.2338252916669253,0.0995324636619333,ee63f5cf8e3456a1098e8c7abdb21c503a9ed5a948bcf84d3292733fbb413d0a,b8c0dd67b6ef7c426551f0797d13bf1258f632be1a6129fa1a06314ae9fedf92,37.6072,39.8468,2.239600000000003,positive,49.5772,49.5559,-0.021299999999996544,negative,49.5411,49.6269,0.08579999999999899,positive,40.5951875,42.28295,1.687762499999998,positive
8iVFB,loot,16k,147992,273752,125760,0.1837759302607151,0.3399442433424191,0.15616831308170398,029d5ac84e0065f03d571ae5ac74b1f91c915f6596c33d19261cb7e31b12d234,07cca0dcdfb74f04d0dace5f39e86e27341de177669ae410ca2c26f67c4ac42c,39.1044,41.8131,2.7087000000000003,positive,50.4136,50.5515,0.1378999999999948,positive,50.4783,50.6734,0.1951000000000036,positive,41.9397875,44.0129375,2.0731499999999983,positive
8iVFB,loot,32k,195864,642408,446544,0.2432232066907989,0.7977399305835822,0.5545167238927833,f8498350f73b070ebe48e8298d22ecfe7ddcd085a41eacc648db71d114621c6e,6cb5bc34c1d6445fd0c4bafe97a5f0bb40783033a1c6bdbac28471e314193d4e,40.3484,46.7617,6.4133,positive,51.0581,51.067,0.008899999999997021,near_zero_positive,51.169,51.1562,-0.01279999999999859,negative,43.0396875,47.849175,4.809487500000003,positive
8iVFB,redandblack,512,67928,70136,2208,0.0896513222408607,0.0925654389454276,0.002914116704566899,ed4e7e0eeea61402416acd059f3ec61c0934ad42ff00b655db2090a70261894d,0fa8604cb191a20537e3c3a0f23d3ef49239d096cc1c880e459bea7b2b58197a,33.5624,33.6595,0.09710000000000463,positive,39.2695,39.4742,0.20470000000000255,positive,30.3598,30.3323,-0.027499999999999858,negative,33.8754625,33.9704375,0.09497500000000514,positive
8iVFB,redandblack,1k,87104,106936,19832,0.1149597923163928,0.1411340506882093,0.0261742583718165,57e961a9e16313bb60b3050c3e0df633bfe559f296846cb8a1f44d2262c4cad2,6fd86c6ec28b4909c53d4ad2ff6e99672a970a8cbd405e0a9eb74e5c0dc1d890,34.1731,34.8692,0.6961000000000013,positive,39.6909,39.9118,0.22090000000000032,positive,31.0981,31.109,0.010900000000003018,positive,34.478449999999995,35.0295,0.5510500000000036,positive
8iVFB,redandblack,2k,125024,159816,34792,0.1650065791991722,0.2109250340838151,0.04591845488464291,4fbf2f062742c6227de2257e025d9080cadb74db6b247f4c72d1a62440cbbe5d,31359683644345bf09cafc14f6522bdd60ecbb510c23d68bef13c5e7746e9a9d,35.7253,36.9345,1.2092000000000027,positive,40.2973,40.3656,0.0683000000000007,positive,31.7672,31.7682,0.0010000000000012221,near_zero_positive,35.8020375,36.7176,0.9155625000000001,positive
8iVFB,redandblack,4k,213344,248744,35400,0.2815712473818483,0.3282921401996328,0.04672089281778452,86c0eb01ec27767141e6f54052338218075fd0b22ed58b6291c218878742a1f6,ccaef26a97914fd68a18b0c61ddd70d474b4464bdadedb0b8363ed048ac38152,37.8181,38.0405,0.22240000000000038,positive,41.1688,41.4401,0.27130000000000365,positive,35.8741,37.3383,1.4641999999999982,positive,37.9939375,38.377675,0.3837375000000023,positive
8iVFB,redandblack,8k,182512,341488,158976,0.2408791974564829,0.4506956001852998,0.2098164027288169,d399c2504c04359831b6c9d6f847f080bb1ff960e77af50eef776cfc45f50e83,62fa36b510f3e9748b34d3ca0a42e927b37d6b01377f892f7d152d9da0433af6,37.1725,39.2827,2.110199999999999,positive,41.79,41.8061,0.016100000000001558,positive,35.9386,39.0287,3.0900999999999996,positive,37.59545,39.566375,1.9709250000000011,positive
8iVFB,redandblack,16k,240720,501768,261048,0.317702071160935,0.6622330211128283,0.3445309499518933,22327d53c5eebba4a854f810593d71e0d1129467de4488b08a11291a815a9270,5c15922342c68bae82eb397c05d3f4b59511d99eb2e7c565b09f80a788955f92,38.3226,41.1322,2.809599999999996,positive,42.0281,42.6936,0.6655000000000015,positive,36.4735,40.214,3.7404999999999973,positive,38.55465,41.2126,2.6579499999999996,positive
8iVFB,redandblack,32k,310720,901848,591128,0.4100880174107915,1.1902582979077223,0.7801702804969308,c0ef35c43648c306b6a718cc66bd809d5c51db2e265bb1f93cf8b415dce09c51,1d7a29f7a1e325d929b2b9a50b9894af1778f38b4dbea5ef3a75d5b06d1b80aa,39.1502,46.2263,7.076100000000004,positive,42.2328,43.3438,1.1110000000000042,positive,36.7553,39.9978,3.2424999999999997,positive,39.2361625,45.087425,5.851262500000004,positive
8iVFB,soldier,512,90808,92824,2016,0.0833796257613,0.0852307107486885,0.0018510849873885071,d43719f45d3bf6d6d2d1cfc8892dc23517b22cc9a96825cd6aa0f327ccff3c8c,2ead38953b881df2c0abf69f6c624849b521277a11d04884f497958f7d96d5a4,31.7325,31.8147,0.08219999999999672,positive,46.338,46.4137,0.07569999999999766,positive,46.9396,46.9658,0.026200000000002888,positive,35.459075,35.5334625,0.07438750000000027,positive
