dataset,sample,operating_point,metric,delta_db,classification,enhancement_bits,delta_bpp,delta_Y,delta_U,delta_V,delta_YUV611
CTC,Facade_00009_vox12,2k,U,-0.7098000000000013,negative,45176,0.02830425697879524,0.3185000000000002,-0.7098000000000013,0.12489999999999668,0.1657624999999996
CTC,loot_viewdep_vox12,32k,U,-0.3868000000000009,negative,480856,0.1593671131497357,0.9913999999999987,-0.3868000000000009,-0.017099999999999227,0.6930625000000035
CTC,soldier_viewdep_vox12,32k,U,-0.2635000000000005,negative,1327384,0.33170054930912796,1.7879999999999967,-0.2635000000000005,-0.08809999999999718,1.2970499999999987
CTC,Facade_00009_vox12,1k,U,-0.2571000000000012,negative,6240,0.003909566219844174,-0.009000000000000341,-0.2571000000000012,0.05940000000000367,-0.0314625000000035
CTC,House_without_roof_00057_vox12,2k,U,-0.21000000000000085,negative,306296,0.06317016052607433,1.1513999999999989,-0.21000000000000085,-0.04779999999999518,0.8313249999999996
CTC,loot_viewdep_vox12,2k,U,-0.20650000000000546,negative,1080,0.0003579376823867053,0.0006000000000057071,-0.20650000000000546,-0.4513999999999996,-0.08178749999999724
CTC,loot_viewdep_vox12,4k,U,-0.19899999999999807,negative,1480,0.0004905071943817063,0.02360000000000184,-0.19899999999999807,-0.38220000000000454,-0.05495000000000516
CTC,soldier_viewdep_vox12,2k,U,-0.18959999999999866,negative,6776,0.0016932575065833344,0.08200000000000074,-0.18959999999999866,-0.2546999999999997,0.005962499999988324
CTC,Facade_00009_vox12,32k,U,-0.17499999999999716,negative,1489016,0.9329177330781255,4.119099999999996,-0.17499999999999716,-0.00730000000000075,3.0665374999999955
CTC,Facade_00009_vox12,512,U,-0.15809999999999746,negative,1752,0.0010976859001869954,0.11769999999999925,-0.15809999999999746,0.038800000000001944,0.07336250000000177
CTC,Facade_00009_vox12,4k,U,-0.15290000000000248,negative,8800,0.0055134908228571256,0.102800000000002,-0.15290000000000248,-0.12700000000000244,0.04211250000000888
CTC,boxer_viewdep_vox12,32k,U,-0.1501999999999981,negative,1115464,0.319334914552609,1.5138999999999996,-0.1501999999999981,-0.019599999999996953,1.1141999999999967
CTC,soldier_viewdep_vox12,4k,U,-0.1395000000000053,negative,6064,0.0015153355253721412,0.017099999999999227,-0.1395000000000053,-0.3669000000000011,-0.050474999999998715
CTC,redandblack_viewdep_vox12,2k,U,-0.13600000000000279,negative,4984,0.001798909753851774,-0.16689999999999827,-0.13600000000000279,0.004899999999999238,-0.14156249999999915
CTC,Staue_Klimt_vox12,4k,U,-0.12119999999999465,negative,5848,0.011703958691910543,0.2886999999999986,-0.12119999999999465,-0.14530000000000598,0.18321249999999623
CTC,Shiva_00035_vox12,4k,U,-0.11610000000000298,negative,38400,0.03805250452864373,0.8994,-0.11610000000000298,-0.07270000000000465,0.6509500000000017
CTC,Thaidancer_viewdep_vox12,4k,U,-0.10739999999999839,negative,24128,0.007708096728180069,0.13280000000000314,-0.10739999999999839,0.030299999999996885,0.08996249999999861
CTC,boxer_viewdep_vox12,2k,U,-0.09850000000000136,negative,3488,0.0009985442667442002,0.05530000000000257,-0.09850000000000136,-0.2295999999999978,0.00046250000000469527
CTC,longdress_viewdep_vox12,2k,U,-0.09790000000000276,negative,11840,0.0038241387128802318,0.02190000000000225,-0.09790000000000276,0.012300000000003308,0.005724999999998204
8iVFB,soldier,32k,U,-0.08299999999999841,negative,841032,0.7722329906316369,7.048700000000004,-0.08299999999999841,-0.0409000000000006,5.271037500000006
8iVFB,soldier,8k,U,-0.080600000000004,negative,164632,0.151164595061386,2.4801,-0.080600000000004,-0.0033000000000029672,1.8495874999999984
CTC,longdress_viewdep_vox12,4k,U,-0.07469999999999999,negative,8744,0.0028241781170121882,0.0409000000000006,-0.07469999999999999,-0.003099999999996328,0.02095000000000624
CTC,Facade_00009_vox12,16k,U,-0.05409999999999826,negative,119824,0.07507369594977686,0.521800000000006,-0.05409999999999826,-0.017099999999999227,0.38245000000001284
Owlii,model,2k,U,-0.05369999999999919,negative,43464,0.06607931524655841,2.274099999999997,-0.05369999999999919,0.04830000000000467,1.704900000000002
CTC,boxer_viewdep_vox12,4k,U,-0.045800000000006946,negative,3728,0.001067251441061401,0.029000000000003467,-0.045800000000006946,-0.19350000000000023,-0.008162500000004513
CTC,redandblack_viewdep_vox12,4k,U,-0.03519999999999612,negative,4872,0.0017584848155630661,0.02379999999999427,-0.03519999999999612,0.0018000000000029104,0.013675000000006321
8iVFB,loot,1k,U,-0.03459999999999752,negative,3160,0.003924076569165005,0.16870000000000118,-0.03459999999999752,0.023299999999998988,0.12511250000000018
CTC,loot_viewdep_vox12,8k,U,-0.02559999999999718,negative,5584,0.0018506703874509867,-0.06709999999999638,-0.02559999999999718,-0.04019999999999868,-0.05855000000000388
8iVFB,soldier,4k,U,-0.024900000000002365,negative,7248,0.006655091264182733,0.10099999999999909,-0.024900000000002365,-0.2102000000000004,0.046362499999993645
8iVFB,loot,8k,U,-0.021299999999996544,negative,80152,0.0995324636619333,2.239600000000003,-0.021299999999996544,0.08579999999999899,1.687762499999998
8iVFB,loot,4k,U,-0.019799999999996487,negative,1504,0.0018676617595013156,0.016199999999997772,-0.019799999999996487,-0.19489999999999696,-0.014687499999993747
CTC,longdress_viewdep_vox12,8k,U,-0.01950000000000074,negative,58688,0.018955325403843926,0.2195999999999998,-0.01950000000000074,-0.00039999999999906777,0.16221250000000254
CTC,boxer_viewdep_vox12,8k,U,-0.018599999999999284,negative,11040,0.003160530018593788,-0.004100000000001103,-0.018599999999999284,0.01910000000000167,-0.003012499999996976
CTC,Facade_00009_vox12,8k,U,-0.018200000000000216,negative,51992,0.03257470623431691,0.22879999999999967,-0.018200000000000216,-0.020299999999998875,0.1667875000000052
