negative_dataset,negative_sample,operating_point,negative_delta_YUV611,negative_delta_bpp,control_sample,control_delta_YUV611,control_delta_bpp
8iVFB,loot,4k,-0.014687499999993747,0.0018676617595013156,soldier,0.046362499999993645,0.006655091264182733
CTC,Facade_00009_vox12,1k,-0.0314625000000035,0.003909566219844174,soldier_viewdep_vox12,0.03254999999999342,0.0005197720799428873
CTC,boxer_viewdep_vox12,4k,-0.008162500000004513,0.001067251441061401,redandblack_viewdep_vox12,0.013675000000006321,0.0017584848155630661
CTC,boxer_viewdep_vox12,8k,-0.003012499999996976,0.003160530018593788,soldier_viewdep_vox12,0.009324999999996919,0.005177729565585487
CTC,longdress_viewdep_vox12,1k,-0.02541249999999451,0.0008268408027848895,soldier_viewdep_vox12,0.03254999999999342,0.0005197720799428873
CTC,loot_viewdep_vox12,1k,-0.05608749999999674,1.0605560959595084e-05,soldier_viewdep_vox12,0.03254999999999342,0.0005197720799428873
CTC,loot_viewdep_vox12,2k,-0.08178749999999724,0.0003579376823867053,soldier_viewdep_vox12,0.005962499999988324,0.0016932575065833344
CTC,loot_viewdep_vox12,4k,-0.05495000000000516,0.0004905071943817063,Facade_00009_vox12,0.04211250000000888,0.0055134908228571256
CTC,loot_viewdep_vox12,8k,-0.05855000000000388,0.0018506703874509867,redandblack_viewdep_vox12,0.03937500000000682,0.006349602806934473
CTC,redandblack_viewdep_vox12,512,-0.03569999999999851,1.1549982368297407e-05,longdress_viewdep_vox12,0.024837500000003843,1.0335510034820139e-05
CTC,redandblack_viewdep_vox12,1k,-0.18064999999999998,0.0005515116580830093,dancer_vox11_00000001,0.1190624999999983,0.0025918346409498985
CTC,redandblack_viewdep_vox12,2k,-0.14156249999999915,0.001798909753851774,Facade_00009_vox12,0.1657624999999996,0.02830425697879524
CTC,soldier_viewdep_vox12,4k,-0.050474999999998715,0.0015153355253721412,Facade_00009_vox12,0.04211250000000888,0.0055134908228571256
