record_type,dataset,sequence,arm,step,profile,lambda,bpp,Y,U,V,YUV611,x_low_bits,r1_bits,r2_bits,r3_bits,r4_bits,bit_identity,hard_prefix_decode_used,baseline_point,baseline_bpp,baseline_YUV611,delta_bpp_vs_baseline,delta_YUV611_vs_baseline,official_interp_YUV611,official_bracket,delta_to_official_curve,baseline_official_interp_YUV611,baseline_delta_to_official_curve,rd_rescue_gain_vs_baseline
candidate_external,owlii,dancer,2K-U-PATH,1000,8k256,2048,0.1124383580375991,35.0838,44.3108,46.1523,37.6207375,11144.0,480.0,5216.0,18040.0,44056.0,True,True,2K,0.0956415464689945,36.9456875,0.0167968115686046,0.6750499999999988,38.36964488674403,R07_to_R06,-0.7489073867440297,37.71816855233315,-0.7724810523331485,0.023573665589118775
candidate_external,owlii,dancer,2K-U-PATH,500,8k256,2048,0.1119255652827909,35.0693,44.2752,46.16,37.606375,11144.0,456.0,5208.0,17968.0,43800.0,True,True,2K,0.0956415464689945,36.9456875,0.0162840188137964,0.6606875000000016,38.349755853468245,R07_to_R06,-0.7433808534682456,37.71816855233315,-0.7724810523331485,0.029100198864902893
candidate_external,owlii,dancer,2K-U-PATH,1500,8k256,2048,0.1156518593010634,35.0926,44.3911,46.0312,37.6222375,11144.0,616.0,5128.0,18312.0,45992.0,True,True,2K,0.0956415464689945,36.9456875,0.0200103128320689,0.6765499999999989,38.494282828605535,R07_to_R06,-0.8720453286055374,37.71816855233315,-0.7724810523331485,-0.09956427627238895
candidate_external,owlii,dancer,2K-U-PATH,250,8k256,2048,0.1134183619690102,34.9919,44.0929,46.0443,37.511075000000005,11144.0,504.0,5096.0,18024.0,44856.0,True,True,2K,0.0956415464689945,36.9456875,0.0177768155000156,0.565387500000007,38.40765503922661,R07_to_R06,-0.8965800392266061,37.71816855233315,-0.7724810523331485,-0.12409898689345766
candidate_external,owlii,basketball_player,2K-U-PATH,1000,8k256,2048,0.0927184423341877,36.8546,43.9075,47.2747,39.03872499999999,12176.0,272.0,5200.0,18104.0,38072.0,True,True,2K,0.0788629230473602,38.44345,0.0138555192868275,0.5952749999999938,39.28101920707545,R07_to_R06,-0.2422942070754601,38.59794210623486,-0.1544921062348621,-0.087802100840598
candidate_external,owlii,basketball_player,2K-U-PATH,500,8k256,2048,0.0924973970663776,36.913,43.859,47.4026,39.09245,12176.0,280.0,5264.0,18056.0,37872.0,True,True,2K,0.0788629230473602,38.44345,0.0136344740190174,0.6490000000000009,39.270121675372415,R07_to_R06,-0.1776716753724159,38.59794210623486,-0.1544921062348621,-0.023179569137553813
candidate_external,owlii,basketball_player,2K-U-PATH,1500,8k256,2048,0.095230320377485,36.9342,43.8958,47.3026,39.10045,12176.0,416.0,5280.0,18152.0,39800.0,True,True,2K,0.0788629230473602,38.44345,0.0163673973301247,0.6570000000000036,39.40485479461001,R07_to_R06,-0.3044047946100079,38.59794210623486,-0.1544921062348621,-0.14991268837514582
candidate_external,owlii,basketball_player,2K-U-PATH,250,8k256,2048,0.0931303903332885,36.9066,43.7441,47.1883,39.0465,12176.0,328.0,5184.0,18232.0,38232.0,True,True,2K,0.0788629230473602,38.44345,0.0142674672859283,0.6030500000000032,39.30132824343112,R07_to_R06,-0.2548282434311204,38.59794210623486,-0.1544921062348621,-0.10033613719625833
candidate_external,owlii,exercise,2K-U-PATH,1000,8k256,2048,0.0690956156463376,36.5079,44.2821,47.3472,38.8345875,8528.0,152.0,3744.0,12240.0,19912.0,True,True,2K,0.0614321033582118,38.46685,0.0076635122881257,0.3677374999999969,38.87618796530959,R07_to_R06,-0.0416004653095924,38.54052612708968,-0.07367612708967641,0.03207566178008401
candidate_external,owlii,exercise,2K-U-PATH,500,8k256,2048,0.0694676308059553,36.5472,44.2265,47.3862,38.8619875,8528.0,168.0,3776.0,12456.0,19888.0,True,True,2K,0.0614321033582118,38.46685,0.0080355274477435,0.395137499999997,38.892482229300846,R07_to_R06,-0.0304947293008481,38.54052612708968,-0.07367612708967641,0.04318139778882831
