dataset,sequence,qp,attribute_bpp,yuv_psnr,source_csv
8ivfb,longdress,22,2.285,41.185,results/PCAC/csvfiles/gpcc/raht21/8ivfb/longdress_vox10_1300.csv
8ivfb,longdress,28,1.183,36.932,results/PCAC/csvfiles/gpcc/raht21/8ivfb/longdress_vox10_1300.csv
8ivfb,longdress,34,0.517,32.895,results/PCAC/csvfiles/gpcc/raht21/8ivfb/longdress_vox10_1300.csv
8ivfb,longdress,40,0.208,29.627,results/PCAC/csvfiles/gpcc/raht21/8ivfb/longdress_vox10_1300.csv
8ivfb,longdress,46,0.071,26.771,results/PCAC/csvfiles/gpcc/raht21/8ivfb/longdress_vox10_1300.csv
8ivfb,longdress,51,0.027,24.95,results/PCAC/csvfiles/gpcc/raht21/8ivfb/longdress_vox10_1300.csv
8ivfb,loot,22,0.532,44.942,results/PCAC/csvfiles/gpcc/raht21/8ivfb/loot_vox10_1200.csv
8ivfb,loot,28,0.251,41.852,results/PCAC/csvfiles/gpcc/raht21/8ivfb/loot_vox10_1200.csv
8ivfb,loot,34,0.102,38.761,results/PCAC/csvfiles/gpcc/raht21/8ivfb/loot_vox10_1200.csv
8ivfb,loot,40,0.037,36.126,results/PCAC/csvfiles/gpcc/raht21/8ivfb/loot_vox10_1200.csv
8ivfb,loot,46,0.013,33.875,results/PCAC/csvfiles/gpcc/raht21/8ivfb/loot_vox10_1200.csv
8ivfb,loot,51,0.006,32.267,results/PCAC/csvfiles/gpcc/raht21/8ivfb/loot_vox10_1200.csv
8ivfb,redandblack,22,1.146,43.242,results/PCAC/csvfiles/gpcc/raht21/8ivfb/redandblack_vox10_1550.csv
8ivfb,redandblack,28,0.534,39.776,results/PCAC/csvfiles/gpcc/raht21/8ivfb/redandblack_vox10_1550.csv
8ivfb,redandblack,34,0.23,36.613,results/PCAC/csvfiles/gpcc/raht21/8ivfb/redandblack_vox10_1550.csv
8ivfb,redandblack,40,0.098,33.948,results/PCAC/csvfiles/gpcc/raht21/8ivfb/redandblack_vox10_1550.csv
8ivfb,redandblack,46,0.039,31.612,results/PCAC/csvfiles/gpcc/raht21/8ivfb/redandblack_vox10_1550.csv
8ivfb,redandblack,51,0.016,29.641,results/PCAC/csvfiles/gpcc/raht21/8ivfb/redandblack_vox10_1550.csv
8ivfb,soldier,22,0.865,43.801,results/PCAC/csvfiles/gpcc/raht21/8ivfb/soldier_vox10_0690.csv
8ivfb,soldier,28,0.422,40.383,results/PCAC/csvfiles/gpcc/raht21/8ivfb/soldier_vox10_0690.csv
8ivfb,soldier,34,0.185,37.063,results/PCAC/csvfiles/gpcc/raht21/8ivfb/soldier_vox10_0690.csv
8ivfb,soldier,40,0.073,34.184,results/PCAC/csvfiles/gpcc/raht21/8ivfb/soldier_vox10_0690.csv
8ivfb,soldier,46,0.025,31.699,results/PCAC/csvfiles/gpcc/raht21/8ivfb/soldier_vox10_0690.csv
8ivfb,soldier,51,0.009,29.936,results/PCAC/csvfiles/gpcc/raht21/8ivfb/soldier_vox10_0690.csv
owlii,basketball_player,22,0.574,44.211,results/PCAC/csvfiles/gpcc/raht21/owlii_vox10/basketball_player_vox11_00000200.csv
owlii,basketball_player,28,0.267,41.458,results/PCAC/csvfiles/gpcc/raht21/owlii_vox10/basketball_player_vox11_00000200.csv
owlii,basketball_player,34,0.12,38.624,results/PCAC/csvfiles/gpcc/raht21/owlii_vox10/basketball_player_vox11_00000200.csv
owlii,basketball_player,40,0.053,35.913,results/PCAC/csvfiles/gpcc/raht21/owlii_vox10/basketball_player_vox11_00000200.csv
owlii,basketball_player,46,0.022,33.315,results/PCAC/csvfiles/gpcc/raht21/owlii_vox10/basketball_player_vox11_00000200.csv
