dataset,sequence,point,checkpoint_profile,checkpoint_step,physical_base_bpp,base_yuv611,selection_role,payload,official_interp_yuv611,delta_to_official_curve
8ivfb,longdress,256,2k128,3525,0.1240795089782112,28.23635,existing_selected,G-PCC x_low + arithmetic r1-r4,28.19264475644459,0.0437052435554115
8ivfb,longdress,512,2k128,3525,0.1555586118797248,28.6066,existing_selected,G-PCC x_low + arithmetic r1-r4,29.005422125041846,-0.3988221250418462
8ivfb,longdress,1K,2k128,3525,0.1845760787723523,28.7029375,existing_selected,G-PCC x_low + arithmetic r1-r4,29.583084796508395,-0.8801472965083939
8ivfb,longdress,2K,8k256,1500,0.2651387117904439,30.2333125,provisional_rescue_H-PATH,G-PCC x_low + arithmetic r1-r4,30.97965863348914,-0.7463461334891406
8ivfb,longdress,4K,8k256,250,0.2883564150560744,30.1911625,provisional_rescue_H-PATH,G-PCC x_low + arithmetic r1-r4,31.276394473467143,-1.0852319734671418
8ivfb,longdress,8K,32k8k,3525,0.4752542641549898,33.510075,existing_selected,G-PCC x_low + arithmetic r1-r4,33.337037229291134,0.1730377707088664
8ivfb,longdress,16K,32k8k,3525,0.6124158766198194,34.275425,existing_selected,G-PCC x_low + arithmetic r1-r4,34.30301127940242,-0.027586279402420644
8ivfb,longdress,32K,32k8k,5525,0.7671073212691412,34.8154125,existing_selected,G-PCC x_low + arithmetic r1-r4,35.433751932488704,-0.6183394324887033
8ivfb,loot,256,2k128,3525,0.0283030231532935,35.8643875,existing_selected,G-PCC x_low + arithmetic r1-r4,35.72530752945508,0.13907997054491972
8ivfb,loot,512,2k128,3525,0.0427078611920003,37.0382875,existing_selected,G-PCC x_low + arithmetic r1-r4,36.90740468436874,0.13088281563126003
8ivfb,loot,1K,2k128,3525,0.0598843887567755,38.0207875,existing_selected,G-PCC x_low + arithmetic r1-r4,37.80162896919432,0.2191585308056787
8ivfb,loot,2K,8k256,1500,0.1038837181867289,39.66115,provisional_rescue_H-PATH,G-PCC x_low + arithmetic r1-r4,39.537329578745066,0.12382042125493342
8ivfb,loot,4K,8k256,250,0.1355346243876391,40.2742375,provisional_rescue_H-PATH,G-PCC x_low + arithmetic r1-r4,40.48842697966507,-0.21418947966507318
8ivfb,loot,8K,32k8k,3525,0.134292828004992,40.5951875,existing_selected,G-PCC x_low + arithmetic r1-r4,40.4565906060606,0.13859689393940045
