dataset,sample,method,endpoint,operating_point,physical_bpp,Y,U,V,YUV611,pending_sample,source_artifact
CTC,Shiva_00035_vox12,Original_Unicorn,Original Unicorn,R01,4.346444270917977,39.353,39.0594,38.8756,39.256625,True,n30_main:results/Original_Unicorn/CTC/Shiva_00035_vox12/R01/aggregate/aggregate.json
CTC,Shiva_00035_vox12,Original_Unicorn,Original Unicorn,R02,3.5294252882675408,36.9526,38.3888,38.5708,37.3344,True,n30_main:results/Original_Unicorn/CTC/Shiva_00035_vox12/R02/aggregate/aggregate.json
CTC,Shiva_00035_vox12,Original_Unicorn,Original Unicorn,R03,2.8571326645077155,34.4752,37.5049,38.1557,35.313975,True,n30_main:results/Original_Unicorn/CTC/Shiva_00035_vox12/R03/aggregate/aggregate.json
CTC,Shiva_00035_vox12,Original_Unicorn,Original Unicorn,R04,2.5549878509451687,29.5874,35.6074,37.0642,31.2745,True,n30_main:results/Original_Unicorn/CTC/Shiva_00035_vox12/R04/aggregate/aggregate.json
CTC,Shiva_00035_vox12,Original_Unicorn,Original Unicorn,R05,2.118493913581177,28.5134,35.466,36.9392,30.4357,True,n30_main:results/Original_Unicorn/CTC/Shiva_00035_vox12/R05/aggregate/aggregate.json
CTC,Shiva_00035_vox12,Original_Unicorn,Original Unicorn,R06,1.3555570529920764,25.7079,34.8341,36.3582,28.179962500000002,True,n30_main:results/Original_Unicorn/CTC/Shiva_00035_vox12/R06/aggregate/aggregate.json
CTC,Shiva_00035_vox12,Original_Unicorn,Original Unicorn,R07,1.1751564711058613,25.0679,34.783,36.5694,27.719975,True,n30_main:results/Original_Unicorn/CTC/Shiva_00035_vox12/R07/aggregate/aggregate.json
CTC,Shiva_00035_vox12,Original_Unicorn,Original Unicorn,R08,1.021495701256129,24.4101,34.5107,36.6119,27.197899999999997,True,n30_main:results/Original_Unicorn/CTC/Shiva_00035_vox12/R08/aggregate/aggregate.json
CTC,Shiva_00035_vox12,Original_Unicorn,Original Unicorn,R09,0.9027401767063179,23.837,33.9393,36.5781,26.692425,True,n30_main:results/Original_Unicorn/CTC/Shiva_00035_vox12/R09/aggregate/aggregate.json
CTC,Staue_Klimt_vox12,Original_Unicorn,Original Unicorn,R01,3.0912060200936637,40.0786,40.6807,40.3461,40.1873,False,n30_main:results/Original_Unicorn/CTC/Staue_Klimt_vox12/R01/aggregate/aggregate.json
CTC,Staue_Klimt_vox12,Original_Unicorn,Original Unicorn,R02,2.47715646639715,38.0705,39.8902,39.849,38.520275,False,n30_main:results/Original_Unicorn/CTC/Staue_Klimt_vox12/R02/aggregate/aggregate.json
CTC,Staue_Klimt_vox12,Original_Unicorn,Original Unicorn,R03,1.9961253652483688,35.9846,38.956,39.147,36.751325,False,n30_main:results/Original_Unicorn/CTC/Staue_Klimt_vox12/R03/aggregate/aggregate.json
CTC,Staue_Klimt_vox12,Original_Unicorn,Original Unicorn,R04,1.9449545691069927,32.1645,36.4452,36.9415,33.2967125,False,n30_main:results/Original_Unicorn/CTC/Staue_Klimt_vox12/R04/aggregate/aggregate.json
CTC,Staue_Klimt_vox12,Original_Unicorn,Original Unicorn,R05,1.630228555417684,31.185,36.2761,36.9145,32.537575,False,n30_main:results/Original_Unicorn/CTC/Staue_Klimt_vox12/R05/aggregate/aggregate.json
CTC,Staue_Klimt_vox12,Original_Unicorn,Original Unicorn,R06,1.146699755833967,28.8733,35.3804,35.007,30.453400000000002,False,n30_main:results/Original_Unicorn/CTC/Staue_Klimt_vox12/R06/aggregate/aggregate.json
CTC,Staue_Klimt_vox12,Original_Unicorn,Original Unicorn,R07,1.0200056038105911,28.2319,35.429,35.4269,30.0309125,False,n30_main:results/Original_Unicorn/CTC/Staue_Klimt_vox12/R07/aggregate/aggregate.json
CTC,Staue_Klimt_vox12,Original_Unicorn,Original Unicorn,R08,0.9155185526157787,27.6241,34.9141,35.7494,29.5510125,False,n30_main:results/Original_Unicorn/CTC/Staue_Klimt_vox12/R08/aggregate/aggregate.json
CTC,Staue_Klimt_vox12,Original_Unicorn,Original Unicorn,R09,0.8380578793579634,27.0786,34.1739,35.8717,29.064650000000004,False,n30_main:results/Original_Unicorn/CTC/Staue_Klimt_vox12/R09/aggregate/aggregate.json
CTC,Thaidancer_viewdep_vox12,Original_Unicorn,Original Unicorn,R01,0.7271219389083498,43.1835,47.4841,46.2432,44.1035375,False,n30_main:results/Original_Unicorn/CTC/Thaidancer_viewdep_vox12/R01/aggregate/aggregate.json
CTC,Thaidancer_viewdep_vox12,Original_Unicorn,Original Unicorn,R02,0.5613671904326061,41.6248,46.2027,45.1442,42.6369625,False,n30_main:results/Original_Unicorn/CTC/Thaidancer_viewdep_vox12/R02/aggregate/aggregate.json
CTC,Thaidancer_viewdep_vox12,Original_Unicorn,Original Unicorn,R03,0.4260359112712705,39.8607,44.603,43.6843,40.9314375,False,n30_main:results/Original_Unicorn/CTC/Thaidancer_viewdep_vox12/R03/aggregate/aggregate.json
CTC,Thaidancer_viewdep_vox12,Original_Unicorn,Original Unicorn,R04,0.3134327833711103,38.7206,43.6602,43.0114,39.874399999999994,False,n30_main:results/Original_Unicorn/CTC/Thaidancer_viewdep_vox12/R04/aggregate/aggregate.json
CTC,Thaidancer_viewdep_vox12,Original_Unicorn,Original Unicorn,R05,0.23597356731087163,37.0326,42.4981,42.1354,38.353637500000005,False,n30_main:results/Original_Unicorn/CTC/Thaidancer_viewdep_vox12/R05/aggregate/aggregate.json
CTC,Thaidancer_viewdep_vox12,Original_Unicorn,Original Unicorn,R06,0.16323479377614636,35.0507,40.543,39.6772,36.31555,False,n30_main:results/Original_Unicorn/CTC/Thaidancer_viewdep_vox12/R06/aggregate/aggregate.json
CTC,Thaidancer_viewdep_vox12,Original_Unicorn,Original Unicorn,R07,0.11677919887292088,33.3056,39.5365,39.0173,34.798424999999995,False,n30_main:results/Original_Unicorn/CTC/Thaidancer_viewdep_vox12/R07/aggregate/aggregate.json
CTC,Thaidancer_viewdep_vox12,Original_Unicorn,Original Unicorn,R08,0.08361342591483333,31.5958,38.3737,38.1587,33.263400000000004,False,n30_main:results/Original_Unicorn/CTC/Thaidancer_viewdep_vox12/R08/aggregate/aggregate.json
CTC,Thaidancer_viewdep_vox12,Original_Unicorn,Original Unicorn,R09,0.06358413080251676,30.1173,37.0027,37.2029,31.863675,False,n30_main:results/Original_Unicorn/CTC/Thaidancer_viewdep_vox12/R09/aggregate/aggregate.json
CTC,basketball_player_vox11_00000200,Original_Unicorn,Original Unicorn,R01,0.32271935803417795,43.2402,45.5515,50.2218,44.40181249999999,False,n30_main:results/Original_Unicorn/CTC/basketball_player_vox11_00000200/R01/aggregate/aggregate.json
CTC,basketball_player_vox11_00000200,Original_Unicorn,Original Unicorn,R02,0.2316447639628455,42.2078,45.0592,49.6573,43.4954125,False,n30_main:results/Original_Unicorn/CTC/basketball_player_vox11_00000200/R02/aggregate/aggregate.json
CTC,basketball_player_vox11_00000200,Original_Unicorn,Original Unicorn,R03,0.15929645183718144,40.8546,44.5264,48.9979,42.3314875,False,n30_main:results/Original_Unicorn/CTC/basketball_player_vox11_00000200/R03/aggregate/aggregate.json
CTC,basketball_player_vox11_00000200,Original_Unicorn,Original Unicorn,R04,0.08824979131872211,39.5542,43.8856,48.8581,41.2586125,False,n30_main:results/Original_Unicorn/CTC/basketball_player_vox11_00000200/R04/aggregate/aggregate.json
CTC,basketball_player_vox11_00000200,Original_Unicorn,Original Unicorn,R05,0.0641637674610342,38.4859,43.5956,48.4206,40.36645,False,n30_main:results/Original_Unicorn/CTC/basketball_player_vox11_00000200/R05/aggregate/aggregate.json
CTC,basketball_player_vox11_00000200,Original_Unicorn,Original Unicorn,R06,0.046162144498368494,37.2132,43.2233,47.3145,39.227125,False,n30_main:results/Original_Unicorn/CTC/basketball_player_vox11_00000200/R06/aggregate/aggregate.json
CTC,basketball_player_vox11_00000200,Original_Unicorn,Original Unicorn,R07,0.03519381551412846,35.9674,43.0039,47.0288,38.229637499999995,False,n30_main:results/Original_Unicorn/CTC/basketball_player_vox11_00000200/R07/aggregate/aggregate.json
CTC,basketball_player_vox11_00000200,Original_Unicorn,Original Unicorn,R08,0.02747688098570029,34.6632,42.9728,46.6417,37.1992125,False,n30_main:results/Original_Unicorn/CTC/basketball_player_vox11_00000200/R08/aggregate/aggregate.json
