dataset,sample,operating_point,base_bpp,full_bpp,delta_bpp,base_Y,full_Y,delta_Y,base_YUV611,full_YUV611,delta_YUV611,pending_sample,negative_magnitude_class
CTC,boxer_viewdep_vox12,4k,0.17260158284152832,0.17366883428258975,0.0010672514410614287,40.7743,40.8033,0.029000000000003467,43.246787499999996,43.238625,-0.008162499999997408,False,tiny (≤0.05 dB)
CTC,boxer_viewdep_vox12,8k,0.1413535599620393,0.14451408998063317,0.003160530018593871,40.3942,40.3901,-0.004100000000001103,42.963825,42.9608125,-0.003012499999996976,False,tiny (≤0.05 dB)
CTC,longdress_viewdep_vox12,1k,0.3613578534695984,0.3621846942723833,0.0008268408027848895,34.5946,34.554,-0.04059999999999775,35.5704875,35.545075000000004,-0.02541249999999451,False,tiny (≤0.05 dB)
CTC,loot_viewdep_vox12,1k,0.10666012657074157,0.10667073213170118,1.0605560959608962e-05,39.7883,39.6604,-0.1278999999999968,42.556425000000004,42.5003375,-0.05608750000000384,False,material (>0.10 dB)
CTC,loot_viewdep_vox12,2k,0.15803346385906536,0.158391401541452,0.0003579376823866498,42.6065,42.6071,0.0006000000000057071,44.840712499999995,44.758925000000005,-0.08178749999999013,False,small (0.05–0.10 dB)
CTC,loot_viewdep_vox12,4k,0.1554510097654017,0.1559415169597834,0.0004905071943817063,41.8243,41.8479,0.02360000000000184,44.495000000000005,44.44005,-0.05495000000000516,False,small (0.05–0.10 dB)
CTC,loot_viewdep_vox12,8k,0.13495576321096614,0.13680643359841713,0.0018506703874509867,41.3895,41.3224,-0.06709999999999638,44.211200000000005,44.15265,-0.05855000000000388,False,small (0.05–0.10 dB)
CTC,redandblack_viewdep_vox12,1k,0.18348590739729448,0.18403741905537746,0.0005515116580829815,38.3225,38.0807,-0.2417999999999978,38.4872,38.30655,-0.18064999999999998,False,material (>0.10 dB)
CTC,redandblack_viewdep_vox12,2k,0.301702864431721,0.30350177418557284,0.0017989097538518295,40.5633,40.3964,-0.16689999999999827,40.665637499999995,40.524075,-0.14156249999999204,False,material (>0.10 dB)
CTC,redandblack_viewdep_vox12,512,0.14861073563642388,0.14862228561879212,1.1549982368241896e-05,37.4215,37.3452,-0.07630000000000337,37.705375000000004,37.669675,-0.035700000000005616,False,small (0.05–0.10 dB)
CTC,soldier_viewdep_vox12,4k,0.29284158896323964,0.2943569244886117,0.0015153355253720857,40.3945,40.4116,0.017099999999999227,42.9864375,42.9359625,-0.050474999999998715,False,small (0.05–0.10 dB)
8iVFB,loot,4k,0.16402640059109508,0.16589406235059637,0.0018676617595012879,38.4647,38.4809,0.016199999999997772,41.184312500000004,41.169624999999996,-0.014687500000007958,False,tiny (≤0.05 dB)
CTC,Facade_00009_vox12,1k,0.6694380311825499,0.673347597402394,0.003909566219844174,30.0707,30.0617,-0.009000000000000341,32.5230125,32.49155,-0.0314625000000035,False,tiny (≤0.05 dB)
