dataset,operating_point,n,mean_delta_Y,median_delta_Y,negative_Y,mean_delta_YUV611,median_delta_YUV611,negative_YUV611,mean_delta_bpp
8iVFB,16k,4,3.560299999999998,2.9304999999999986,0,3.0404500000000017,2.4820812500000002,0,0.3933943193028624
8iVFB,1k,4,1.1744250000000003,0.5625,0,0.9535312499999993,0.44310000000000116,0,0.042746968763347826
8iVFB,2k,4,1.701624999999999,1.1676000000000002,0,1.2854593749999985,0.8815375000000003,0,0.07131935477377083
8iVFB,32k,4,7.901025000000001,7.062400000000004,0,6.2466375,5.561150000000001,0,0.9304406353073689
8iVFB,4k,4,0.42969999999999864,0.16169999999999973,0,0.4356437499999952,0.2150499999999944,1,0.04997551471970375
8iVFB,512,4,0.4596499999999999,0.08965000000000067,0,0.3767843749999997,0.08468124999999915,0,0.012848712800883929
8iVFB,8k,4,2.753,2.3598500000000016,0,2.3241312500000006,1.9102562499999998,0,0.2488819173685914
CTC,16k,10,0.8639600000000008,0.5118500000000026,0,0.6883812500000005,0.38698750000000715,0,0.0661044677956175
CTC,1k,10,0.10177999999999976,0.04974999999999952,4,0.0952137499999978,0.05623749999999461,4,0.004456152235260999
CTC,2k,10,0.2857800000000008,0.18294999999999817,1,0.19157999999999972,0.08586249999999751,2,0.014274033106555955
CTC,32k,10,3.458519999999999,3.5706000000000024,0,2.599799999999997,2.681012499999998,0,0.5124030839913568
CTC,4k,10,0.16973000000000055,0.0718500000000013,0,0.09926750000000198,0.03153125000000756,3,0.00496832423624838
CTC,512,10,0.06766999999999897,0.06465000000000032,1,0.07943249999999828,0.06824374999999705,1,0.0006451273125815434
CTC,8k,10,0.5428500000000007,0.20855000000000246,2,0.42372750000000325,0.16450000000000742,2,0.032176244397560894
Owlii,16k,4,3.130225000000001,2.8092000000000006,0,2.486600000000001,2.2501875000000027,0,0.21162131909106377
Owlii,1k,4,0.8616500000000009,0.8652000000000015,0,0.6536250000000017,0.6558750000000018,0,0.014491071202685198
Owlii,2k,4,1.3884000000000025,1.3540500000000044,0,1.0431218750000042,1.0202000000000027,0,0.031173893756177955
Owlii,32k,4,6.798774999999999,6.254199999999997,0,5.165612500000005,4.7630375000000065,0,0.6835691013745314
Owlii,4k,4,0.4847999999999999,0.3733000000000004,0,0.36598124999999904,0.27988124999999897,0,0.017094711101303214
Owlii,512,4,0.3210499999999987,0.24150000000000027,0,0.23851875000000433,0.18184375000000585,0,0.0037076172341934787
Owlii,8k,4,2.328075000000002,2.1487500000000033,0,1.8084156250000003,1.6816937499999973,0,0.1234715337507012
