dataset,sample,metric,ours_point,ours_bpp,ours_quality,official_interpolated_quality,delta_vs_official
8iVFB,longdress,y_psnr,16k,1.4491483345493876,38.8745,39.309851818796226,-0.435351818796228
8iVFB,longdress,y_psnr,1k,0.3152479235773912,30.7536,30.939840451979368,-0.18624045197936923
8iVFB,longdress,y_psnr,2k,0.4435140786464732,32.6652,32.29428135134899,0.3709186486510063
8iVFB,longdress,y_psnr,4k,0.7084476541028433,34.4283,34.3456900077394,0.0826099922606005
8iVFB,longdress,y_psnr,512,0.20191009900159212,28.955,29.088112013616506,-0.1331120136165076
8iVFB,longdress,y_psnr,8k,1.010268472177219,36.5329,36.74612327315211,-0.21322327315210998
8iVFB,longdress,yuv_psnr_611,16k,1.4491483345493876,39.3999125,39.83572583630678,-0.4358133363067793
8iVFB,longdress,yuv_psnr_611,1k,0.3152479235773912,31.505749999999995,31.664566031915353,-0.15881603191535731
8iVFB,longdress,yuv_psnr_611,2k,0.4435140786464732,32.9171,33.085292399166164,-0.16819239916616624
8iVFB,longdress,yuv_psnr_611,4k,0.7084476541028433,35.368449999999996,35.09547324530833,0.27297675469166904
8iVFB,longdress,yuv_psnr_611,512,0.20191009900159212,29.914949999999997,29.99697693376581,-0.08202693376581394
8iVFB,longdress,yuv_psnr_611,8k,1.010268472177219,37.298325,37.48914474985094,-0.19081974985093808
8iVFB,loot,y_psnr,16k,0.33994424334241913,41.8131,42.110085017145224,-0.29698501714522507
8iVFB,loot,y_psnr,1k,0.0638084653259405,34.967,34.92915731270995,0.03784268729005191
8iVFB,loot,y_psnr,2k,0.12282856380039366,37.3577,37.386224597954175,-0.02852459795417417
8iVFB,loot,y_psnr,4k,0.16589406235059637,38.4809,38.740546288239216,-0.2596462882392174
8iVFB,loot,y_psnr,512,0.04298602358171331,33.6731,33.622893806309925,0.050206193690073064
8iVFB,loot,y_psnr,8k,0.23382529166692537,39.8468,40.03287975209321,-0.1860797520932067
8iVFB,loot,yuv_psnr_611,16k,0.33994424334241913,44.0129375,44.240232855335286,-0.22729535533528633
8iVFB,loot,yuv_psnr_611,1k,0.0638084653259405,38.1459,38.041289241856965,0.104610758143032
8iVFB,loot,yuv_psnr_611,2k,0.12282856380039366,40.2466375,40.19740492511818,0.04923257488182031
8iVFB,loot,yuv_psnr_611,4k,0.16589406235059637,41.169624999999996,41.31839867219603,-0.148773672196036
