dataset,sample,method,endpoint,operating_point,physical_bits,physical_bpp,Y,U,V,YUV611,reconstruction_sha256,result_set
8iVFB,longdress,Original_Unicorn,Original Unicorn,R01,1629144,1.898844476354541,41.3234,42.3937,41.9483,41.53530000000001,24b5e9a6b2c69197ff851e1d57d40d29cb9afdfc8b19444eb369ebe5a35a9de9,8i_current_formal_runtime
8iVFB,longdress,Original_Unicorn,Original Unicorn,R02,1272616,1.4832942097938613,39.4788,41.755,41.2506,39.9848,c813696d0847a39c069f55f0057acb9e5b43e821d71fa93b1f2a89094a57be4b,8i_current_formal_runtime
8iVFB,longdress,Original_Unicorn,Original Unicorn,R03,966328,1.1263010422324429,37.4815,40.6784,40.2122,38.222449999999995,b128851fc52234d125ff152eb934c68ccbbfa8036a860e2ab368176fe88abd98,8i_current_formal_runtime
8iVFB,longdress,Original_Unicorn,Original Unicorn,R04,560944,0.6538067942086283,33.8028,37.8419,35.7742,34.5541125,dae38a982598691825fee97a990095bd800e6eab0cfbcc902c65eae53113d6ee,8i_current_formal_runtime
8iVFB,longdress,Original_Unicorn,Original Unicorn,R05,435104,0.5071343153458295,32.8179,37.1677,35.2394,33.6643125,403cdd7a433c4ba4afa759377ae5ff1114c7461f2ee6683a57954133b72d2444,8i_current_formal_runtime
8iVFB,longdress,Original_Unicorn,Original Unicorn,R06,295840,0.3448155288204894,31.311,35.1755,32.9423,31.997974999999997,66571938161291e93bd5a71b7ff0d1e0a7bbf8842c0977c11543327fee0fd415,8i_current_formal_runtime
8iVFB,longdress,Original_Unicorn,Original Unicorn,R07,208552,0.2430772314986841,29.8635,34.3063,32.0943,30.697699999999998,e4caac6fbcca3e15c4c45522866a78eb4df5a1e95dab43401924db4f60bc3e0d,8i_current_formal_runtime
8iVFB,longdress,Original_Unicorn,Original Unicorn,R08,136608,0.1592230927565894,28.0956,33.2014,31.0253,29.1000375,2cb978e472a69157e3456be274308902f8200b71446ef59f7468a12f1fa11b70,8i_current_formal_runtime
8iVFB,longdress,Original_Unicorn,Original Unicorn,R09,88816,0.10351925367671913,26.4927,32.197,30.1411,27.6617875,58bc6429255edd730438f6bd5387b5001ab05b01cb8135fb373aed69fac14fc1,8i_current_formal_runtime
8iVFB,loot,Original_Unicorn,Original Unicorn,R01,362440,0.45007668092662845,43.682,51.3814,51.4599,45.6166625,20bc77d7dcb2e979b1a6ed0514f50092a8b754ca1cf697b50909e754d15a0e8d,8i_current_formal_runtime
8iVFB,loot,Original_Unicorn,Original Unicorn,R02,275240,0.3417920363597981,42.1432,50.6434,50.6538,44.269549999999995,4359705d2d58a40db698d895ecd6bb83c00c81d93eaddb271b28a31262bf6402,8i_current_formal_runtime
8iVFB,loot,Original_Unicorn,Original Unicorn,R03,204352,0.2537635743867078,40.324,49.7057,49.6222,42.6589875,eb92cdfe35becc9d2d23e858c2b508954538ffa88d585a94191011316a7d4ce1,8i_current_formal_runtime
8iVFB,loot,Original_Unicorn,Original Unicorn,R04,144016,0.17883854784331013,39.0791,49.1962,49.1182,41.598625,7b9c24daae20da343cc80ea10403bf2632b2953bac5143bd4f98526238f33e98,8i_current_formal_runtime
8iVFB,loot,Original_Unicorn,Original Unicorn,R05,93856,0.11655004128972972,37.1498,48.4544,48.6605,40.001712500000004,17ff330cd113457973cad21fa975c2ea0ded6a6ae9e8a034895c255392fd3c1a,8i_current_formal_runtime
8iVFB,loot,Original_Unicorn,Original Unicorn,R06,55352,0.06873591337228435,35.1748,47.6342,47.3067,38.248712499999996,4ef5bf14670330a01468f101119d52092772ff07bc73a41107292ae51be6c746,8i_current_formal_runtime
8iVFB,loot,Original_Unicorn,Original Unicorn,R07,35096,0.04358208584538393,33.6702,46.9831,46.8214,36.978212500000005,b4c9a34b7864cd08f55a5bf8b804a464f41e93affb6db050180c1a4b5149ec25,8i_current_formal_runtime
8iVFB,loot,Original_Unicorn,Original Unicorn,R08,23120,0.028710332366801816,32.2364,46.434,46.337,35.773675000000004,8a94b1f5f54be1857d2f5aa06540a5e4f679621d36c57db0b7708c3f4a2c9def,8i_current_formal_runtime
8iVFB,loot,Original_Unicorn,Original Unicorn,R09,17688,0.021964894416262565,31.3414,45.7813,45.9516,34.9726625,289e7e8511f60392e8518f1c8efd2655d0d7ddc874c448eb0f57dd189fa2dd6a,8i_current_formal_runtime
8iVFB,redandblack,Original_Unicorn,Original Unicorn,R01,662088,0.8738232340096425,42.8344,44.0091,41.1474,42.7703625,788622bc4f54440ce11dbb56a9067a9467db94ad39725f81345fde49cf10cb2b,8i_current_formal_runtime
8iVFB,redandblack,Original_Unicorn,Original Unicorn,R02,506064,0.6679028786141052,41.4842,43.5312,40.6292,41.6332,fc014bd88f4004e25525420c63e774b42ff3f82f9168e984797026efeabff7ef,8i_current_formal_runtime
8iVFB,redandblack,Original_Unicorn,Original Unicorn,R03,376528,0.49694136527951366,39.8969,42.8505,39.7391,40.246375,fff362ccd8b47607da276ffcb83cbb6b84dda1996f809fa5aba3c27b81895e48,8i_current_formal_runtime
8iVFB,redandblack,Original_Unicorn,Original Unicorn,R04,258952,0.34176465076132617,38.2112,40.7705,35.1312,38.146112499999994,4360d92edbd1dc598cf37cfe677047f40abbba135c0a1050f5f2ccb42ab45bac,8i_current_formal_runtime
8iVFB,redandblack,Original_Unicorn,Original Unicorn,R05,194040,0.25609384300460214,36.9904,40.4735,34.39,37.1007375,55372d32fe8468a51534fd7d11404c02314dc2f5320abbb11b5c83008a2c8f93,8i_current_formal_runtime
8iVFB,redandblack,Original_Unicorn,Original Unicorn,R06,116224,0.1533923459563331,35.2788,39.833,31.0987,35.3255625,937aed5eed3590e1e2f6b483894ea31ac2b2a38ae8b28368fd118c4239463fca,8i_current_formal_runtime
8iVFB,redandblack,Original_Unicorn,Original Unicorn,R07,75696,0.09990352267613051,33.9443,39.6383,30.0241,34.166025,87bc6a5ea9e08d17489e328e7b3ca0683fb44379a5c5584714bae642f080272e,8i_current_formal_runtime
8iVFB,redandblack,Original_Unicorn,Original Unicorn,R08,51056,0.06738366959618103,32.6934,39.2283,29.0272,33.051987499999996,c87fdd7f4c43a862e0c375181b5f84bd0a46c53fb30d34c3c7b0446dca80b124,8i_current_formal_runtime
8iVFB,redandblack,Original_Unicorn,Original Unicorn,R09,36160,0.04772394023421157,31.5822,39.1232,27.974,32.0738,baad59e15b20b530282664a849a53a2158e109c281f799cd6f3f2e9e2fd219ff,8i_current_formal_runtime
8iVFB,soldier,Original_Unicorn,Original Unicorn,R01,793856,0.7289161328116751,42.9022,50.3468,51.4304,44.8988,9e17985a3c4fc7aef872a7ad7fb853df39b6fe5406567b5d6d2d296bddc830f4,8i_current_formal_runtime
8iVFB,soldier,Original_Unicorn,Original Unicorn,R02,608304,0.5585428582184593,41.2367,49.2011,50.2818,43.3628875,17a909613995beb054dc73bcafed01e78dc20b1fa8e3fa8890fc7d2f31c45c76,8i_current_formal_runtime
8iVFB,soldier,Original_Unicorn,Original Unicorn,R03,458664,0.4211438713569389,39.3686,47.8858,48.9245,41.6277375,021297b9275576215dd8ee232e2af66b0d528ddc19270455ab12fe92f4f003b6,8i_current_formal_runtime
8iVFB,soldier,Original_Unicorn,Original Unicorn,R04,319664,0.29351449970663607,37.6659,48.5837,49.6516,40.52883750000001,67064b8434a7b3be54abc51c6825bc151ddf1a8aa380d6ddea11e96d96b05658,8i_current_formal_runtime
8iVFB,soldier,Original_Unicorn,Original Unicorn,R05,211896,0.19456225421016243,35.4964,47.6555,48.8374,38.683912500000005,c2eda41ac3e20b0e11609e963bf5185896f1f4b180cf87bbc35513a6c8bd5b90,8i_current_formal_runtime
8iVFB,soldier,Original_Unicorn,Original Unicorn,R06,140888,0.12936292743214295,33.6042,46.8454,47.3151,36.9732125,2941a3be0274731340e6fb6c7dd73b2f2b11b17a2deaf02fa094f1233de4e32f,8i_current_formal_runtime
8iVFB,soldier,Original_Unicorn,Original Unicorn,R07,95312,0.08751518468153717,31.8715,46.1959,46.837,35.5327375,c89348ab6d025c367b443a88086a9d3ef57d79f1095374fac69ca101187410f2,8i_current_formal_runtime
8iVFB,soldier,Original_Unicorn,Original Unicorn,R08,58968,0.054144235881115534,29.9106,45.671,46.2653,33.9249875,da71b74d6f04b476377530e0d3fedff6ae63dd04a9b3a9ea940225c5ba4e1bdf,8i_current_formal_runtime
8iVFB,soldier,Original_Unicorn,Original Unicorn,R09,40480,0.037168611254706906,28.4515,45.2503,45.831,32.7237875,0b651e04e9e0946f2f645c5cef79c79068dc5191031f890a5bc5f4a139453461,8i_current_formal_runtime
CTC,Staue_Klimt_vox12,Original_Unicorn,Original Unicorn,R01,1544552,3.0912060200936637,40.0786,40.6807,40.3461,40.1873,0b40771aa67fd0dc641faad69b8c1de8df53018b9cb5df4fe81d653b9fd60d79,retained_formal
CTC,Staue_Klimt_vox12,Original_Unicorn,Original Unicorn,R02,1237736,2.47715646639715,38.0705,39.8902,39.849,38.520275,f1a7b413ddb15b3e8d0190d0c86206b0bf5bc7f231b0815e59c97025f3aec84f,retained_formal
