dataset,ours_endpoint,metric,available_sequences,unavailable_sequences,equal_sequence_mean_BD_BR_percent,status
8iVFB,Ours Base,Y,4,0,5.20459471032672,AVAILABLE
8iVFB,Ours Base,YUV611,4,0,-0.7230980295783864,AVAILABLE
8iVFB,Ours Full,Y,4,0,1.4521605359309409,AVAILABLE
8iVFB,Ours Full,YUV611,4,0,1.390495682560497,AVAILABLE
Owlii,Ours Base,Y,4,0,10.109716407653913,AVAILABLE
Owlii,Ours Base,YUV611,4,0,4.992130637927411,AVAILABLE
Owlii,Ours Full,Y,4,0,1.8547535586108692,AVAILABLE
Owlii,Ours Full,YUV611,4,0,2.0771324010843832,AVAILABLE
CTC,Ours Base,Y,9,3,3.199827667606144,AVAILABLE_SUBSET
CTC,Ours Base,YUV611,9,3,0.9249020050181664,AVAILABLE_SUBSET
CTC,Ours Full,Y,9,3,0.10569596226068173,AVAILABLE_SUBSET
CTC,Ours Full,YUV611,9,3,-0.2988465025238283,AVAILABLE_SUBSET
