dataset,sample,operating_point,base_bpp,full_bpp,delta_bpp,base_Y,full_Y,delta_Y,base_YUV611,full_YUV611,delta_YUV611,pending_sample
CTC,Staue_Klimt_vox12,16k,2.431445382860345,2.5110515150302204,0.07960613216987555,37.5203,38.0222,0.5018999999999991,38.0736375,38.4651625,0.39152500000000146,False
CTC,Staue_Klimt_vox12,1k,1.1389344754433015,1.1530240563583236,0.014089580915022104,28.4531,28.6842,0.23110000000000142,30.106937499999997,30.362225,0.25528750000000144,False
CTC,Staue_Klimt_vox12,2k,1.8222311171596686,1.8792939198655085,0.057062802705839966,31.5924,32.1518,0.5594000000000001,32.8925375,33.3507125,0.4581749999999971,False
CTC,Staue_Klimt_vox12,32k,3.0300124084377376,3.883857022775487,0.8538446143377496,39.2277,43.1039,3.8762000000000043,39.509125,42.4227,2.9135750000000016,False
CTC,Staue_Klimt_vox12,4k,2.0805988071888883,2.092302765880799,0.011703958691910543,36.1201,36.4088,0.2886999999999986,36.835074999999996,37.0182875,0.18321250000000333,False
CTC,Staue_Klimt_vox12,512,1.0135051835247968,1.0155545771124364,0.0020493935876395586,27.7574,28.0401,0.2826999999999984,29.5752625,29.842799999999997,0.267537499999996,False
CTC,Staue_Klimt_vox12,8k,1.9608373694111996,1.9971660729295921,0.03632870351839257,35.6234,35.8209,0.19750000000000512,36.432475,36.604600000000005,0.1721250000000083,False
CTC,Thaidancer_viewdep_vox12,16k,0.32995816581289145,0.5217635210360949,0.19180535522320347,38.9,41.1325,2.2325000000000017,40.321374999999996,42.198499999999996,1.8771249999999995,False
CTC,Thaidancer_viewdep_vox12,1k,0.1282595604455285,0.14817384748331983,0.01991428703779133,33.5874,34.4032,0.8157999999999959,35.245000000000005,35.8970625,0.6520624999999924,False
CTC,Thaidancer_viewdep_vox12,2k,0.18804075758374425,0.2272866240817324,0.03924586649798814,35.4991,36.9029,1.403800000000004,37.0364875,38.095937500000005,1.0594500000000053,False
