dataset,sample,method,endpoint,operating_point,GPU_model,VRAM_MiB,encode_seconds,decode_seconds,codec_seconds,timing_semantics
8iVFB,longdress,Original_Unicorn,Original Unicorn,R01,NVIDIA GeForce RTX 3090,24576,7.405626950785518,2.8477922212332487,10.253419172018766,CUDA-synchronized codec only
8iVFB,longdress,Original_Unicorn,Original Unicorn,R02,NVIDIA GeForce RTX 3090,24576,4.227927939966321,2.428607292473316,6.656535232439637,CUDA-synchronized codec only
8iVFB,longdress,Original_Unicorn,Original Unicorn,R03,NVIDIA GeForce RTX 3090,24576,3.6083593033254147,2.211965775117278,5.820325078442693,CUDA-synchronized codec only
8iVFB,longdress,Original_Unicorn,Original Unicorn,R04,NVIDIA GeForce RTX 3090,24576,4.935357239097357,2.4776044823229313,7.412961721420288,CUDA-synchronized codec only
8iVFB,longdress,Original_Unicorn,Original Unicorn,R05,NVIDIA GeForce RTX 3090,24576,3.4838363993912935,2.3147851433604956,5.798621542751789,CUDA-synchronized codec only
8iVFB,longdress,Original_Unicorn,Original Unicorn,R06,NVIDIA GeForce RTX 3090,24576,3.31062663346529,2.215811423957348,5.526438057422638,CUDA-synchronized codec only
8iVFB,longdress,Original_Unicorn,Original Unicorn,R07,NVIDIA GeForce RTX 3090,24576,3.401260068640113,2.264335559681058,5.665595628321171,CUDA-synchronized codec only
8iVFB,longdress,Original_Unicorn,Original Unicorn,R08,NVIDIA GeForce RTX 3090,24576,3.251772241666913,2.0399437602609396,5.291716001927853,CUDA-synchronized codec only
8iVFB,longdress,Original_Unicorn,Original Unicorn,R09,NVIDIA GeForce RTX 3090,24576,3.2191043067723513,2.1886705476790667,5.407774854451418,CUDA-synchronized codec only
8iVFB,loot,Original_Unicorn,Original Unicorn,R01,NVIDIA GeForce RTX 3090,24576,6.825698240078054,2.0987152389716357,8.92441347904969,CUDA-synchronized codec only
8iVFB,loot,Original_Unicorn,Original Unicorn,R02,NVIDIA GeForce RTX 3090,24576,3.076770729967393,1.9429008319275454,5.019671561894938,CUDA-synchronized codec only
8iVFB,loot,Original_Unicorn,Original Unicorn,R03,NVIDIA GeForce RTX 3090,24576,3.071925791911781,1.8945077989483252,4.966433590860106,CUDA-synchronized codec only
8iVFB,loot,Original_Unicorn,Original Unicorn,R04,NVIDIA GeForce RTX 3090,24576,3.0753117939457297,1.9611730320611969,5.036484826006927,CUDA-synchronized codec only
8iVFB,loot,Original_Unicorn,Original Unicorn,R05,NVIDIA GeForce RTX 3090,24576,3.0110315890051425,1.9105678759515285,4.921599464956671,CUDA-synchronized codec only
8iVFB,loot,Original_Unicorn,Original Unicorn,R06,NVIDIA GeForce RTX 3090,24576,3.0001785709755495,1.823671740014106,4.8238503109896556,CUDA-synchronized codec only
8iVFB,loot,Original_Unicorn,Original Unicorn,R07,NVIDIA GeForce RTX 3090,24576,2.9830046870047227,1.7932322641136125,4.776236951118335,CUDA-synchronized codec only
8iVFB,loot,Original_Unicorn,Original Unicorn,R08,NVIDIA GeForce RTX 3090,24576,2.9545860500074923,1.7804525980027393,4.7350386480102316,CUDA-synchronized codec only
8iVFB,loot,Original_Unicorn,Original Unicorn,R09,NVIDIA GeForce RTX 3090,24576,2.921204222016968,1.6801152129191905,4.601319434936158,CUDA-synchronized codec only
8iVFB,redandblack,Original_Unicorn,Original Unicorn,R01,NVIDIA GeForce RTX 3090,24576,7.010907247662544,2.308697681874037,9.319604929536581,CUDA-synchronized codec only
8iVFB,redandblack,Original_Unicorn,Original Unicorn,R02,NVIDIA GeForce RTX 3090,24576,3.399681106209755,2.109045945107937,5.508727051317692,CUDA-synchronized codec only
8iVFB,redandblack,Original_Unicorn,Original Unicorn,R03,NVIDIA GeForce RTX 3090,24576,3.142942648380995,2.003865398466587,5.146808046847582,CUDA-synchronized codec only
8iVFB,redandblack,Original_Unicorn,Original Unicorn,R04,NVIDIA GeForce RTX 3090,24576,3.16460083052516,2.0550484098494053,5.219649240374565,CUDA-synchronized codec only
8iVFB,redandblack,Original_Unicorn,Original Unicorn,R05,NVIDIA GeForce RTX 3090,24576,3.0888375267386436,1.9795845970511436,5.068422123789787,CUDA-synchronized codec only
8iVFB,redandblack,Original_Unicorn,Original Unicorn,R06,NVIDIA GeForce RTX 3090,24576,3.0281925424933434,1.8636189512908459,4.891811493784189,CUDA-synchronized codec only
8iVFB,redandblack,Original_Unicorn,Original Unicorn,R07,NVIDIA GeForce RTX 3090,24576,2.9617480523884296,1.7986477836966515,4.760395836085081,CUDA-synchronized codec only
8iVFB,redandblack,Original_Unicorn,Original Unicorn,R08,NVIDIA GeForce RTX 3090,24576,2.9541943296790123,1.7512639798223972,4.7054583095014095,CUDA-synchronized codec only
8iVFB,redandblack,Original_Unicorn,Original Unicorn,R09,NVIDIA GeForce RTX 3090,24576,2.9053319096565247,1.6785794645547867,4.583911374211311,CUDA-synchronized codec only
8iVFB,soldier,Original_Unicorn,Original Unicorn,R01,NVIDIA GeForce RTX 3090,24576,7.427759610116482,3.0082864575088024,10.436046067625284,CUDA-synchronized codec only
8iVFB,soldier,Original_Unicorn,Original Unicorn,R02,NVIDIA GeForce RTX 3090,24576,4.072160642594099,2.8199991434812546,6.892159786075354,CUDA-synchronized codec only
8iVFB,soldier,Original_Unicorn,Original Unicorn,R03,NVIDIA GeForce RTX 3090,24576,3.9484280385077,2.652717463672161,6.601145502179861,CUDA-synchronized codec only
8iVFB,soldier,Original_Unicorn,Original Unicorn,R04,NVIDIA GeForce RTX 3090,24576,4.00199032574892,2.780481144785881,6.7824714705348015,CUDA-synchronized codec only
8iVFB,soldier,Original_Unicorn,Original Unicorn,R05,NVIDIA GeForce RTX 3090,24576,3.9840056262910366,2.6555943079292774,6.639599934220314,CUDA-synchronized codec only
8iVFB,soldier,Original_Unicorn,Original Unicorn,R06,NVIDIA GeForce RTX 3090,24576,3.879998654127121,2.579269640147686,6.459268294274807,CUDA-synchronized codec only
8iVFB,soldier,Original_Unicorn,Original Unicorn,R07,NVIDIA GeForce RTX 3090,24576,3.8158880807459354,2.476523742079735,6.29241182282567,CUDA-synchronized codec only
8iVFB,soldier,Original_Unicorn,Original Unicorn,R08,NVIDIA GeForce RTX 3090,24576,6.629025712609291,2.4440260529518127,9.073051765561104,CUDA-synchronized codec only
8iVFB,soldier,Original_Unicorn,Original Unicorn,R09,NVIDIA GeForce RTX 3090,24576,3.6641747392714024,2.270044185221195,5.934218924492598,CUDA-synchronized codec only
CTC,Staue_Klimt_vox12,Original_Unicorn,Original Unicorn,R01,NVIDIA GeForce RTX 3090,24576,6.929984824731946,5.979404676705599,12.909389501437545,CUDA-synchronized codec only
CTC,Staue_Klimt_vox12,Original_Unicorn,Original Unicorn,R02,NVIDIA GeForce RTX 3090,24576,6.00086004845798,4.922747945412993,10.923607993870974,CUDA-synchronized codec only
CTC,Staue_Klimt_vox12,Original_Unicorn,Original Unicorn,R03,NVIDIA GeForce RTX 3090,24576,5.446565682068467,4.3770530223846436,9.82361870445311,CUDA-synchronized codec only
CTC,Staue_Klimt_vox12,Original_Unicorn,Original Unicorn,R04,NVIDIA GeForce RTX 3090,24576,5.228098655119538,4.23231658898294,9.460415244102478,CUDA-synchronized codec only
