dataset,endpoint,GPU_model,VRAM_MiB,n,encode_mean_s,encode_median_s,decode_mean_s,decode_median_s,codec_mean_s,codec_median_s,codec_min_s,codec_max_s
8iVFB,Original Unicorn,NVIDIA GeForce RTX 3090,24576,36,3.9123180661602723,3.3551538698375225,2.1975040874579768,2.1488582463935018,6.109822153618249,5.517582554370165,4.583911374211311,10.436046067625284
8iVFB,Ours Base,NVIDIA GeForce RTX 3090,24576,28,2.9134153175483726,2.730552965600509,1.5377020873420406,1.4138539982959628,4.451117404890413,4.379919871222228,2.8863967675715685,8.472498336806893
8iVFB,Ours Full,NVIDIA GeForce RTX 3090,24576,28,4.324892051405706,4.249437717080582,2.7410280124417374,2.579009208828211,7.065920063847443,7.029072175733745,4.9047460202127695,11.926172820851207
CTC,Original Unicorn,NVIDIA A100-SXM4-40GB,40960,27,16.294073730327742,11.43314127100166,15.690032506628928,11.159735969966277,31.98410623695667,22.592877240967937,15.013579858117737,79.7580163286766
CTC,Original Unicorn,NVIDIA GeForce RTX 3090,24576,81,15.966880773021668,15.775654694065452,10.310454574724039,10.809096148237586,26.277335347745705,26.52144717797637,7.918085124343634,46.08781395852566
CTC,Ours Base,NVIDIA A100-SXM4-40GB,40960,21,11.093403689729582,9.066639280994423,10.944591665906566,8.78314624086488,22.03799535563615,17.849785521859303,12.256503795040771,43.83774080988951
CTC,Ours Base,NVIDIA GeForce RTX 3090,24576,63,11.167596094812902,10.977924671024084,7.130002268930039,7.810472063720226,18.297598363742942,18.86014064028859,6.60915094986558,34.04782456159592
CTC,Ours Full,NVIDIA A100-SXM4-40GB,40960,21,17.571411235684838,11.984223102102987,18.32004624055255,12.6114610490622,35.89145747623739,24.595684151165187,15.849642705987208,96.36570087762084
CTC,Ours Full,NVIDIA GeForce RTX 3090,24576,63,15.886868476985939,15.738897863775492,11.677490587804526,11.989034103229642,27.564359064790466,27.197545025497675,8.018903063610196,52.071551114320755
Owlii,Original Unicorn,NVIDIA GeForce RTX 3090,24576,36,5.0069533114437945,5.023581249115523,1.9680008353477914,1.7526405230164528,6.974954146791585,6.79388428106904,5.288933243020438,10.757765088230371
Owlii,Ours Base,NVIDIA GeForce RTX 3090,24576,28,2.3522551299289,2.063251535408199,1.3553349277520153,1.1404115445911884,3.7075900576809153,3.145440791733563,2.449296962469816,8.110961619764566
Owlii,Ours Full,NVIDIA GeForce RTX 3090,24576,28,3.5710744104830416,3.3501794692128897,2.3681923245603684,2.170833715237677,5.93926673504341,5.608898830600083,4.3440343253314495,11.39914109185338
