dataset,sample,y_psnr_verdict,y_psnr_median_delta_db,y_psnr_min_delta_db,y_psnr_max_delta_db,y_psnr_comparable_points,yuv_psnr_611_verdict,yuv_psnr_611_median_delta_db,yuv_psnr_611_min_delta_db,yuv_psnr_611_max_delta_db,yuv_psnr_611_comparable_points,overall_verdict
8iVFB,longdress,competitive,-0.1596762327979384,-0.435351818796228,0.3709186486510063,6,competitive,-0.16350421554076178,-0.4358133363067793,0.27297675469166904,6,competitive
8iVFB,loot,competitive,-0.10730217502369044,-0.29698501714522507,0.050206193690073064,6,competitive,-0.039419414173252676,-0.22729535533528633,0.1292420032654178,6,competitive
8iVFB,redandblack,competitive,-0.09642861489052379,-0.3062322631190071,0.5920838695646466,6,competitive,-0.025302752020195385,-0.38061269974171097,0.3772538438293509,6,competitive
8iVFB,soldier,competitive,-0.15619716458737543,-0.40750094136895143,0.051219591972348155,6,competitive,-0.13568960548011333,-0.4605096074734547,0.0892907091098678,6,competitive
CTC,Facade_00009_vox12,mixed,-0.26119837839851456,-0.4547346445924383,-0.16139191511586048,6,competitive,-0.23389155097885705,-0.28378144254380544,-0.14753511313452705,6,mixed
CTC,House_without_roof_00057_vox12,competitive,-0.11897096120344841,-0.18587481934754635,0.043750349967659474,6,competitive,-0.06350968331708629,-0.13140721137285283,0.04198599252840296,6,competitive
CTC,Shiva_00035_vox12,competitive,-0.17989652312151705,-0.2530789783917484,-0.0709958059455289,6,competitive,-0.1716649104192367,-0.3010937798092499,-0.04619655906426701,6,competitive
CTC,Staue_Klimt_vox12,competitive,-0.1679702338544775,-0.22523797526348233,0.17786634908193477,6,competitive,-0.137375855143695,-0.16869284982724864,0.20169378440651542,6,competitive
CTC,Thaidancer_viewdep_vox12,competitive,-0.024466377464573696,-0.14308302879791768,0.07201193132603834,6,competitive,0.016953499190496046,-0.0907711825599904,0.1724163708835107,6,competitive
CTC,basketball_player_vox11_00000200,competitive,0.10295429123903332,-0.023884405189718905,0.19296122636887958,6,competitive,0.11172496031382195,-0.0637553473684278,0.188630790275937,6,competitive
CTC,boxer_viewdep_vox12,competitive,-0.01656850264979326,-0.6051996994352535,0.5392759037995631,6,competitive,0.07411848964890311,-0.41729796338498915,0.26541430345667294,6,competitive
CTC,dancer_vox11_00000001,competitive,0.09216365247554137,-0.023858107118400085,0.22591627782976076,6,competitive,0.11833753209979037,0.017285577573311173,0.2066544339607006,6,competitive
CTC,longdress_viewdep_vox12,competitive,0.07603714354026891,-0.2463496829601297,0.7302828754261768,6,competitive,0.1219732529079458,-0.29120654203942564,0.8644622571549618,6,competitive
CTC,loot_viewdep_vox12,competitive,0.07985971182946372,-0.35198233992952055,0.2662507223456245,6,competitive,0.021552592307092056,-0.32680148267068887,0.5051125000000027,6,competitive
CTC,redandblack_viewdep_vox12,competitive,0.109657671145996,-0.25720332275510316,0.5247764402632527,6,competitive,0.15831128280511209,-0.4418199757380421,0.8262573192072082,6,competitive
CTC,soldier_viewdep_vox12,competitive,0.07098013420912963,-0.038648998868502815,0.3564054859746122,6,competitive,0.10017334128442101,-0.03264431715008698,0.30152781167966225,6,competitive
Owlii,basketball_player,competitive,-0.03483517765223709,-0.32411213652234494,0.10198066480792534,6,competitive,-0.014304334274957142,-0.2659950550068615,0.13010567635716797,6,competitive
Owlii,dancer,competitive,-0.16424820679367969,-0.2952631305929714,0.06500513185761747,6,competitive,-0.1488785796918357,-0.29749996777803744,0.09563435000942633,6,competitive
Owlii,exercise,competitive,0.02295692059076515,-0.24374308712736337,0.13699664964997282,6,competitive,0.04394498361108745,-0.1926382411550449,0.13323540815446222,6,competitive
Owlii,model,competitive,-0.15526488780707837,-0.2717002285195136,0.026993933878273424,6,competitive,-0.1883536336153533,-0.28116065981688365,0.057512530497277226,6,competitive
