dataset,sample,method,endpoint,metric,operating_point,physical_bpp,quality,pareto_retained,dominating_points
8iVFB,longdress,Original_Unicorn,Original Unicorn,Y,R01,1.898844476354541,41.3234,True,[]
8iVFB,longdress,Original_Unicorn,Original Unicorn,Y,R02,1.4832942097938613,39.4788,True,[]
8iVFB,longdress,Original_Unicorn,Original Unicorn,Y,R03,1.1263010422324429,37.4815,True,[]
8iVFB,longdress,Original_Unicorn,Original Unicorn,Y,R04,0.6538067942086283,33.8028,True,[]
8iVFB,longdress,Original_Unicorn,Original Unicorn,Y,R05,0.5071343153458295,32.8179,True,[]
8iVFB,longdress,Original_Unicorn,Original Unicorn,Y,R06,0.3448155288204894,31.311,True,[]
8iVFB,longdress,Original_Unicorn,Original Unicorn,Y,R07,0.2430772314986841,29.8635,True,[]
8iVFB,longdress,Original_Unicorn,Original Unicorn,Y,R08,0.1592230927565894,28.0956,True,[]
8iVFB,longdress,Original_Unicorn,Original Unicorn,Y,R09,0.10351925367671913,26.4927,True,[]
8iVFB,longdress,Original_Unicorn,Original Unicorn,YUV611,R01,1.898844476354541,41.53530000000001,True,[]
8iVFB,longdress,Original_Unicorn,Original Unicorn,YUV611,R02,1.4832942097938613,39.9848,True,[]
8iVFB,longdress,Original_Unicorn,Original Unicorn,YUV611,R03,1.1263010422324429,38.222449999999995,True,[]
8iVFB,longdress,Original_Unicorn,Original Unicorn,YUV611,R04,0.6538067942086283,34.5541125,True,[]
8iVFB,longdress,Original_Unicorn,Original Unicorn,YUV611,R05,0.5071343153458295,33.6643125,True,[]
8iVFB,longdress,Original_Unicorn,Original Unicorn,YUV611,R06,0.3448155288204894,31.997974999999997,True,[]
8iVFB,longdress,Original_Unicorn,Original Unicorn,YUV611,R07,0.2430772314986841,30.697699999999998,True,[]
8iVFB,longdress,Original_Unicorn,Original Unicorn,YUV611,R08,0.1592230927565894,29.1000375,True,[]
8iVFB,longdress,Original_Unicorn,Original Unicorn,YUV611,R09,0.10351925367671913,27.6617875,True,[]
8iVFB,longdress,Ours,Ours Base,Y,16k,0.6124158766198194,33.203,True,[]
8iVFB,longdress,Ours,Ours Base,Y,1k,0.1845760787723523,27.3496,True,[]
8iVFB,longdress,Ours,Ours Base,Y,2k,0.2602247641514932,28.9507,True,[]
