dataset,ours_endpoint,metric,available_sequences,total_sequences,equal_sequence_mean_BD_BR_percent,status
8iVFB,Ours Base,Y,4,4,5.204594710326715,AVAILABLE
8iVFB,Ours Base,YUV611,4,4,-0.7230980295784004,AVAILABLE
8iVFB,Ours Full,Y,4,4,1.4521605359309437,AVAILABLE
8iVFB,Ours Full,YUV611,4,4,1.3904956825605024,AVAILABLE
CTC,Ours Base,Y,12,12,1.8482061129673673,AVAILABLE
CTC,Ours Base,YUV611,12,12,-0.32630008055368476,AVAILABLE
CTC,Ours Full,Y,12,12,0.15501277196565133,AVAILABLE
CTC,Ours Full,YUV611,12,12,-0.6962260230482279,AVAILABLE
Owlii,Ours Base,Y,4,4,10.109716407653924,AVAILABLE
Owlii,Ours Base,YUV611,4,4,4.992130637927389,AVAILABLE
Owlii,Ours Full,Y,4,4,1.8547535586108692,AVAILABLE
Owlii,Ours Full,YUV611,4,4,2.077132401084367,AVAILABLE
