dataset,sample,method,endpoint,metric,raw_point_count,retained_pareto_point_count,removed_operating_points,dominating_points,reason
8iVFB,longdress,Original_Unicorn,Original Unicorn,Y,9,9,[],{},none
8iVFB,longdress,Original_Unicorn,Original Unicorn,YUV611,9,9,[],{},none
8iVFB,longdress,Ours,Ours Base,Y,7,7,[],{},none
8iVFB,longdress,Ours,Ours Base,YUV611,7,7,[],{},none
8iVFB,longdress,Ours,Ours Full,Y,7,7,[],{},none
8iVFB,longdress,Ours,Ours Full,YUV611,7,7,[],{},none
8iVFB,loot,Original_Unicorn,Original Unicorn,Y,9,9,[],{},none
8iVFB,loot,Original_Unicorn,Original Unicorn,YUV611,9,9,[],{},none
8iVFB,loot,Ours,Ours Base,Y,7,7,[],{},none
8iVFB,loot,Ours,Ours Base,YUV611,7,7,[],{},none
8iVFB,loot,Ours,Ours Full,Y,7,7,[],{},none
8iVFB,loot,Ours,Ours Full,YUV611,7,7,[],{},none
8iVFB,redandblack,Original_Unicorn,Original Unicorn,Y,9,9,[],{},none
8iVFB,redandblack,Original_Unicorn,Original Unicorn,YUV611,9,9,[],{},none
8iVFB,redandblack,Ours,Ours Base,Y,7,7,[],{},none
8iVFB,redandblack,Ours,Ours Base,YUV611,7,7,[],{},none
8iVFB,redandblack,Ours,Ours Full,Y,7,7,[],{},none
8iVFB,redandblack,Ours,Ours Full,YUV611,7,7,[],{},none
8iVFB,soldier,Original_Unicorn,Original Unicorn,Y,9,9,[],{},none
8iVFB,soldier,Original_Unicorn,Original Unicorn,YUV611,9,9,[],{},none
8iVFB,soldier,Ours,Ours Base,Y,7,7,[],{},none
8iVFB,soldier,Ours,Ours Base,YUV611,7,7,[],{},none
8iVFB,soldier,Ours,Ours Full,Y,7,7,[],{},none
8iVFB,soldier,Ours,Ours Full,YUV611,7,7,[],{},none
CTC,Facade_00009_vox12,Original_Unicorn,Original Unicorn,Y,9,9,[],{},none
CTC,Facade_00009_vox12,Original_Unicorn,Original Unicorn,YUV611,9,9,[],{},none
CTC,Facade_00009_vox12,Ours,Ours Base,Y,7,7,[],{},none
CTC,Facade_00009_vox12,Ours,Ours Base,YUV611,7,7,[],{},none
CTC,Facade_00009_vox12,Ours,Ours Full,Y,7,7,[],{},none
CTC,Facade_00009_vox12,Ours,Ours Full,YUV611,7,7,[],{},none
CTC,House_without_roof_00057_vox12,Original_Unicorn,Original Unicorn,Y,9,9,[],{},none
CTC,House_without_roof_00057_vox12,Original_Unicorn,Original Unicorn,YUV611,9,9,[],{},none
CTC,House_without_roof_00057_vox12,Ours,Ours Base,Y,7,7,[],{},none
CTC,House_without_roof_00057_vox12,Ours,Ours Base,YUV611,7,7,[],{},none
CTC,House_without_roof_00057_vox12,Ours,Ours Full,Y,7,7,[],{},none
CTC,House_without_roof_00057_vox12,Ours,Ours Full,YUV611,7,7,[],{},none
CTC,Shiva_00035_vox12,Original_Unicorn,Original Unicorn,Y,9,9,[],{},none
CTC,Shiva_00035_vox12,Original_Unicorn,Original Unicorn,YUV611,9,9,[],{},none
CTC,Shiva_00035_vox12,Ours,Ours Base,Y,7,7,[],{},none
CTC,Shiva_00035_vox12,Ours,Ours Base,YUV611,7,7,[],{},none
CTC,Shiva_00035_vox12,Ours,Ours Full,Y,7,7,[],{},none
CTC,Shiva_00035_vox12,Ours,Ours Full,YUV611,7,7,[],{},none
CTC,Staue_Klimt_vox12,Original_Unicorn,Original Unicorn,Y,9,9,[],{},none
