dataset,sample,ours_endpoint,metric,strict_status,strict_BD_BR_percent,pareto_status,pareto_BD_BR_percent,pareto_minus_strict_percentage_points,newly_resolved
8iVFB,longdress,Ours Base,Y,AVAILABLE,21.96893149124739,AVAILABLE,21.96893149124739,0.0,False
8iVFB,longdress,Ours Base,YUV611,AVAILABLE,11.448876631551897,AVAILABLE,11.448876631551897,0.0,False
8iVFB,longdress,Ours Full,Y,AVAILABLE,0.5726307452504464,AVAILABLE,0.5726307452504464,0.0,False
8iVFB,longdress,Ours Full,YUV611,AVAILABLE,1.7948872451434728,AVAILABLE,1.7948872451434728,0.0,False
8iVFB,loot,Ours Base,Y,AVAILABLE,0.16903946713811013,AVAILABLE,0.16903946713808793,-2.220446049250313e-14,False
8iVFB,loot,Ours Base,YUV611,AVAILABLE,-5.259240995306913,AVAILABLE,-5.2592409953069685,-5.595524044110789e-14,False
8iVFB,loot,Ours Full,Y,AVAILABLE,2.5106553025059375,AVAILABLE,2.5106553025059375,0.0,False
8iVFB,loot,Ours Full,YUV611,AVAILABLE,1.0517466343062276,AVAILABLE,1.0517466343062498,2.220446049250313e-14,False
8iVFB,redandblack,Ours Base,Y,AVAILABLE,-4.878505462273264,AVAILABLE,-4.8785054622732416,2.220446049250313e-14,False
8iVFB,redandblack,Ours Base,YUV611,AVAILABLE,-9.22925282144269,AVAILABLE,-9.22925282144269,0.0,False
8iVFB,redandblack,Ours Full,Y,AVAILABLE,-0.5749265889145594,AVAILABLE,-0.5749265889145483,1.1102230246251565e-14,False
8iVFB,redandblack,Ours Full,YUV611,AVAILABLE,-0.6403244468231262,AVAILABLE,-0.640324446823104,2.220446049250313e-14,False
8iVFB,soldier,Ours Base,Y,AVAILABLE,3.5589133451946475,AVAILABLE,3.5589133451946253,-2.220446049250313e-14,False
8iVFB,soldier,Ours Base,YUV611,AVAILABLE,0.14722506688416015,AVAILABLE,0.14722506688416015,0.0,False
8iVFB,soldier,Ours Full,Y,AVAILABLE,3.300282684881939,AVAILABLE,3.300282684881939,0.0,False
8iVFB,soldier,Ours Full,YUV611,AVAILABLE,3.3556732976154136,AVAILABLE,3.3556732976153913,-2.220446049250313e-14,False
CTC,Facade_00009_vox12,Ours Base,Y,AVAILABLE,4.753461591709485,AVAILABLE,4.753461591709485,0.0,False
CTC,Facade_00009_vox12,Ours Base,YUV611,AVAILABLE,3.5582229217705708,AVAILABLE,3.5582229217705708,0.0,False
CTC,Facade_00009_vox12,Ours Full,Y,AVAILABLE,3.942293324148527,AVAILABLE,3.942293324148527,0.0,False
CTC,Facade_00009_vox12,Ours Full,YUV611,AVAILABLE,3.636108418939954,AVAILABLE,3.636108418939976,2.220446049250313e-14,False
CTC,House_without_roof_00057_vox12,Ours Base,Y,AVAILABLE,12.076455488044058,AVAILABLE,12.076455488044058,0.0,False
CTC,House_without_roof_00057_vox12,Ours Base,YUV611,AVAILABLE,5.521354289515701,AVAILABLE,5.521354289515701,0.0,False
CTC,House_without_roof_00057_vox12,Ours Full,Y,AVAILABLE,1.726481957877768,AVAILABLE,1.726481957877768,0.0,False
CTC,House_without_roof_00057_vox12,Ours Full,YUV611,AVAILABLE,0.4763003139902411,AVAILABLE,0.4763003139902189,-2.220446049250313e-14,False
CTC,Shiva_00035_vox12,Ours Base,Y,AVAILABLE,5.99901288714435,AVAILABLE,5.99901288714435,0.0,False
CTC,Shiva_00035_vox12,Ours Base,YUV611,AVAILABLE,5.772001440587182,AVAILABLE,5.772001440587204,2.220446049250313e-14,False
CTC,Shiva_00035_vox12,Ours Full,Y,AVAILABLE,1.4196575595934346,AVAILABLE,1.4196575595934346,0.0,False
