dataset,sample,Y_figure_present,YUV611_figure_present,Original_Unicorn_present,Ours_Base_present,Ours_Full_present,status
8iVFB,longdress,true,true,true,true,true,PASS
8iVFB,loot,true,true,true,true,true,PASS
8iVFB,redandblack,true,true,true,true,true,PASS
8iVFB,soldier,true,true,true,true,true,PASS
Owlii,basketball_player,true,true,true,true,true,PASS
Owlii,dancer,true,true,true,true,true,PASS
Owlii,exercise,true,true,true,true,true,PASS
Owlii,model,true,true,true,true,true,PASS
CTC,basketball_player_vox11_00000200,true,true,true,true,true,PASS
CTC,dancer_vox11_00000001,true,true,true,true,true,PASS
CTC,Thaidancer_viewdep_vox12,true,true,true,true,true,PASS
CTC,longdress_viewdep_vox12,true,true,true,true,true,PASS
CTC,loot_viewdep_vox12,true,true,true,true,true,PASS
CTC,redandblack_viewdep_vox12,true,true,true,true,true,PASS
CTC,soldier_viewdep_vox12,true,true,true,true,true,PASS
CTC,boxer_viewdep_vox12,true,true,true,true,true,PASS
CTC,Facade_00009_vox12,true,true,true,true,true,PASS
CTC,House_without_roof_00057_vox12,true,true,true,true,true,PASS
CTC,Shiva_00035_vox12,true,true,true,true,true,PASS
CTC,Staue_Klimt_vox12,true,true,true,true,true,PASS
