checkpoint,dataset,sequence,endpoint,physical_bpp,YUV611,official_interp_YUV611,delta_to_official_curve,neighbor_2k_bpp,neighbor_2k_YUV611,neighbor_8k_bpp,neighbor_8k_YUV611,rate_between_2k_8k,rate_overshoot_vs_8k_abs,rate_overshoot_vs_8k_pct,local_2k8k_RD_residual,dominated_by_2k,dominated_by_8k,dominated_by_other_4k_checkpoint,enhancement_bpp,full_minus_base_dB,enhancement_RD_gain,correctness_pass
1500,8iVFB,longdress,Base,0.556450954932946,33.84525,33.96349572949778,-0.1182457294977794,0.2602247641514932,30.108125,0.4752542641549898,33.510075,False,0.0811966907779562,17.084894739939948,,False,False,False,,,,True
1500,8iVFB,longdress,Full,0.6911882289041756,35.1801125,34.84433342707162,0.335779072928382,0.4435140786464732,32.9171,1.010268472177219,37.298325,True,-0.3190802432730434,-31.58370790146474,0.348398001464254,False,False,False,0.1347372739712296,1.3348624999999998,0.4540248024261615,True
3000,8iVFB,longdress,Base,0.5637892410654968,34.0412875,34.00801401303242,0.0332734869675732,0.2602247641514932,30.108125,0.4752542641549898,33.510075,False,0.0885349769105069,18.62897055072692,,False,False,False,,,,True
3000,8iVFB,longdress,Full,0.7084476541028433,35.36845,34.97833166503858,0.3901183349614143,0.4435140786464732,32.9171,1.010268472177219,37.298325,True,-0.3018208180743758,-29.87530803806288,0.4033136417853953,False,False,False,0.1446584130373465,1.3271625,0.3568448479938411,True
1500,8iVFB,loot,Base,0.1710400665602861,41.2149625,41.39869257376395,-0.1837300737639537,0.1023041531880017,39.67685,0.134292828004992,40.5951875,False,0.0367472385552941,27.36351531291612,,False,False,False,,,,True
1500,8iVFB,loot,Full,0.1723911410246062,41.309375,41.433330548245614,-0.1239555482456182,0.1228285638003936,40.2466375,0.2338252916669253,42.28295,True,-0.0614341506423191,-26.27352678761099,0.1534774031146497,False,False,False,0.00135107446432,0.0944124999999971,0.0597745255183355,True
3000,8iVFB,loot,Base,0.164026400591095,41.1843125,41.21888073564593,-0.0345682356459278,0.1023041531880017,39.67685,0.134292828004992,40.5951875,False,0.029733572586103,22.14084923805297,,False,False,False,,,,True
3000,8iVFB,loot,Full,0.1658940623505963,41.169625,41.26676264154705,-0.0971376415470501,0.1228285638003936,40.2466375,0.2338252916669253,42.28295,True,-0.067931229316329,-29.05213068785317,0.1329208493690146,False,False,False,0.0018676617595012,-0.0146875000000079,-0.0625694059011223,True
1500,8iVFB,redandblack,Base,0.2786148971018529,37.7953125,37.3755446080848,0.4197678919152068,0.1650065791991722,35.8020375,0.2408791974564829,37.59545,False,0.0377356996453699,15.665819233803813,,False,False,False,,,,True
1500,8iVFB,redandblack,Full,0.3294957970993452,38.2365375,37.996405111535616,0.2401323884643886,0.2109250340838151,36.7176,0.4506956001852998,39.566375,True,-0.1211998030859545,-26.891720938949536,0.1101681464397401,False,False,True,0.0508808999974923,0.4412250000000028,-0.1796355034508181,True
3000,8iVFB,redandblack,Base,0.2815712473818483,37.9939375,37.41161867759429,0.5823188224057176,0.1650065791991722,35.8020375,0.2408791974564829,37.59545,False,0.0406920499253653,16.89313579381082,,False,False,False,,,,True
3000,8iVFB,redandblack,Full,0.3282921401996328,38.377675,37.981717811806746,0.3959571881932504,0.2109250340838151,36.7176,0.4506956001852998,39.566375,True,-0.1224034599856669,-27.158787424448292,0.2656065998062402,False,False,True,0.0467208928177845,0.3837374999999952,-0.1863616342124672,True
1500,8iVFB,soldier,Base,0.2795652521231008,39.8472,40.268759363633,-0.4215593636329942,0.1703218555657883,38.097025,0.2258911330641792,39.1333375,False,0.0536741190589216,23.761056191467222,,False,False,False,,,,True
1500,8iVFB,soldier,Full,0.2848246840713953,39.9708125,40.36681936660234,-0.3960068666023417,0.2058670946688568,38.9445375,0.3770557281255652,40.982925,True,-0.0922310440541699,-24.460852116654653,0.0861064851963107,False,False,False,0.0052594319482944,0.1236125000000001,0.0255524970306524,True
3000,8iVFB,soldier,Base,0.2746804445174921,39.831812500000005,40.17768408154555,-0.3458715815455448,0.1703218555657883,38.097025,0.2258911330641792,39.1333375,False,0.0487893114533129,21.59859521331946,,False,False,False,,,,True
3000,8iVFB,soldier,Full,0.2813355357816748,39.878175,40.30176559368273,-0.4235905936827322,0.2058670946688568,38.9445375,0.3770557281255652,40.982925,True,-0.0957201923438904,-25.38621885410376,0.0350151796824675,False,False,False,0.0066550912641826,0.0463624999999936,-0.0777190121371873,True
1500,Owlii,basketball_player,Base,0.1544202145897412,40.577987500000006,41.11296822131307,-0.5349807213130617,0.0924973970663776,39.09245,0.1317128370783341,40.2528,False,0.022707377511407,17.24006407811427,,False,False,True,,,,True
1500,Owlii,basketball_player,Full,0.1634529280334381,40.932225,41.28094195016028,-0.3487169501602736,0.1091159822008321,39.7814875,0.2178702539634295,41.8044875,True,-0.0544173259299914,-24.97694152370412,0.139985097930527,False,False,False,0.0090327134436968,0.3542374999999964,0.1862637711527881,True
3000,Owlii,basketball_player,Base,0.1504313522569852,40.594125,41.038790723702014,-0.4446657237020162,0.0924973970663776,39.09245,0.1317128370783341,40.2528,False,0.018718515178651,14.211610344038462,,False,False,False,,,,True
3000,Owlii,basketball_player,Full,0.161162095257951,40.8840875,41.23834127143151,-0.3542537714315088,0.1091159822008321,39.7814875,0.2178702539634295,41.8044875,True,-0.0567081587054785,-26.02840804279653,0.1344606799704308,False,False,False,0.0107307430009657,0.2899625000000014,0.0904119522705073,True
1500,Owlii,dancer,Base,0.1947245020924793,40.112325,40.49019192739223,-0.3778669273922261,0.1119255652827909,37.606375,0.1629997236616821,39.6802375,False,0.0317247784307971,19.46308724832213,,False,False,True,,,,True
1500,Owlii,dancer,Full,0.2053678006033861,40.45621250000001,40.65413305768119,-0.1979205576811864,0.1407787042866625,38.9577375,0.2804406599072984,41.4919375,True,-0.0750728593039123,-26.76960585127997,0.3264902088772885,False,False,False,0.0106432985109068,0.3438875000000081,0.1799463697110397,True
3000,Owlii,dancer,Base,0.1906905324213219,40.14075,40.42805578165101,-0.2873057816510069,0.1119255652827909,37.606375,0.1629997236616821,39.6802375,False,0.0276908087596397,16.98825503355703,,False,False,False,,,,True
3000,Owlii,dancer,Full,0.2038294223389617,40.41055,40.63043706989853,-0.219887069898526,0.1407787042866625,38.9577375,0.2804406599072984,41.4919375,True,-0.0766112375683367,-27.318163348232417,0.308741954960837,False,False,False,0.0131388899176397,0.2697999999999965,0.0674187117524809,True
1500,Owlii,exercise,Base,0.1299200942438404,39.961,40.35745848385452,-0.3964584838545164,0.0694676308059553,38.8619875,0.107450378602928,39.6865,False,0.0224697156409123,20.911713791113677,,False,False,True,,,,True
1500,Owlii,exercise,Full,0.13682717570741,40.1920625,40.46349497521191,-0.2714324752119097,0.0826121664457826,39.28917500000001,0.1957419764855417,40.966212500000005,True,-0.0589148007781317,-30.09819448843839,0.0992036295626377,False,False,False,0.0069070814635696,0.2310625000000001,0.1250260086426067,True
3000,Owlii,exercise,Base,0.1218845667960969,39.948237500000005,40.23409825692527,-0.2858607569252598,0.0694676308059553,38.8619875,0.107450378602928,39.6865,False,0.0144341881931688,13.433352567801492,,False,False,False,,,,True
3000,Owlii,exercise,Full,0.1298208902012757,40.10765,40.35593551808996,-0.2482855180899577,0.0826121664457826,39.28917500000001,0.1957419764855417,40.966212500000005,True,-0.065921086284266,-33.67754197022489,0.1186523799736889,False,False,False,0.0079363234051787,0.1594124999999948,0.0375752388353021,True
1500,Owlii,model,Base,0.2718702252358401,38.0486875,38.63470667998216,-0.5860191799821592,0.1411589421593146,35.5084625,0.2274889586548182,37.6266125,False,0.0443812665810218,19.509195893926435,,False,False,True,,,,True
1500,Owlii,model,Full,0.3053294919840974,38.85655,39.01981562537216,-0.163265625372162,0.207238257405873,37.2133625,0.4294851426442976,40.217175,True,-0.1241556506602002,-28.90801993656548,0.3174200938543166,False,False,False,0.0334592667482573,0.8078624999999988,0.4227535546099972,True
3000,Owlii,model,Base,0.2701917887359275,38.1632375,38.60666280346279,-0.4434253034627957,0.1411589421593146,35.5084625,0.2274889586548182,37.6266125,False,0.0427028300811092,18.77138579982893,,False,False,False,,,,True
3000,Owlii,model,Full,0.306764676817356,38.9079875,39.03556438694245,-0.1275768869424567,0.207238257405873,37.2133625,0.4294851426442976,40.217175,True,-0.1227204658269416,-28.573855913004078,0.3494601290154833,False,False,False,0.0365728880814285,0.7447500000000034,0.315848416520339,True
