lambda,candidate_name,base_checkpoint,enhancement_checkpoint,dataset,sequence,endpoint,physical_bpp,YUV611,correctness_pass,provenance,point_order,official_interp_YUV611,official_bracket,delta_to_official_curve,lower_neighbor,lower_neighbor_bpp,lower_neighbor_YUV611,upper_neighbor,upper_neighbor_bpp,upper_neighbor_YUV611,rate_between_neighbors,quality_between_neighbors,local_neighbor_RD_residual,dominated_by_lower_neighbor,dominated_by_upper_neighbor,dominated_by_any_selected_point,enhancement_bpp,full_minus_base_YUV611,enhancement_RD_gain,rwtt_available
256,256 selected,2k128 Base step3525,D111 Enhancement step1763,8iVFB,longdress,Base,0.1240795089782112,28.23635,True,RETAINED_HARD_EVIDENCE,0,28.19264475644459,R09_to_R08,0.0437052435554115,,,,512,0.1555586118797248,28.6066,,,,False,False,False,,,,True
512,512 selected,2k128 Base step3525,D111 Enhancement step1763,8iVFB,longdress,Base,0.1555586118797248,28.6066,True,RETAINED_HARD_EVIDENCE,1,29.005422125041846,R09_to_R08,-0.3988221250418462,256,0.1240795089782112,28.23635,1K,0.1845760787723523,28.7029375,True,True,0.12746340937114553,False,False,False,,,,True
1K,1K selected,2k128 Base step3525,D111 Enhancement step1763,8iVFB,longdress,Base,0.1845760787723523,28.7029375,True,RETAINED_HARD_EVIDENCE,2,29.583084796508395,R08_to_R07,-0.8801472965083939,512,0.1555586118797248,28.6066,2K,0.2602247641514932,30.108125,True,True,-0.3199427494432072,False,False,False,,,,True
2K,2K selected,2K-U-PATH step500,D111 Enhancement step1500,8iVFB,longdress,Base,0.2602247641514932,30.108125,True,RETAINED_HARD_EVIDENCE,3,30.916855505911467,R07_to_R06,-0.8087305059114662,1K,0.1845760787723523,28.7029375,4K,0.5637892410654968,34.0412875,True,True,0.3402477780987958,False,False,False,,,,True
4K,4K selected,8K-to-4K joint step3000 Base,8K-to-4K joint step3000 Full,8iVFB,longdress,Base,0.5637892410654968,34.0412875,True,RETAINED_HARD_EVIDENCE,4,34.00801401303242,R05_to_R04,0.03327348696758037,2K,0.2602247641514932,30.108125,8K,0.4752542641549898,33.510075,False,False,,False,False,False,,,,True
8K,8K selected,canonical Base step3525,D111 Enhancement step1763,8iVFB,longdress,Base,0.4752542641549898,33.510075,True,RETAINED_HARD_EVIDENCE,5,33.337037229291134,R06_to_R05,0.1730377707088664,4K,0.5637892410654968,34.0412875,16K,0.6124158766198194,34.275425,False,False,,False,False,False,,,,True
16K,16K selected,canonical Base step3525,D111 Enhancement step1763,8iVFB,longdress,Base,0.6124158766198194,34.275425,True,RETAINED_HARD_EVIDENCE,6,34.30301127940242,R05_to_R04,-0.027586279402420644,8K,0.4752542641549898,33.510075,32K,0.7671073212691412,34.8154125,True,True,0.1518830790734782,False,False,False,,,,True
32K,32K selected,D111 Base step5525,sequential D111-to-D611 step3525,8iVFB,longdress,Base,0.7671073212691412,34.8154125,True,RETAINED_HARD_EVIDENCE,7,35.433751932488704,R04_to_R03,-0.6183394324887033,16K,0.6124158766198194,34.275425,,,,,,,False,False,False,,,,True
256,256 selected,2k128 Base step3525,D111 Enhancement step1763,8iVFB,longdress,Full,0.1240888333570328,28.233675,True,RETAINED_HARD_EVIDENCE,0,28.192885508034816,R09_to_R08,0.04078949196518522,,,,512,0.2019100990015921,29.91495,,,,False,False,False,9.324378821604085e-06,-0.002674999999999983,-0.0029157515902262787,True
512,512 selected,2k128 Base step3525,D111 Enhancement step1763,8iVFB,longdress,Full,0.2019100990015921,29.91495,True,RETAINED_HARD_EVIDENCE,1,29.913347732958968,R08_to_R07,0.0016022670410329454,256,0.1240888333570328,28.233675,1K,0.3152479235773912,31.505749999999995,True,True,0.34920642041851835,False,False,False,0.04635148712186729,1.3083500000000008,0.40042439208287917,True
1K,1K selected,2k128 Base step3525,D111 Enhancement step1763,8iVFB,longdress,Full,0.3152479235773912,31.505749999999995,True,RETAINED_HARD_EVIDENCE,2,31.620083695353316,R07_to_R06,-0.11433369535332005,512,0.2019100990015921,29.91495,2K,0.4435140786464732,32.9171,True,True,0.18247406699856938,False,False,False,0.13067184480503888,2.8028124999999946,0.7658136011550738,True
2K,2K selected,2K-U-PATH step500,D111 Enhancement step1500,8iVFB,longdress,Full,0.4435140786464732,32.9171,True,RETAINED_HARD_EVIDENCE,3,33.01119779627183,R06_to_R05,-0.09409779627183212,1K,0.3152479235773912,31.505749999999995,4K,0.7084476541028433,35.36845,True,True,0.15129400626052103,False,False,False,0.18328931449497998,2.8089749999999967,0.7146327096396341,True
4K,4K selected,8K-to-4K joint step3000 Base,8K-to-4K joint step3000 Full,8iVFB,longdress,Full,0.7084476541028433,35.36845,True,RETAINED_HARD_EVIDENCE,4,34.97833166503858,R04_to_R03,0.39011833496142145,2K,0.4435140786464732,32.9171,8K,1.010268472177219,37.298325,True,True,0.4033136417854024,False,False,False,0.1446584130373465,1.3271625,0.3568448479938411,True
8K,8K selected,canonical Base step3525,D111 Enhancement step1763,8iVFB,longdress,Full,1.010268472177219,37.298325,True,RETAINED_HARD_EVIDENCE,5,37.32159960925937,R04_to_R03,-0.0232746092593743,4K,0.7084476541028433,35.36845,16K,1.4491483345493876,39.3999125,True,True,0.2871340900650807,False,False,False,0.5350142080222293,3.788249999999998,-0.1963123799682407,True
16K,16K selected,canonical Base step3525,D111 Enhancement step1763,8iVFB,longdress,Full,1.4491483345493876,39.3999125,True,RETAINED_HARD_EVIDENCE,6,39.81623379564331,R03_to_R02,-0.4163212956433142,8K,1.010268472177219,37.298325,32K,1.9634810703454448,40.9426375,True,True,0.42366657080252423,False,False,False,0.8367324579295682,5.124487500000001,-0.38873501624089357,True
32K,32K selected,D111 Base step5525,sequential D111-to-D611 step3525,8iVFB,longdress,Full,1.9634810703454448,40.9426375,True,RETAINED_HARD_EVIDENCE,7,,OUTSIDE_R01_R09,,16K,1.4491483345493876,39.3999125,,,,,,,False,False,False,1.1963737490763036,6.127224999999996,,True
256,256 selected,2k128 Base step3525,D111 Enhancement step1763,8iVFB,loot,Base,0.0283030231532935,35.8643875,True,RETAINED_HARD_EVIDENCE,0,35.72530752945508,R09_to_R08,0.13907997054491972,,,,512,0.0427078611920003,37.0382875,,,,False,False,False,,,,True
512,512 selected,2k128 Base step3525,D111 Enhancement step1763,8iVFB,loot,Base,0.0427078611920003,37.0382875,True,RETAINED_HARD_EVIDENCE,1,36.90740468436874,R08_to_R07,0.13088281563126003,256,0.0283030231532935,35.8643875,1K,0.0598843887567755,38.0207875,True,True,0.1903265492293187,False,False,False,,,,True
1K,1K selected,2k128 Base step3525,D111 Enhancement step1763,8iVFB,loot,Base,0.0598843887567755,38.0207875,True,RETAINED_HARD_EVIDENCE,2,37.80162896919432,R07_to_R06,0.2191585308056787,512,0.0427078611920003,37.0382875,2K,0.1023041531880017,39.67685,True,True,0.2220274941656868,False,False,False,,,,True
2K,2K selected,2K-U-PATH step500,D111 Enhancement step1500,8iVFB,loot,Base,0.1023041531880017,39.67685,True,RETAINED_HARD_EVIDENCE,3,39.47941829680033,R06_to_R05,0.19743170319966907,1K,0.0598843887567755,38.0207875,4K,0.164026400591095,41.1843125,True,True,0.3674760505103549,False,False,False,,,,True
4K,4K selected,8K-to-4K joint step3000 Base,8K-to-4K joint step3000 Full,8iVFB,loot,Base,0.164026400591095,41.1843125,True,RETAINED_HARD_EVIDENCE,4,41.21888073564593,R05_to_R04,-0.03456823564593492,2K,0.1023041531880017,39.67685,8K,0.134292828004992,40.5951875,False,False,,False,False,False,,,,True
8K,8K selected,canonical Base step3525,D111 Enhancement step1763,8iVFB,loot,Base,0.134292828004992,40.5951875,True,RETAINED_HARD_EVIDENCE,5,40.4565906060606,R05_to_R04,0.13859689393940045,4K,0.164026400591095,41.1843125,16K,0.1837759302607151,41.9397875,False,False,,False,False,False,,,,True
16K,16K selected,canonical Base step3525,D111 Enhancement step1763,8iVFB,loot,Base,0.1837759302607151,41.9397875,True,RETAINED_HARD_EVIDENCE,6,41.66850038617078,R04_to_R03,0.2712871138292243,8K,0.134292828004992,40.5951875,32K,0.2432232066907989,43.0396875,True,True,0.23415271317829678,False,False,False,,,,True
32K,32K selected,D111 Base step5525,sequential D111-to-D611 step3525,8iVFB,loot,Base,0.2432232066907989,43.0396875,True,RETAINED_HARD_EVIDENCE,7,42.50981690698754,R04_to_R03,0.5298705930124612,16K,0.1837759302607151,41.9397875,,,,,,,False,False,False,,,,True
256,256 selected,2k128 Base step3525,D111 Enhancement step1763,8iVFB,loot,Full,0.0283129575243547,35.8560125,True,RETAINED_HARD_EVIDENCE,0,35.72648722385862,R09_to_R08,0.1295252761413792,,,,512,0.0429860235817133,37.0677125,,,,False,False,False,9.934371061202235e-06,-0.00837500000000091,-0.009554694403540509,True
